feature_0,feature_1,feature_2,feature_3,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,88,sqrt,4,29,nan,nan,NA,NA,0.7962962962962963,6.570369482040405
1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,54,sqrt,11,26,nan,nan,NA,NA,1.0,12.208895683288574
1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,1,log2,6,29,nan,nan,NA,NA,1.0,17.52037262916565
1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,40,auto,20,4,nan,nan,NA,NA,0.9305555555555556,23.218925714492798
1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,8,sqrt,16,18,nan,nan,NA,NA,0.9988425925925926,27.636925220489502
1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,13,log2,11,25,nan,nan,NA,NA,1.0,32.81091809272766
0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,21,log2,13,34,nan,nan,NA,NA,0.7673611111111112,38.517245054244995
1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,32,log2,15,24,nan,nan,NA,NA,0.9768518518518519,44.09066343307495
1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,13,log2,11,38,nan,nan,NA,NA,1.0,50.02871084213257
1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,38,auto,16,36,nan,nan,NA,NA,1.0,56.2096209526062
1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,48,log2,6,32,nan,nan,NA,NA,1.0,60.96509099006653
1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,39,log2,7,27,nan,nan,NA,NA,1.0,67.35656094551086
1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,50,log2,3,35,nan,nan,NA,NA,1.0,72.5252788066864
1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,74,log2,1,24,nan,nan,NA,NA,1.0,78.2399263381958
1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,92,log2,12,37,nan,nan,NA,NA,1.0,83.68491101264954
1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,93,auto,17,26,nan,nan,NA,NA,0.9988425925925926,89.40727162361145
1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,7,sqrt,18,33,nan,nan,NA,NA,1.0,94.94428133964539
1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,17,sqrt,6,38,nan,nan,NA,NA,1.0,100.17470741271973
1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,99,sqrt,1,31,nan,nan,NA,NA,1.0,106.10880947113037
1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,99,sqrt,13,9,nan,nan,NA,NA,1.0,111.5498378276825
0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,11,auto,11,31,nan,nan,NA,NA,0.7800925925925926,116.5973870754242
1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,45,auto,19,31,nan,nan,NA,NA,1.0,121.84074425697327
1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,12,log2,19,37,nan,nan,NA,NA,1.0,127.86154770851135
1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,70,sqrt,3,34,nan,nan,NA,NA,1.0,133.2137372493744
1,0,0,1,nnClassifier,identity,NA,14,NA,nan,invscaling,nan,NA,nan,nan,3,nan,adam,NA,0.4895833333333333,147.17083501815796
1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,25,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9768518518518519,151.84425616264343
