activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,auto,20,gini,1,0,1,1,10,constant,94,auto,15,25,randomForestClassifier,10,10,sgd,uniform,1.0
logistic,ball_tree,16,entropy,1,0,1,1,23,adaptive,48,log2,20,15,randomForestClassifier,9,4,sgd,uniform,1.0
logistic,kd_tree,19,entropy,1,1,0,1,17,invscaling,13,log2,17,6,kneighborsClassifier,9,6,adam,uniform,1.0
logistic,ball_tree,13,entropy,1,0,0,1,11,constant,76,sqrt,5,12,randomForestClassifier,9,7,lbfgs,distance,1.0
identity,auto,30,entropy,0,1,0,0,16,invscaling,95,log2,13,9,nnClassifier,3,7,adam,distance,0.53125
logistic,auto,19,entropy,0,0,0,0,26,adaptive,51,sqrt,11,14,kneighborsClassifier,3,1,adam,uniform,0.0
relu,brute,32,entropy,1,1,1,0,22,constant,13,auto,2,27,randomForestClassifier,2,3,lbfgs,distance,0.9814814814814815
relu,ball_tree,18,entropy,1,1,1,0,6,adaptive,100,sqrt,7,16,kneighborsClassifier,8,6,lbfgs,uniform,0.8599537037037037
relu,auto,24,gini,0,0,1,0,30,invscaling,82,log2,4,14,nnClassifier,1,2,lbfgs,uniform,0.5208333333333334
logistic,auto,28,entropy,0,0,1,1,39,invscaling,63,auto,14,7,kneighborsClassifier,10,7,lbfgs,uniform,0.7523148148148148
logistic,kd_tree,25,entropy,1,0,0,1,4,adaptive,8,auto,14,37,randomForestClassifier,2,7,lbfgs,uniform,1.0
tanh,auto,8,gini,0,0,0,0,17,adaptive,63,sqrt,15,30,nnClassifier,3,6,lbfgs,distance,0.0
logistic,auto,12,entropy,0,1,1,1,17,constant,31,sqrt,9,15,kneighborsClassifier,8,7,lbfgs,distance,0.8020833333333334
tanh,auto,22,entropy,1,0,1,1,20,constant,54,auto,12,28,randomForestClassifier,2,1,sgd,uniform,1.0
tanh,brute,13,gini,1,0,1,1,29,constant,16,sqrt,6,15,kneighborsClassifier,4,6,sgd,uniform,0.9652777777777778
logistic,auto,16,entropy,0,0,1,0,2,invscaling,77,log2,13,19,randomForestClassifier,4,3,sgd,uniform,0.6412037037037037
identity,brute,28,gini,1,1,1,1,21,invscaling,99,log2,13,5,nnClassifier,3,10,adam,distance,0.5254629629629629
relu,auto,8,entropy,1,1,1,0,3,constant,15,auto,9,31,randomForestClassifier,4,4,lbfgs,distance,0.9780092592592593
tanh,ball_tree,27,entropy,1,0,0,1,11,invscaling,22,sqrt,7,15,randomForestClassifier,2,9,adam,uniform,1.0
tanh,ball_tree,19,entropy,0,0,0,1,33,adaptive,19,auto,8,20,nnClassifier,3,10,sgd,uniform,0.5127314814814815
tanh,auto,20,gini,1,0,1,1,10,constant,94,auto,15,25,randomForestClassifier,10,10,sgd,uniform,1.0
logistic,ball_tree,16,entropy,1,0,1,1,23,adaptive,48,log2,20,15,randomForestClassifier,9,4,sgd,uniform,1.0
logistic,kd_tree,19,entropy,1,1,0,1,17,invscaling,13,log2,17,6,kneighborsClassifier,9,6,adam,uniform,1.0
logistic,ball_tree,13,entropy,1,0,0,1,11,constant,76,sqrt,5,12,randomForestClassifier,9,7,lbfgs,distance,1.0
logistic,kd_tree,25,entropy,1,0,0,1,4,adaptive,8,auto,14,37,randomForestClassifier,2,7,lbfgs,uniform,1.0
tanh,auto,22,entropy,1,0,1,1,20,constant,54,auto,12,28,randomForestClassifier,2,1,sgd,uniform,1.0
tanh,ball_tree,27,entropy,1,0,0,1,11,invscaling,22,sqrt,7,15,randomForestClassifier,2,9,adam,uniform,1.0
relu,brute,32,entropy,1,1,1,0,22,constant,13,auto,2,27,randomForestClassifier,2,3,lbfgs,distance,0.9814814814814815
