activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,24,gini,1,1,0,1,17,constant,19,sqrt,8,17,kneighborsClassifier,3,6,sgd,distance,0.6979166666666666,69.6667184010148
identity,ball_tree,14,gini,1,1,0,1,29,adaptive,48,sqrt,6,17,kneighborsClassifier,5,6,lbfgs,distance,1.0,69.66676665004343
tanh,ball_tree,13,gini,1,1,1,1,33,invscaling,67,sqrt,13,33,nnClassifier,4,5,sgd,distance,0.48148148148148145,69.66680007916875
tanh,ball_tree,19,gini,1,1,1,1,7,constant,72,sqrt,9,9,kneighborsClassifier,7,3,adam,distance,0.7951388888888888,69.66683321911842
relu,auto,17,gini,1,1,1,1,16,constant,49,auto,9,21,nnClassifier,4,10,lbfgs,distance,0.47800925925925924,69.66686579817906
identity,ball_tree,14,gini,1,1,1,1,29,constant,71,sqrt,13,32,kneighborsClassifier,7,5,lbfgs,distance,0.8414351851851852,69.66689772810787
identity,ball_tree,14,gini,1,1,1,1,9,adaptive,15,auto,14,30,kneighborsClassifier,3,9,sgd,distance,1.0,69.66693012719043
identity,auto,15,gini,1,1,0,1,30,adaptive,53,sqrt,6,12,kneighborsClassifier,3,6,lbfgs,distance,0.9861111111111112,69.66696142707951
relu,auto,23,gini,1,1,1,1,31,constant,33,sqrt,6,20,kneighborsClassifier,6,8,adam,distance,0.6481481481481481,69.66699307621457
relu,ball_tree,20,gini,1,1,0,1,15,adaptive,73,sqrt,7,33,nnClassifier,6,5,lbfgs,distance,0.5243055555555556,69.66702439612709
identity,auto,12,gini,1,1,0,1,29,adaptive,69,sqrt,5,7,kneighborsClassifier,4,5,adam,distance,0,69.66705640521832
identity,auto,16,gini,1,1,0,1,23,invscaling,46,sqrt,6,29,nnClassifier,4,5,lbfgs,distance,0.48148148148148145,69.66708680521697
identity,ball_tree,12,gini,1,1,1,1,35,invscaling,72,sqrt,6,17,kneighborsClassifier,5,6,lbfgs,distance,0.7604166666666666,69.66711812419817
tanh,ball_tree,17,gini,1,1,1,1,29,constant,24,sqrt,16,32,nnClassifier,6,5,adam,distance,0.47453703703703703,69.66714974399656
identity,ball_tree,21,gini,1,1,1,1,14,adaptive,72,auto,6,11,kneighborsClassifier,6,6,lbfgs,distance,0.5717592592592593,69.66718146321364
identity,ball_tree,16,gini,1,1,0,1,7,adaptive,77,auto,5,13,kneighborsClassifier,5,6,sgd,distance,0.9594907407407407,69.66721271304414
identity,ball_tree,28,gini,1,1,1,1,37,constant,44,auto,11,24,kneighborsClassifier,3,3,adam,distance,0.8229166666666666,69.6672439922113
tanh,ball_tree,14,gini,1,1,0,1,12,adaptive,66,auto,6,18,kneighborsClassifier,6,6,lbfgs,distance,0.9988425925925926,69.66727537219413
relu,ball_tree,21,gini,1,1,0,1,18,invscaling,19,sqrt,14,30,nnClassifier,5,5,sgd,distance,0.48148148148148145,69.66731385118328
identity,ball_tree,12,gini,1,1,0,1,35,constant,19,sqrt,12,16,kneighborsClassifier,4,6,adam,distance,0,69.66734608006664
relu,auto,20,gini,1,1,1,1,21,constant,23,auto,5,17,nnClassifier,1,6,adam,distance,1.0,182.43339802022092
relu,auto,14,gini,1,1,1,1,29,constant,48,auto,6,17,nnClassifier,5,6,adam,distance,1.0,182.43348309909925
