activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,26,gini,0,1,0,1,32,constant,15,auto,4,29,kneighborsClassifier,9,10,sgd,uniform,0.6689814814814815
tanh,brute,29,entropy,0,1,0,1,20,invscaling,46,sqrt,17,39,nnClassifier,2,4,adam,distance,0.46296296296296297
tanh,auto,17,gini,1,0,1,1,7,constant,39,sqrt,7,7,randomForestClassifier,8,7,lbfgs,uniform,1.0
tanh,brute,9,gini,1,1,1,1,9,invscaling,23,log2,20,22,randomForestClassifier,8,3,sgd,uniform,1.0
tanh,kd_tree,10,entropy,1,1,1,0,30,adaptive,49,log2,17,38,nnClassifier,8,10,lbfgs,distance,0.49421296296296297
tanh,auto,24,gini,1,0,0,0,19,constant,79,log2,14,26,kneighborsClassifier,7,8,sgd,uniform,0.9583333333333334
relu,brute,22,entropy,0,0,0,1,11,invscaling,86,sqrt,16,34,randomForestClassifier,8,6,lbfgs,uniform,0.6990740740740741
logistic,ball_tree,17,entropy,1,1,1,1,12,constant,43,sqrt,17,20,nnClassifier,3,2,lbfgs,uniform,0.49537037037037035
logistic,kd_tree,11,gini,0,0,1,1,29,invscaling,22,log2,17,40,randomForestClassifier,3,9,adam,uniform,0.7557870370370371
logistic,brute,8,entropy,1,1,1,1,15,adaptive,57,log2,11,37,nnClassifier,4,9,adam,uniform,0.4976851851851852
tanh,brute,9,gini,1,1,0,1,18,invscaling,60,sqrt,10,27,nnClassifier,8,5,lbfgs,uniform,0.49537037037037035
relu,auto,20,entropy,1,1,0,0,27,adaptive,48,log2,12,22,randomForestClassifier,3,6,adam,distance,0.9872685185185185
relu,auto,28,entropy,1,0,0,1,30,adaptive,93,sqrt,3,40,kneighborsClassifier,7,5,sgd,distance,1.0
relu,kd_tree,29,entropy,0,1,1,0,40,constant,4,log2,5,13,randomForestClassifier,9,10,adam,distance,0.6875
relu,ball_tree,22,entropy,0,1,1,0,5,invscaling,46,sqrt,17,17,kneighborsClassifier,8,1,sgd,uniform,0.6574074074074074
identity,ball_tree,18,gini,0,1,0,0,32,adaptive,47,sqrt,14,40,randomForestClassifier,2,7,sgd,uniform,0.6134259259259259
identity,auto,9,gini,0,0,0,1,34,constant,63,auto,3,6,randomForestClassifier,1,10,sgd,distance,0.6990740740740741
tanh,auto,21,entropy,0,1,0,0,26,invscaling,86,log2,4,22,nnClassifier,2,3,adam,distance,0.5636574074074074
tanh,ball_tree,18,gini,1,0,0,1,39,adaptive,8,sqrt,19,40,randomForestClassifier,7,10,adam,distance,1.0
relu,ball_tree,29,gini,0,0,0,1,18,constant,10,sqrt,14,11,kneighborsClassifier,8,5,adam,uniform,0.53125
relu,auto,12,gini,0,1,1,1,27,invscaling,5,log2,2,4,randomForestClassifier,2,8,adam,uniform,0.7731481481481481
relu,kd_tree,8,entropy,1,0,1,0,33,invscaling,31,auto,14,10,randomForestClassifier,8,1,lbfgs,distance,0.9201388888888888
relu,ball_tree,11,entropy,0,1,0,0,23,invscaling,87,auto,3,36,nnClassifier,9,6,adam,distance,0.5324074074074074
logistic,auto,17,entropy,1,0,1,1,8,invscaling,92,auto,18,18,kneighborsClassifier,5,2,adam,uniform,0.9756944444444444
relu,ball_tree,9,gini,1,0,1,1,39,adaptive,46,log2,6,35,randomForestClassifier,3,5,adam,distance,1.0
identity,brute,22,entropy,0,0,1,0,8,invscaling,61,log2,8,18,nnClassifier,9,3,adam,distance,0.5636574074074074
relu,auto,19,gini,1,0,1,1,5,constant,67,auto,10,8,randomForestClassifier,9,2,adam,distance,1.0
identity,auto,28,entropy,1,1,0,1,35,adaptive,24,log2,15,18,kneighborsClassifier,4,10,adam,distance,1.0
relu,auto,20,entropy,0,1,0,1,31,constant,74,log2,2,34,nnClassifier,9,10,adam,distance,0.46296296296296297
tanh,kd_tree,13,entropy,1,0,0,1,31,adaptive,63,log2,17,31,randomForestClassifier,10,6,adam,distance,1.0
tanh,ball_tree,18,gini,1,1,0,1,14,adaptive,59,sqrt,19,23,kneighborsClassifier,4,7,lbfgs,distance,1.0
tanh,ball_tree,13,entropy,1,0,0,1,4,adaptive,13,log2,6,36,randomForestClassifier,8,2,adam,uniform,1.0
relu,kd_tree,14,entropy,1,0,0,0,7,adaptive,83,sqrt,2,17,randomForestClassifier,7,9,lbfgs,uniform,0.9583333333333334
relu,brute,8,entropy,0,1,1,0,4,invscaling,71,sqrt,11,35,randomForestClassifier,8,7,sgd,uniform,0.7592592592592593
tanh,kd_tree,24,gini,1,0,0,0,28,adaptive,24,auto,14,9,randomForestClassifier,2,9,adam,distance,0.9537037037037037
logistic,brute,31,entropy,1,1,0,0,38,adaptive,91,sqrt,16,30,kneighborsClassifier,7,8,sgd,distance,0.9733796296296297
identity,kd_tree,12,gini,0,0,0,1,12,adaptive,89,auto,12,5,randomForestClassifier,7,4,sgd,distance,0.6990740740740741
identity,brute,28,gini,1,0,1,0,19,invscaling,98,sqrt,17,6,kneighborsClassifier,2,9,adam,uniform,0.8599537037037037
logistic,ball_tree,13,entropy,1,1,1,1,23,invscaling,64,auto,8,3,nnClassifier,4,8,lbfgs,distance,0.49537037037037035
relu,ball_tree,12,entropy,0,0,0,1,5,invscaling,73,log2,14,21,randomForestClassifier,9,2,sgd,uniform,0.6990740740740741
identity,kd_tree,22,entropy,1,1,1,0,16,constant,90,log2,5,8,nnClassifier,9,6,sgd,uniform,0.4988425925925926
identity,auto,8,entropy,0,0,1,0,15,adaptive,76,log2,6,38,randomForestClassifier,10,6,adam,distance,0.5995370370370371
relu,auto,18,entropy,0,0,0,0,23,invscaling,54,auto,15,31,nnClassifier,9,1,adam,uniform,0
relu,auto,16,gini,0,0,0,1,14,invscaling,71,auto,6,26,kneighborsClassifier,6,7,lbfgs,uniform,0.53125
relu,kd_tree,21,entropy,0,1,1,1,15,invscaling,89,sqrt,15,17,randomForestClassifier,10,4,sgd,distance,0.7847222222222222
relu,auto,14,entropy,0,0,0,1,32,invscaling,41,auto,3,25,kneighborsClassifier,8,2,adam,distance,0.53125
identity,brute,13,entropy,1,1,1,0,38,constant,23,auto,9,7,kneighborsClassifier,2,1,adam,uniform,0.8622685185185185
relu,brute,8,entropy,1,1,0,0,16,invscaling,45,auto,9,16,nnClassifier,1,2,sgd,uniform,0.5636574074074074
identity,kd_tree,29,gini,1,0,1,0,23,invscaling,10,sqrt,19,32,kneighborsClassifier,5,7,sgd,distance,0.8611111111111112
identity,brute,28,entropy,1,1,0,1,9,invscaling,31,auto,9,8,randomForestClassifier,1,9,adam,uniform,1.0
tanh,brute,14,gini,0,1,1,1,3,constant,51,sqrt,13,6,nnClassifier,2,1,sgd,distance,0.49074074074074076
relu,auto,20,entropy,0,0,1,0,36,adaptive,40,log2,9,38,randomForestClassifier,5,5,adam,distance,0.6076388888888888
relu,ball_tree,32,gini,1,1,0,0,14,constant,80,log2,10,19,randomForestClassifier,10,7,lbfgs,uniform,0.9849537037037037
relu,ball_tree,32,gini,0,1,1,1,15,invscaling,69,log2,15,34,randomForestClassifier,5,7,lbfgs,distance,0.7777777777777778
logistic,brute,30,gini,0,1,0,0,16,adaptive,69,sqrt,16,34,nnClassifier,5,9,sgd,distance,0.5636574074074074
tanh,ball_tree,15,gini,1,0,0,0,19,adaptive,65,log2,5,34,nnClassifier,8,6,lbfgs,uniform,0.4849537037037037
logistic,ball_tree,12,entropy,0,1,0,1,39,constant,61,sqrt,12,40,nnClassifier,2,6,adam,uniform,0.46296296296296297
tanh,ball_tree,25,entropy,0,0,0,0,29,invscaling,94,log2,4,31,randomForestClassifier,1,9,sgd,uniform,0
identity,auto,8,entropy,1,1,0,1,15,constant,53,sqrt,8,30,randomForestClassifier,6,8,lbfgs,distance,1.0
tanh,kd_tree,8,entropy,0,0,0,0,38,adaptive,39,sqrt,11,16,kneighborsClassifier,10,1,lbfgs,distance,0
