,feature_0,feature_1,feature_2,feature_3,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,80,log2,3,24,None,None,None,None,0.9861111111111112,ok,0.8670959318988025
1,0,0,0,1,nnClassifier,tanh,None,26.0,None,None,constant,None,None,None,None,3.0,None,lbfgs,None,0.5277777777777778,ok,1.6884783329442143
2,1,0,1,1,kneighborsClassifier,None,ball_tree,None,None,3.0,None,None,None,None,None,None,1.0,None,uniform,0.9814814814814815,ok,1.7376202049199492
3,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,10,auto,16,37,None,None,None,None,0.6828703703703703,ok,2.0390176670625806
4,1,0,1,1,kneighborsClassifier,None,brute,None,None,17.0,None,None,None,None,None,None,9.0,None,distance,0.9814814814814815,ok,2.163004983915016
5,1,0,0,0,kneighborsClassifier,None,ball_tree,None,None,30.0,None,None,None,None,None,None,2.0,None,distance,0.9120370370370371,ok,2.2210137818474323
6,1,0,1,1,nnClassifier,identity,None,8.0,None,None,adaptive,None,None,None,None,2.0,None,lbfgs,None,0.5115740740740741,ok,2.550147020025179
7,0,1,0,1,kneighborsClassifier,None,ball_tree,None,None,4.0,None,None,None,None,None,None,9.0,None,distance,0.6365740740740741,ok,2.5949056388344616
8,1,1,1,0,nnClassifier,logistic,None,8.0,None,None,constant,None,None,None,None,2.0,None,sgd,None,0.49537037037037035,ok,42.807812756858766
9,1,1,1,0,kneighborsClassifier,None,auto,None,None,26.0,None,None,None,None,None,None,5.0,None,distance,0.8680555555555556,ok,42.83758522104472
10,0,0,0,1,kneighborsClassifier,None,ball_tree,None,None,6.0,None,None,None,None,None,None,5.0,None,uniform,0.6828703703703703,ok,42.960388060892
11,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,72,sqrt,13,29,None,None,None,None,0.8101851851851852,ok,43.69766573491506
12,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,11,sqrt,10,37,None,None,None,None,0.7928240740740741,ok,44.606823957990855
13,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,78,sqrt,4,23,None,None,None,None,1.0,ok,45.12690034904517
14,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,7,auto,6,33,None,None,None,None,1.0,ok,45.64952619583346
15,1,0,1,0,kneighborsClassifier,None,kd_tree,None,None,2.0,None,None,None,None,None,None,2.0,None,uniform,0.8495370370370371,ok,45.69971183501184
16,0,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,82,sqrt,17,10,None,None,None,None,0.6550925925925926,ok,46.82201326196082
17,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,89,log2,14,3,None,None,None,None,1.0,ok,47.35764705296606
18,1,0,0,1,nnClassifier,identity,None,17.0,None,None,invscaling,None,None,None,None,1.0,None,lbfgs,None,0.5115740740740741,ok,47.531223393045366
19,0,1,0,1,nnClassifier,tanh,None,30.0,None,None,invscaling,None,None,None,None,6.0,None,sgd,None,0.5277777777777778,ok,54.47690976993181
20,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,35,auto,8,2,None,None,None,None,1.0,ok,54.959235024871305
21,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,38,log2,9,2,None,None,None,None,1.0,ok,55.43667187495157
22,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,44,log2,13,3,None,None,None,None,1.0,ok,55.91540481289849
23,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,40,auto,8,9,None,None,None,None,1.0,ok,56.39697188185528
24,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,30,auto,8,12,None,None,None,None,1.0,ok,56.87725417292677
25,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,57,log2,11,14,None,None,None,None,0.9074074074074074,ok,57.592969009885564
26,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,55,log2,20,7,None,None,None,None,1.0,ok,58.07479804405011
27,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,21,sqrt,3,19,None,None,None,None,1.0,ok,58.60558452899568
28,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,66,auto,5,19,None,None,None,None,0.9884259259259259,ok,59.46791738504544
29,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,55,auto,6,32,None,None,None,None,1.0,ok,60.005734608042985
30,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,22,sqrt,3,18,None,None,None,None,0.9872685185185185,ok,60.878947373945266
31,1,1,0,1,nnClassifier,relu,None,17.0,None,None,adaptive,None,None,None,None,10.0,None,adam,None,0.5115740740740741,ok,69.94469792488962
32,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,63,auto,6,29,None,None,None,None,1.0,ok,70.48581849085167
33,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,97,auto,6,28,None,None,None,None,1.0,ok,71.02605349197984
34,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,98,auto,6,27,None,None,None,None,1.0,ok,71.56599852791987
