activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,29,entropy,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,7,adaptive,89,log2,11,33,randomForestClassifier,3,4,sgd,uniform,0.996832101372756
tanh,kd_tree,26,gini,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,7,invscaling,33,auto,2,39,nnClassifier,4,4,sgd,uniform,1.0
relu,auto,25,gini,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,37,constant,80,log2,18,33,nnClassifier,6,5,sgd,distance,1.0
logistic,auto,13,entropy,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,35,adaptive,93,log2,5,33,randomForestClassifier,10,7,lbfgs,uniform,0.996832101372756
logistic,auto,27,entropy,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,14,adaptive,48,log2,18,15,kneighborsClassifier,6,2,lbfgs,distance,0.9978880675818373
relu,ball_tree,13,entropy,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,11,constant,76,log2,11,12,kneighborsClassifier,6,4,lbfgs,distance,0.996832101372756
identity,ball_tree,8,entropy,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,12,constant,83,log2,7,34,randomForestClassifier,9,6,lbfgs,uniform,0.996832101372756
logistic,brute,21,gini,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,15,constant,71,sqrt,17,29,randomForestClassifier,1,6,sgd,distance,0.9947201689545935
identity,auto,23,entropy,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,13,adaptive,94,auto,19,21,nnClassifier,10,1,lbfgs,uniform,1.0
relu,auto,13,entropy,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,37,adaptive,77,log2,13,2,randomForestClassifier,6,7,adam,uniform,0.996832101372756
relu,brute,21,gini,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,30,constant,31,log2,12,35,randomForestClassifier,1,7,lbfgs,uniform,0.996832101372756
relu,brute,11,gini,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,2,adaptive,3,log2,13,35,nnClassifier,3,8,adam,uniform,1.0
