activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,ball_tree,23,entropy,1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,22,constant,85,log2,5,8,nnClassifier,1,9,adam,uniform,1.0,42.33641765010543
tanh,ball_tree,21,gini,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,10,constant,29,sqrt,13,18,nnClassifier,3,8,adam,distance,1.0,42.33651899895631
tanh,ball_tree,12,entropy,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,23,constant,51,sqrt,6,13,nnClassifier,1,8,adam,uniform,0.9957761351636748,42.336592237930745
tanh,auto,23,entropy,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,8,constant,59,auto,12,8,nnClassifier,9,4,adam,distance,0.9957761351636748,42.336665058042854
relu,ball_tree,21,entropy,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,6,constant,87,sqrt,6,11,nnClassifier,6,8,adam,uniform,0.9947201689545935,42.33673723693937
tanh,auto,18,entropy,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,17,constant,85,sqrt,5,6,nnClassifier,1,9,adam,uniform,0.9947201689545935,42.336809476139024
tanh,ball_tree,15,gini,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,26,constant,88,auto,4,23,nnClassifier,2,8,adam,uniform,0.9957761351636748,42.336880875052884
relu,ball_tree,23,entropy,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,22,constant,92,log2,6,28,nnClassifier,4,10,adam,distance,1.0,42.336952104000375
tanh,auto,23,gini,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,21,constant,8,auto,8,19,nnClassifier,2,9,adam,uniform,0.9947201689545935,42.337024704087526
tanh,ball_tree,24,gini,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,11,constant,30,auto,12,10,nnClassifier,3,5,adam,uniform,0.9957761351636748,42.33709748298861
tanh,ball_tree,22,entropy,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,33,constant,15,sqrt,15,17,nnClassifier,1,8,adam,uniform,0.9957761351636748,42.33716934197582
tanh,ball_tree,17,entropy,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,36,constant,70,sqrt,12,26,nnClassifier,8,8,adam,uniform,1.0,42.3372414810583
tanh,ball_tree,14,entropy,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,16,constant,72,log2,8,14,nnClassifier,1,7,adam,uniform,0.9947201689545935,42.3373120399192
relu,ball_tree,18,gini,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,29,constant,24,auto,6,34,nnClassifier,2,10,adam,distance,1.0,42.33738258993253
