activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,12,entropy,1,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,24,constant,86,auto,18,25,randomForestClassifier,10,2,lbfgs,uniform,0.9936642027455121
logistic,brute,21,gini,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,40,adaptive,31,log2,10,34,randomForestClassifier,5,10,lbfgs,distance,0.9936642027455121
identity,brute,18,gini,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,12,adaptive,3,sqrt,18,21,kneighborsClassifier,1,4,adam,distance,0.9947201689545935
relu,brute,16,entropy,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,36,constant,20,log2,4,7,randomForestClassifier,7,8,sgd,uniform,0.9947201689545935
logistic,auto,19,gini,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,18,constant,16,sqrt,13,30,nnClassifier,7,3,adam,uniform,1.0
logistic,auto,32,entropy,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,4,adaptive,85,log2,19,7,randomForestClassifier,5,1,adam,distance,0.9936642027455121
identity,brute,19,entropy,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,32,invscaling,17,auto,5,32,kneighborsClassifier,2,4,lbfgs,distance,0.9957761351636748
relu,ball_tree,14,gini,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,3,constant,18,sqrt,8,2,nnClassifier,2,7,lbfgs,uniform,1.0
logistic,kd_tree,25,entropy,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,0,3,constant,38,sqrt,10,37,kneighborsClassifier,6,2,sgd,distance,0.9957761351636748
tanh,ball_tree,30,entropy,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,28,invscaling,79,sqrt,7,40,nnClassifier,2,4,sgd,uniform,1.0
tanh,kd_tree,10,entropy,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,22,constant,46,log2,19,37,randomForestClassifier,1,5,adam,distance,0.9936642027455121
relu,brute,8,entropy,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,8,adaptive,24,auto,7,36,kneighborsClassifier,7,3,lbfgs,uniform,0.9915522703273495
logistic,ball_tree,27,gini,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,36,constant,88,auto,10,22,kneighborsClassifier,9,1,sgd,distance,0.9936642027455121
identity,kd_tree,11,entropy,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,23,constant,72,auto,7,16,randomForestClassifier,3,6,sgd,uniform,0.9947201689545935
relu,auto,8,entropy,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,39,invscaling,80,auto,9,5,kneighborsClassifier,7,7,sgd,distance,0.996832101372756
tanh,kd_tree,14,gini,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0,14,invscaling,54,sqrt,16,26,randomForestClassifier,9,5,adam,uniform,0.9936642027455121
identity,ball_tree,13,gini,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,15,invscaling,60,log2,4,5,randomForestClassifier,8,4,adam,uniform,0.9947201689545935
identity,kd_tree,25,entropy,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,29,constant,90,sqrt,15,3,kneighborsClassifier,1,9,adam,uniform,0.9936642027455121
relu,ball_tree,26,gini,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,31,invscaling,22,sqrt,12,21,nnClassifier,3,7,lbfgs,distance,1.0
logistic,auto,29,entropy,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,6,invscaling,72,sqrt,2,5,nnClassifier,10,10,lbfgs,uniform,1.0
tanh,kd_tree,30,gini,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,31,invscaling,89,auto,19,3,randomForestClassifier,1,1,adam,distance,0.9936642027455121
tanh,brute,9,gini,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,13,constant,4,auto,15,28,nnClassifier,3,3,lbfgs,uniform,1.0
logistic,auto,30,entropy,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,38,invscaling,4,sqrt,17,19,kneighborsClassifier,10,4,adam,distance,0.9957761351636748
relu,auto,24,gini,1,0,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,12,adaptive,55,sqrt,4,18,kneighborsClassifier,6,9,lbfgs,distance,0.996832101372756
relu,brute,24,gini,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,18,constant,95,log2,9,28,nnClassifier,9,4,lbfgs,uniform,1.0
logistic,ball_tree,22,gini,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,27,adaptive,25,log2,20,37,nnClassifier,1,2,sgd,uniform,1.0
logistic,auto,10,gini,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,36,constant,40,auto,16,27,nnClassifier,9,9,adam,uniform,1.0
relu,brute,9,entropy,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,12,adaptive,84,auto,20,12,kneighborsClassifier,1,2,sgd,distance,0.9957761351636748
