,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,kneighborsClassifier,None,kd_tree,None,None,16,None,None,None,None,None,None,9,None,distance,0.9957761351636748,ok,0.13504448416642845
1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,kneighborsClassifier,None,ball_tree,None,None,35,None,None,None,None,None,None,2,None,uniform,0.9936642027455121,ok,0.23063262598589063
2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,kneighborsClassifier,None,brute,None,None,3,None,None,None,None,None,None,8,None,uniform,0.9947201689545935,ok,0.40606786496937275
3,0,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,60.0,log2,6.0,39.0,None,None,None,None,0.9947201689545935,ok,0.9049254420679063
4,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,62.0,auto,19.0,10.0,None,None,None,None,0.9947201689545935,ok,1.513518444960937
5,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,kneighborsClassifier,None,kd_tree,None,None,11,None,None,None,None,None,None,5,None,uniform,0.9926082365364308,ok,1.6387775500770658
6,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,88.0,log2,2.0,26.0,None,None,None,None,0.9947201689545935,ok,2.170839037047699
7,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,14.0,sqrt,3.0,36.0,None,None,None,None,0.9947201689545935,ok,2.7452224269509315
8,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,nnClassifier,identity,None,22.0,None,None,invscaling,None,None,None,None,6.0,None,adam,None,1.0,ok,5.056101070949808
9,1,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,73.0,sqrt,3.0,3.0,None,None,None,None,0.9947201689545935,ok,5.6201597400940955
10,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,nnClassifier,logistic,None,9.0,None,None,constant,None,None,None,None,2.0,None,lbfgs,None,1.0,ok,6.04731929814443
11,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,kneighborsClassifier,None,auto,None,None,3,None,None,None,None,None,None,2,None,distance,0.9947201689545935,ok,6.240412519080564
12,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,16.0,log2,17.0,9.0,None,None,None,None,0.9947201689545935,ok,6.78398058610037
13,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,73.0,sqrt,10.0,35.0,None,None,None,None,0.9947201689545935,ok,7.308617694070563
14,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,kneighborsClassifier,None,kd_tree,None,None,2,None,None,None,None,None,None,2,None,uniform,0.9947201689545935,ok,7.450401930138469
15,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,33.0,log2,4.0,19.0,None,None,None,None,0.9947201689545935,ok,8.043229478178546
16,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,78.0,auto,15.0,26.0,None,None,None,None,0.9947201689545935,ok,8.484966970980167
17,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,nnClassifier,identity,None,30.0,None,None,invscaling,None,None,None,None,8.0,None,lbfgs,None,1.0,ok,8.671820190967992
18,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,nnClassifier,relu,None,9.0,None,None,invscaling,None,None,None,None,5.0,None,adam,None,1.0,ok,13.43142498517409
19,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,61.0,sqrt,5.0,32.0,None,None,None,None,0.9947201689545935,ok,14.021927303168923
20,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,nnClassifier,identity,None,31.0,None,None,invscaling,None,None,None,None,9.0,None,lbfgs,None,1.0,ok,14.28108537197113
21,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,nnClassifier,logistic,None,8.0,None,None,constant,None,None,None,None,1.0,None,adam,None,1.0,ok,23.957823110977188
22,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,nnClassifier,relu,None,8.0,None,None,adaptive,None,None,None,None,2.0,None,sgd,None,1.0,ok,46.818881176179275
23,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,nnClassifier,tanh,None,32.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,1.0,ok,57.34666085196659
24,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,nnClassifier,tanh,None,19.0,None,None,adaptive,None,None,None,None,4.0,None,sgd,None,1.0,ok,72.74455534899607
25,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,nnClassifier,relu,None,16.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,1.0,ok,85.68186781811528
26,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,nnClassifier,tanh,None,16.0,None,None,adaptive,None,None,None,None,4.0,None,sgd,None,1.0,ok,102.49675191217102
27,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,nnClassifier,tanh,None,17.0,None,None,adaptive,None,None,None,None,4.0,None,sgd,None,1.0,ok,119.09736177115701
28,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,nnClassifier,relu,None,15.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,1.0,ok,132.92230093711987
29,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,nnClassifier,tanh,None,13.0,None,None,adaptive,None,None,None,None,6.0,None,sgd,None,0.9989440337909187,ok,152.27803312707692
30,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,nnClassifier,tanh,None,22.0,None,None,adaptive,None,None,None,None,5.0,None,sgd,None,1.0,ok,166.14015706116334
31,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,nnClassifier,relu,None,24.0,None,None,adaptive,None,None,None,None,7.0,None,sgd,None,1.0,ok,175.75644964096136
32,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,kneighborsClassifier,None,auto,None,None,40,None,None,None,None,None,None,6,None,distance,0.9947201689545935,ok,176.03548001497984
