feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,1,1,0,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,60,log2,8,7,nan,nan,NA,NA,0.9181929181929182,6.334262371063232
1,0,0,0,1,0,1,0,1,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,5,NA,distance,0.7081807081807082,11.231702089309692
1,0,1,0,1,0,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,44,log2,1,14,nan,nan,NA,NA,0.9133089133089133,17.20064926147461
1,0,0,1,1,1,0,0,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,66,sqrt,16,10,nan,nan,NA,NA,0.8986568986568987,22.942350387573242
0,1,0,0,1,1,0,1,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,63,log2,8,17,nan,nan,NA,NA,0.9157509157509157,28.360110759735107
1,1,0,1,0,0,0,0,1,0,1,1,kneighborsClassifier,NA,auto,nan,NA,26,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.7667887667887668,32.907705783843994
1,0,0,1,0,1,1,1,0,1,0,1,nnClassifier,tanh,NA,12,NA,nan,adaptive,nan,NA,nan,nan,8,nan,lbfgs,NA,0.6019536019536019,42.949156045913696
0,1,0,1,0,1,0,0,1,1,0,1,nnClassifier,tanh,NA,22,NA,nan,adaptive,nan,NA,nan,nan,6,nan,adam,NA,0.6043956043956044,67.87544250488281
1,1,1,0,0,0,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,47,log2,10,29,nan,nan,NA,NA,0.8925518925518926,73.46484756469727
0,0,0,1,0,0,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,95,log2,5,13,nan,nan,NA,NA,0.9035409035409036,79.81314611434937
0,1,0,0,1,1,0,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,31,log2,11,6,nan,nan,NA,NA,0.9181929181929182,85.49303412437439
0,1,1,1,1,1,0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,5,auto,3,5,nan,nan,NA,NA,0.9157509157509157,90.67613863945007
0,0,0,0,0,0,0,0,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,17,auto,14,2,nan,nan,NA,NA,0.7301587301587301,96.6454689502716
0,0,0,1,0,1,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,13,auto,3,37,nan,nan,NA,NA,0.9230769230769231,102.6314868927002
1,1,0,1,1,0,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,65,auto,18,4,nan,nan,NA,NA,0.9072039072039072,108.54409384727478
1,0,0,1,0,0,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,46,log2,12,3,nan,nan,NA,NA,0.8656898656898657,114.6657567024231
1,1,1,0,0,0,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,19,sqrt,3,36,nan,nan,NA,NA,0.9133089133089133,120.96780800819397
0,1,0,1,1,0,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,10,sqrt,6,32,nan,nan,NA,NA,0.8681318681318682,126.92850017547607
1,1,0,0,1,0,0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,34,log2,3,4,nan,nan,NA,NA,0.8644688644688645,132.03604793548584
1,0,1,1,0,1,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,22,auto,12,3,nan,nan,NA,NA,0.9352869352869353,137.65484189987183
0,1,1,0,1,0,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,30,sqrt,1,3,nan,nan,NA,NA,0.9010989010989011,143.60843062400818
0,1,1,1,0,0,0,0,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,94,auto,2,2,nan,nan,NA,NA,0.8388278388278388,150.0728781223297
0,1,1,0,0,1,1,1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,1,log2,20,13,nan,nan,NA,NA,0.9328449328449329,155.63197135925293
0,0,1,1,1,1,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,67,sqrt,12,3,nan,nan,NA,NA,0.9340659340659341,161.6111478805542
1,1,1,1,0,0,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,20,auto,8,16,nan,nan,NA,NA,0.8998778998778999,167.41162729263306
1,0,1,1,0,1,0,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,4,sqrt,17,2,nan,nan,NA,NA,0.9218559218559218,172.77071523666382
0,0,1,1,0,1,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,93,log2,13,7,nan,nan,NA,NA,0.9304029304029304,178.12373685836792
1,1,1,1,0,1,1,0,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,9,log2,11,2,nan,nan,NA,NA,0.9304029304029304,183.68099784851074
