activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,27,entropy,0,0,0,1,0,0,1,1,0,0,1,1,4,adaptive,32,auto,18,2,nnClassifier,6,2,lbfgs,uniform,0.5860805860805861
tanh,brute,30,entropy,1,1,0,1,1,1,1,0,1,1,1,0,17,constant,56,log2,18,11,kneighborsClassifier,10,4,adam,distance,0.7216117216117216
logistic,kd_tree,14,entropy,0,1,1,1,0,0,0,1,1,0,0,1,9,adaptive,3,log2,2,18,randomForestClassifier,9,10,adam,distance,0.851037851037851
relu,auto,29,gini,1,0,1,1,1,0,0,0,1,1,0,1,14,constant,73,auto,3,25,kneighborsClassifier,8,10,adam,distance,0.7728937728937729
tanh,ball_tree,13,entropy,1,1,0,1,0,1,0,1,0,0,0,0,35,adaptive,9,sqrt,15,26,randomForestClassifier,6,3,lbfgs,distance,0.884004884004884
tanh,kd_tree,20,gini,1,1,0,0,1,0,1,0,0,0,1,1,39,invscaling,19,auto,19,4,randomForestClassifier,7,5,sgd,distance,0.9145299145299145
relu,kd_tree,9,entropy,0,0,1,1,0,1,0,0,1,0,0,0,5,invscaling,32,sqrt,12,32,randomForestClassifier,1,7,lbfgs,distance,0.8815628815628815
tanh,brute,29,gini,0,1,1,1,1,1,0,0,1,1,1,1,19,adaptive,44,auto,6,38,kneighborsClassifier,8,2,sgd,uniform,0.7814407814407814
relu,ball_tree,23,entropy,0,0,1,1,1,1,0,1,0,1,1,1,8,constant,74,log2,19,16,kneighborsClassifier,6,3,sgd,uniform,0.7741147741147741
logistic,brute,23,entropy,0,0,0,1,1,1,1,1,0,0,1,1,39,adaptive,95,log2,5,22,kneighborsClassifier,8,10,sgd,uniform,0.7936507936507936
tanh,auto,30,entropy,0,1,1,0,1,0,1,1,1,0,0,0,12,constant,60,sqrt,12,16,randomForestClassifier,6,7,lbfgs,uniform,0.8962148962148963
logistic,auto,10,entropy,0,0,1,1,1,0,1,1,1,0,1,1,22,adaptive,80,sqrt,16,30,kneighborsClassifier,10,6,adam,uniform,0.7826617826617827
tanh,kd_tree,9,gini,0,1,0,1,0,0,1,1,0,1,0,1,20,constant,2,auto,17,4,nnClassifier,6,5,lbfgs,uniform,0.5946275946275946
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,33,invscaling,26,log2,16,13,randomForestClassifier,4,3,adam,uniform,0.9218559218559218
logistic,ball_tree,27,entropy,1,0,0,0,0,0,0,1,0,1,1,1,10,adaptive,68,sqrt,6,19,randomForestClassifier,1,4,adam,uniform,0.851037851037851
identity,brute,10,entropy,1,0,0,0,0,1,0,1,1,0,0,0,8,adaptive,9,log2,11,18,randomForestClassifier,8,10,sgd,distance,0.8791208791208791
identity,auto,8,gini,0,1,1,0,1,0,0,1,0,0,0,1,34,invscaling,23,auto,19,28,kneighborsClassifier,5,4,adam,distance,0.7777777777777778
identity,ball_tree,32,entropy,0,0,1,1,0,0,0,0,1,0,1,0,11,adaptive,94,log2,8,22,nnClassifier,8,6,lbfgs,uniform,0.5848595848595849
relu,auto,26,gini,1,0,1,1,1,0,1,0,0,0,1,0,21,invscaling,32,log2,7,9,randomForestClassifier,1,10,adam,distance,0.9096459096459096
tanh,ball_tree,11,gini,0,0,1,1,1,0,1,0,1,1,0,0,7,constant,10,auto,14,9,kneighborsClassifier,4,10,lbfgs,distance,0.7667887667887668
logistic,auto,22,entropy,1,1,0,1,0,1,0,1,0,1,1,1,33,invscaling,26,log2,16,13,randomForestClassifier,4,3,adam,uniform,0.9218559218559218
