activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,kd_tree,14,gini,1,1,1,1,1,1,1,1,1,1,1,0,34,invscaling,13,sqrt,11,10,kneighborsClassifier,4,6,adam,distance,0.833943833943834,51.263698901981115
relu,ball_tree,27,gini,1,1,1,1,1,1,1,1,1,0,1,1,7,invscaling,87,auto,11,9,kneighborsClassifier,5,5,adam,distance,0.746031746031746,51.26375733199529
relu,ball_tree,20,gini,1,1,1,1,1,1,1,1,1,0,1,0,12,invscaling,56,auto,7,11,nnClassifier,1,5,adam,uniform,0.5958485958485958,51.26381400087848
relu,kd_tree,28,gini,1,1,1,1,1,1,1,1,1,0,1,1,29,constant,8,sqrt,8,13,nnClassifier,1,4,adam,distance,0.5763125763125763,51.26385670993477
relu,ball_tree,28,gini,1,1,1,1,0,1,0,1,1,1,1,0,34,invscaling,29,sqrt,7,20,kneighborsClassifier,5,2,adam,distance,0.7081807081807082,51.263899008976296
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,0,1,0,28,invscaling,35,sqrt,10,12,randomForestClassifier,2,5,adam,uniform,0.8901098901098901,51.26394126890227
relu,kd_tree,25,gini,1,1,1,1,0,1,0,1,1,0,1,0,27,invscaling,48,sqrt,10,9,randomForestClassifier,1,5,adam,uniform,0.9072039072039072,51.26398304803297
relu,ball_tree,23,gini,1,1,1,1,1,1,1,1,1,0,1,0,26,invscaling,45,sqrt,17,21,randomForestClassifier,2,6,adam,distance,0.9010989010989011,51.26402460807003
relu,kd_tree,25,gini,1,1,1,1,1,1,0,1,1,0,1,0,8,invscaling,48,auto,17,17,nnClassifier,3,5,adam,distance,0.6117216117216118,51.26406634692103
relu,auto,22,gini,1,1,1,1,1,1,1,1,1,0,1,1,29,invscaling,22,sqrt,12,26,kneighborsClassifier,4,5,adam,distance,0.7594627594627594,51.26410763594322
relu,kd_tree,15,gini,1,1,1,1,1,1,1,1,1,0,1,1,28,constant,35,sqrt,16,9,nnClassifier,6,5,adam,uniform,0.557997557997558,51.264148755930364
relu,kd_tree,22,gini,1,1,1,1,0,1,0,1,1,1,1,0,19,constant,71,sqrt,10,24,randomForestClassifier,1,5,adam,uniform,0.8962148962148963,51.264189794892445
relu,kd_tree,25,gini,1,1,1,1,1,1,0,1,1,0,1,1,28,constant,53,sqrt,11,7,nnClassifier,4,1,adam,distance,0.5811965811965812,51.26423143502325
relu,auto,16,gini,1,1,1,1,0,1,0,1,1,0,1,0,34,invscaling,13,auto,8,9,kneighborsClassifier,5,5,adam,distance,0.8107448107448108,51.26427234406583
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,14,invscaling,10,sqrt,16,36,kneighborsClassifier,7,3,adam,uniform,0.7716727716727717,51.26431312295608
relu,auto,18,gini,1,1,1,1,0,1,1,1,1,1,1,0,20,constant,83,sqrt,14,36,nnClassifier,4,7,adam,uniform,0.5787545787545788,51.264353822916746
relu,kd_tree,23,gini,1,1,1,1,0,1,1,1,1,0,1,1,28,invscaling,47,sqrt,10,12,nnClassifier,2,5,adam,distance,0.5824175824175825,51.2643949019257
relu,auto,25,gini,1,1,1,1,1,1,1,1,1,1,1,0,25,constant,91,sqrt,10,20,kneighborsClassifier,2,4,adam,distance,0.7484737484737485,51.26443603192456
relu,kd_tree,25,gini,1,1,1,1,0,1,1,1,1,1,1,0,31,constant,50,sqrt,15,5,nnClassifier,5,5,adam,distance,0.5811965811965812,51.264477100921795
