activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,8,entropy,0,0,1,0,1,1,0,0,1,0,1,0,18,invscaling,24,sqrt,5,24,kneighborsClassifier,2,4,adam,uniform,0.7643467643467643
relu,kd_tree,12,gini,1,0,0,0,0,0,1,0,1,0,1,1,16,constant,35,log2,13,20,nnClassifier,3,2,lbfgs,uniform,0.5934065934065934
identity,brute,26,gini,1,0,1,0,0,1,1,0,0,1,1,0,34,constant,76,sqrt,15,5,nnClassifier,6,7,lbfgs,uniform,0.6092796092796092
logistic,auto,29,entropy,0,0,0,0,1,1,1,1,0,0,0,1,36,constant,91,auto,6,28,randomForestClassifier,4,8,sgd,uniform,0.9096459096459096
relu,kd_tree,12,gini,0,1,1,0,1,1,1,1,1,0,0,0,14,adaptive,13,log2,6,17,randomForestClassifier,3,6,sgd,distance,0.9035409035409036
identity,auto,15,gini,1,0,0,0,0,1,1,1,1,1,1,1,7,constant,97,log2,20,20,randomForestClassifier,10,6,sgd,distance,0.8962148962148963
logistic,brute,11,entropy,0,0,1,1,1,1,0,0,1,1,1,1,24,invscaling,31,auto,13,19,randomForestClassifier,9,6,lbfgs,distance,0.9133089133089133
identity,ball_tree,24,gini,1,0,0,1,1,0,0,0,1,1,0,1,10,adaptive,31,log2,7,11,kneighborsClassifier,7,6,adam,uniform,0.7777777777777778
relu,brute,16,gini,0,1,1,0,0,1,1,1,0,0,1,1,35,adaptive,85,log2,12,34,kneighborsClassifier,4,7,sgd,distance,0.8034188034188035
logistic,kd_tree,12,entropy,1,0,0,1,1,0,0,1,1,0,1,1,27,adaptive,30,log2,9,40,nnClassifier,1,5,sgd,distance,0.6117216117216118
identity,auto,25,entropy,1,1,0,1,1,1,1,1,1,1,1,0,32,constant,67,sqrt,16,27,nnClassifier,10,3,lbfgs,uniform,0.5958485958485958
logistic,brute,17,entropy,0,0,1,1,1,1,1,0,0,0,1,1,39,adaptive,56,sqrt,13,6,kneighborsClassifier,9,6,adam,distance,0.8266178266178266
logistic,brute,14,entropy,1,0,1,0,0,1,1,1,0,0,0,1,13,constant,16,log2,12,8,kneighborsClassifier,6,5,lbfgs,distance,0.796092796092796
identity,auto,22,entropy,1,0,0,0,0,0,1,0,1,1,0,0,17,adaptive,84,auto,2,6,randomForestClassifier,2,10,lbfgs,uniform,0.8534798534798534
relu,ball_tree,21,gini,0,0,1,1,0,0,0,0,0,1,1,1,9,constant,69,log2,19,21,kneighborsClassifier,7,9,adam,distance,0.8302808302808303
identity,auto,24,entropy,1,0,0,0,0,1,0,0,0,0,0,1,19,constant,38,log2,13,40,randomForestClassifier,8,7,sgd,uniform,0.8693528693528694
relu,kd_tree,22,entropy,0,1,1,1,1,0,1,0,1,0,0,1,17,adaptive,87,auto,14,21,nnClassifier,6,4,adam,distance,0.5982905982905983
relu,auto,14,entropy,0,0,1,1,1,1,1,1,0,1,1,0,12,invscaling,51,sqrt,12,20,nnClassifier,10,10,adam,distance,0.5946275946275946
logistic,auto,20,entropy,0,1,0,1,0,1,0,1,1,0,1,1,2,invscaling,15,auto,15,26,randomForestClassifier,10,4,lbfgs,distance,0.8998778998778999
identity,auto,19,gini,1,1,0,0,1,0,0,0,1,1,0,1,32,invscaling,96,sqrt,3,20,nnClassifier,7,7,adam,distance,0.6361416361416361
relu,auto,24,entropy,0,0,1,1,0,0,0,1,1,1,0,0,12,adaptive,66,auto,14,13,randomForestClassifier,7,8,sgd,distance,0.8669108669108669
identity,kd_tree,9,entropy,1,0,0,0,1,1,0,0,0,0,0,1,2,constant,40,sqrt,10,38,randomForestClassifier,10,9,sgd,uniform,0.8888888888888888
relu,brute,19,gini,1,1,0,0,0,1,1,0,0,1,0,0,17,invscaling,25,log2,20,13,randomForestClassifier,5,5,sgd,uniform,0.8595848595848596
logistic,brute,16,entropy,1,0,0,1,0,1,1,1,0,1,1,0,16,adaptive,82,sqrt,15,24,randomForestClassifier,8,5,adam,uniform,0.894993894993895
logistic,auto,22,gini,1,0,1,1,1,1,1,1,0,1,0,0,17,invscaling,9,auto,5,39,nnClassifier,5,2,lbfgs,distance,0.6056166056166056
tanh,ball_tree,27,entropy,0,0,0,0,0,1,0,0,1,1,1,1,31,invscaling,4,sqrt,3,11,kneighborsClassifier,8,3,adam,distance,0.757020757020757
identity,auto,13,gini,1,0,1,0,1,1,0,0,0,0,0,1,5,constant,75,log2,2,9,nnClassifier,7,3,lbfgs,distance,0.608058608058608
tanh,auto,20,gini,0,0,0,1,0,0,1,0,1,1,1,1,25,adaptive,55,log2,7,37,randomForestClassifier,3,6,sgd,distance,0.9035409035409036
relu,ball_tree,23,gini,1,0,1,1,1,1,0,1,1,0,1,0,20,invscaling,81,auto,5,6,randomForestClassifier,7,9,adam,uniform,0.905982905982906
relu,auto,26,entropy,0,1,0,1,0,1,0,0,0,1,0,1,4,adaptive,21,auto,4,34,kneighborsClassifier,7,5,adam,uniform,0.7826617826617827
tanh,kd_tree,16,gini,0,1,1,0,0,1,1,1,0,0,1,1,21,invscaling,50,auto,5,9,kneighborsClassifier,7,2,sgd,distance,0.7814407814407814
relu,auto,16,entropy,1,1,1,1,1,1,0,0,0,0,1,1,27,adaptive,37,auto,7,16,kneighborsClassifier,7,9,lbfgs,distance,0.8302808302808303
identity,kd_tree,14,entropy,1,0,0,0,1,1,0,0,0,0,0,0,34,invscaling,69,auto,10,19,randomForestClassifier,10,2,lbfgs,uniform,0.8656898656898657
tanh,brute,24,entropy,0,1,0,0,0,1,0,0,0,0,0,1,27,constant,71,log2,8,2,nnClassifier,1,2,lbfgs,uniform,0.6117216117216118
