,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,0,0,0,0,0,0,1,0,1,1,kneighborsClassifier,None,auto,None,None,27,None,None,None,None,None,None,6,None,uniform,0.7692307692307693,ok,0.07502958318218589
1,1,1,1,1,1,1,0,1,0,0,0,1,nnClassifier,logistic,None,17.0,None,None,adaptive,None,None,None,None,2.0,None,sgd,None,0.6153846153846154,ok,20.417483378201723
2,1,0,0,1,0,0,0,1,0,0,1,1,nnClassifier,logistic,None,22.0,None,None,invscaling,None,None,None,None,8.0,None,lbfgs,None,0.5885225885225885,ok,24.313772744033486
3,0,1,1,1,1,1,0,1,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,57.0,auto,16.0,2.0,None,None,None,None,0.927960927960928,ok,25.37926147109829
4,1,0,1,0,0,1,0,0,1,1,0,0,nnClassifier,logistic,None,21.0,None,None,invscaling,None,None,None,None,4.0,None,adam,None,0.6105006105006106,ok,41.0489521631971
5,0,0,1,0,0,1,0,0,1,0,0,1,nnClassifier,tanh,None,14.0,None,None,invscaling,None,None,None,None,7.0,None,lbfgs,None,0.608058608058608,ok,46.573336967034265
6,0,1,1,0,1,0,1,1,1,1,0,1,kneighborsClassifier,None,ball_tree,None,None,4,None,None,None,None,None,None,7,None,distance,0.8021978021978022,ok,46.6286129981745
7,0,1,1,1,1,0,1,1,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,55.0,auto,17.0,11.0,None,None,None,None,0.9230769230769231,ok,47.777743383077905
8,1,0,0,0,0,0,1,0,0,0,1,0,kneighborsClassifier,None,auto,None,None,17,None,None,None,None,None,None,4,None,distance,0.8083028083028083,ok,47.81237386818975
9,0,0,1,1,1,0,1,0,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,35.0,auto,11.0,24.0,None,None,None,None,0.9133089133089133,ok,48.82176376506686
10,0,0,0,0,1,0,0,1,0,0,1,0,nnClassifier,tanh,None,25.0,None,None,adaptive,None,None,None,None,4.0,None,lbfgs,None,0.6007326007326007,ok,53.599171601003036
11,0,1,1,0,0,1,1,1,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,26.0,log2,6.0,15.0,None,None,None,None,0.9120879120879121,ok,54.90249922219664
12,0,0,0,0,0,1,1,0,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,40.0,auto,9.0,22.0,None,None,None,None,0.9120879120879121,ok,55.80414424603805
13,0,1,0,1,0,0,0,1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,9.0,sqrt,2.0,22.0,None,None,None,None,0.8681318681318682,ok,57.20177791104652
14,0,0,1,1,0,0,0,1,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,61.0,log2,14.0,22.0,None,None,None,None,0.8791208791208791,ok,58.67686985316686
15,0,0,1,0,1,1,0,0,1,1,0,1,nnClassifier,identity,None,24.0,None,None,adaptive,None,None,None,None,4.0,None,lbfgs,None,0.6056166056166056,ok,59.03142561810091
16,0,1,1,1,0,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,13.0,log2,5.0,20.0,None,None,None,None,0.938949938949939,ok,60.75436075311154
17,0,1,0,0,0,1,1,1,1,0,1,1,nnClassifier,relu,None,18.0,None,None,adaptive,None,None,None,None,9.0,None,lbfgs,None,0.6031746031746031,ok,64.00702482205816
18,1,0,0,0,0,1,0,0,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,46.0,auto,11.0,17.0,None,None,None,None,0.9084249084249084,ok,64.84560974105261
19,1,0,1,0,0,1,1,1,0,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,59.0,sqrt,3.0,37.0,None,None,None,None,0.9010989010989011,ok,66.00976679520682
