feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,15,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.0078125,5.377256870269775
1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,kneighborsClassifier,NA,brute,nan,NA,10,NA,nan,NA,nan,nan,nan,7,NA,distance,0.005859375,10.212605714797974
1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,nnClassifier,identity,NA,26,NA,nan,invscaling,nan,NA,nan,nan,10,nan,lbfgs,NA,0.990234375,15.605937242507935
1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,nnClassifier,relu,NA,17,NA,nan,adaptive,nan,NA,nan,nan,4,nan,lbfgs,NA,0.9921875,21.837145805358887
0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,nnClassifier,logistic,NA,10,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.998046875,47.310078144073486
0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,nnClassifier,tanh,NA,14,NA,nan,adaptive,nan,NA,nan,nan,8,nan,lbfgs,NA,0.990234375,54.50188446044922
1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,nnClassifier,logistic,NA,29,NA,nan,constant,nan,NA,nan,nan,4,nan,sgd,NA,0.998046875,61.959105014801025
0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,68,log2,2,38,nan,nan,NA,NA,0.123046875,69.55085515975952
0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,nnClassifier,logistic,NA,13,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.998046875,83.86545014381409
0,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,75,auto,18,6,nan,nan,NA,NA,0.10546875,94.91942071914673
