activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,25,gini,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,29,constant,61,auto,13,21,randomForestClassifier,9,5,adam,uniform,0.193359375
logistic,kd_tree,16,gini,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,15,invscaling,49,log2,15,35,nnClassifier,3,9,lbfgs,uniform,0.984375
tanh,brute,12,entropy,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,12,adaptive,94,auto,9,15,randomForestClassifier,1,1,sgd,uniform,0.541015625
relu,kd_tree,31,gini,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,35,constant,55,sqrt,12,9,nnClassifier,6,9,sgd,distance,0.994140625
identity,brute,10,gini,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,29,invscaling,14,sqrt,4,27,nnClassifier,6,2,sgd,distance,0.994140625
tanh,kd_tree,23,gini,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,38,constant,77,sqrt,7,34,randomForestClassifier,2,10,sgd,uniform,0.5078125
tanh,brute,30,gini,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,20,invscaling,40,auto,7,29,kneighborsClassifier,1,4,adam,distance,0.015625
relu,auto,21,entropy,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,4,adaptive,1,auto,13,15,randomForestClassifier,9,9,sgd,distance,0.39453125
logistic,auto,28,entropy,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,22,adaptive,7,log2,7,22,randomForestClassifier,3,10,lbfgs,distance,0.103515625
identity,brute,22,entropy,1,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,15,adaptive,19,log2,6,23,randomForestClassifier,10,3,adam,distance,0.47265625
