activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,ball_tree,30,entropy,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,9,adaptive,59,log2,11,20,nnClassifier,7,3,adam,distance,0.109375,143.8509280369617
relu,ball_tree,22,entropy,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,28,invscaling,55,log2,14,8,nnClassifier,4,8,lbfgs,distance,0.138671875,143.85099772596732
identity,ball_tree,25,gini,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,32,constant,8,log2,9,7,nnClassifier,8,6,sgd,uniform,0.083984375,143.85104946489446
relu,ball_tree,25,gini,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,5,invscaling,49,log2,16,6,nnClassifier,7,8,adam,distance,0.99609375,143.85112031386234
tanh,auto,12,gini,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,38,constant,18,auto,12,12,nnClassifier,8,6,adam,distance,0.990234375,143.85117101389915
relu,auto,17,gini,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,7,invscaling,87,auto,19,33,nnClassifier,9,6,lbfgs,uniform,0.5703125,143.8512207828462
identity,ball_tree,12,entropy,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,36,adaptive,48,log2,18,4,nnClassifier,9,7,lbfgs,uniform,0.998046875,143.85127088194713
tanh,auto,15,entropy,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,20,adaptive,94,auto,13,15,nnClassifier,4,9,adam,distance,0.03515625,143.85132111189887
tanh,ball_tree,13,gini,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,20,invscaling,94,sqrt,10,26,nnClassifier,7,8,sgd,uniform,0.01171875,143.85137193091214
identity,ball_tree,14,gini,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,24,constant,49,sqrt,12,26,nnClassifier,10,7,lbfgs,distance,0.033203125,143.85142240999267
