activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,18,entropy,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,32,invscaling,97,auto,13,10,randomForestClassifier,10,9,sgd,uniform,0.0234375
tanh,auto,9,entropy,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,30,adaptive,86,sqrt,12,23,kneighborsClassifier,4,7,lbfgs,uniform,0.015625
identity,auto,27,gini,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,25,constant,47,sqrt,8,27,kneighborsClassifier,9,6,adam,uniform,0.005859375
logistic,auto,15,gini,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,23,constant,50,sqrt,9,38,randomForestClassifier,9,8,sgd,uniform,0.154296875
identity,ball_tree,31,entropy,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,36,invscaling,47,auto,14,2,nnClassifier,5,9,lbfgs,uniform,0.994140625
tanh,auto,20,gini,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,14,constant,12,auto,20,40,randomForestClassifier,9,5,sgd,uniform,0.109375
logistic,auto,20,entropy,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,29,constant,13,log2,4,12,kneighborsClassifier,3,10,sgd,distance,0.03125
relu,kd_tree,24,entropy,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,15,adaptive,24,log2,8,34,nnClassifier,3,7,lbfgs,uniform,0.990234375
logistic,ball_tree,15,gini,0,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,9,adaptive,86,sqrt,20,39,nnClassifier,1,2,lbfgs,distance,0.994140625
identity,brute,24,gini,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,21,constant,56,sqrt,19,28,randomForestClassifier,9,5,adam,uniform,0.48046875
tanh,brute,15,entropy,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,3,adaptive,68,sqrt,10,3,kneighborsClassifier,1,7,sgd,distance,0.015625
tanh,kd_tree,30,gini,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,5,adaptive,84,sqrt,3,20,nnClassifier,8,8,adam,distance,0.9921875
tanh,ball_tree,29,entropy,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,12,adaptive,74,auto,9,16,randomForestClassifier,8,8,adam,uniform,0.11328125
identity,auto,30,gini,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,18,adaptive,57,sqrt,13,12,kneighborsClassifier,10,8,adam,uniform,0.005859375
relu,auto,15,entropy,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,24,invscaling,92,log2,4,34,kneighborsClassifier,3,7,adam,uniform,0.013671875
identity,kd_tree,21,gini,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,0,12,invscaling,52,log2,8,20,kneighborsClassifier,5,5,sgd,distance,0.01953125
relu,brute,10,entropy,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,5,adaptive,8,sqrt,8,23,randomForestClassifier,3,4,sgd,distance,0.025390625
identity,kd_tree,30,entropy,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,0,17,adaptive,19,log2,3,37,randomForestClassifier,8,6,lbfgs,uniform,0.07421875
relu,brute,11,gini,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,0,34,adaptive,78,log2,12,20,kneighborsClassifier,10,7,adam,distance,0.01953125
tanh,auto,18,gini,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,13,constant,67,sqrt,6,21,kneighborsClassifier,1,4,sgd,uniform,0.00390625
logistic,ball_tree,25,gini,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,32,adaptive,13,log2,17,27,kneighborsClassifier,7,2,lbfgs,distance,0.01953125
relu,ball_tree,30,entropy,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,28,constant,25,auto,14,3,randomForestClassifier,9,1,sgd,distance,0.16796875
relu,auto,8,entropy,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,18,adaptive,43,sqrt,11,29,nnClassifier,6,8,adam,distance,0.9921875
logistic,kd_tree,10,gini,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,11,invscaling,93,auto,4,32,nnClassifier,5,2,adam,distance,0.990234375
logistic,ball_tree,19,gini,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,38,adaptive,10,sqrt,12,18,nnClassifier,1,2,lbfgs,distance,0.9921875
tanh,brute,12,entropy,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,37,constant,78,sqrt,2,9,nnClassifier,9,3,lbfgs,distance,0.982421875
relu,auto,25,entropy,0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,11,invscaling,2,auto,3,2,nnClassifier,1,8,adam,uniform,0.9921875
relu,auto,30,entropy,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,10,constant,97,sqrt,2,23,kneighborsClassifier,4,5,lbfgs,uniform,0.001953125
logistic,auto,26,gini,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,23,invscaling,81,sqrt,19,26,randomForestClassifier,3,7,sgd,uniform,0.138671875
identity,kd_tree,25,gini,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,35,invscaling,52,log2,10,20,nnClassifier,4,7,sgd,distance,0.994140625
relu,kd_tree,16,entropy,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,29,invscaling,18,auto,14,19,kneighborsClassifier,3,2,sgd,uniform,0.01171875
identity,brute,12,gini,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,6,constant,64,log2,13,37,kneighborsClassifier,2,2,lbfgs,distance,0.013671875
relu,brute,24,gini,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,17,constant,11,log2,18,3,randomForestClassifier,5,3,lbfgs,uniform,0.154296875
tanh,ball_tree,22,gini,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,36,adaptive,72,auto,20,37,kneighborsClassifier,6,4,sgd,distance,0.015625
identity,kd_tree,19,gini,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,17,adaptive,76,sqrt,18,30,nnClassifier,4,10,lbfgs,distance,0.990234375
identity,ball_tree,8,gini,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,14,invscaling,37,log2,15,19,randomForestClassifier,9,1,lbfgs,uniform,0.07421875
tanh,auto,19,entropy,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,2,invscaling,67,auto,14,21,kneighborsClassifier,5,9,lbfgs,distance,0.009765625
tanh,brute,32,gini,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,13,adaptive,71,log2,8,30,randomForestClassifier,3,9,adam,distance,0.60546875
logistic,auto,12,entropy,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,4,adaptive,12,sqrt,11,28,nnClassifier,5,5,adam,distance,0.994140625
tanh,auto,32,gini,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,39,invscaling,71,log2,15,9,nnClassifier,10,10,adam,uniform,0.98828125
logistic,auto,27,entropy,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,22,constant,83,log2,6,19,kneighborsClassifier,8,8,lbfgs,uniform,0.009765625
