,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,relu,None,23,None,None,invscaling,None,None,None,None,6,None,sgd,None,0.99609375,ok,10.191018975107
1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,76.0,sqrt,2.0,10.0,None,None,None,None,0.09375,ok,22.2628272799775
2,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,52.0,log2,8.0,30.0,None,None,None,None,0.142578125,ok,32.32172453100793
3,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,kneighborsClassifier,None,ball_tree,None,None,40.0,None,None,None,None,None,None,9.0,None,distance,0.013671875,ok,32.386285823071375
4,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,12.0,None,None,None,None,None,None,4.0,None,distance,0.013671875,ok,32.43567713396624
5,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,27.0,sqrt,9.0,20.0,None,None,None,None,0.169921875,ok,39.069603176089004
6,0,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,kneighborsClassifier,None,brute,None,None,38.0,None,None,None,None,None,None,3.0,None,distance,0.00390625,ok,39.13242658809759
7,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,nnClassifier,relu,None,10,None,None,constant,None,None,None,None,9,None,lbfgs,None,0.984375,ok,41.3450806599576
8,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,kneighborsClassifier,None,kd_tree,None,None,24.0,None,None,None,None,None,None,5.0,None,distance,0.001953125,ok,41.38592357095331
9,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,kneighborsClassifier,None,kd_tree,None,None,18.0,None,None,None,None,None,None,10.0,None,distance,0.0078125,ok,41.42787271901034
10,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,nnClassifier,relu,None,14,None,None,adaptive,None,None,None,None,2,None,adam,None,0.99609375,ok,47.77167709404603
11,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,kneighborsClassifier,None,brute,None,None,15.0,None,None,None,None,None,None,1.0,None,uniform,0.0234375,ok,47.823122930014506
12,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,74.0,auto,20.0,8.0,None,None,None,None,0.45703125,ok,55.37736810510978
13,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,33.0,auto,13.0,25.0,None,None,None,None,0.078125,ok,57.37950247596018
14,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,36.0,auto,9.0,37.0,None,None,None,None,0.556640625,ok,59.47743208310567
15,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,kneighborsClassifier,None,auto,None,None,21.0,None,None,None,None,None,None,5.0,None,uniform,0.009765625,ok,59.5276663841214
16,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,kneighborsClassifier,None,auto,None,None,3.0,None,None,None,None,None,None,7.0,None,distance,0.013671875,ok,59.58834922197275
17,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,nnClassifier,identity,None,18,None,None,adaptive,None,None,None,None,2,None,adam,None,0.984375,ok,64.37471031909809
18,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,kneighborsClassifier,None,auto,None,None,18.0,None,None,None,None,None,None,2.0,None,distance,0.005859375,ok,64.41587875597179
19,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,97.0,sqrt,7.0,11.0,None,None,None,None,0.154296875,ok,69.47656922205351
20,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,nnClassifier,relu,None,27,None,None,invscaling,None,None,None,None,5,None,sgd,None,0.99609375,ok,72.45150810712948
21,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,nnClassifier,tanh,None,18,None,None,invscaling,None,None,None,None,6,None,adam,None,0.986328125,ok,79.7503953371197
22,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,relu,None,30,None,None,invscaling,None,None,None,None,6,None,sgd,None,0.99609375,ok,88.02043628809042
23,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,nnClassifier,logistic,None,28,None,None,invscaling,None,None,None,None,5,None,sgd,None,0.99609375,ok,96.58308696793392
24,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,nnClassifier,relu,None,25,None,None,invscaling,None,None,None,None,4,None,sgd,None,0.99609375,ok,105.89790051011369
25,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,relu,None,32,None,None,invscaling,None,None,None,None,8,None,sgd,None,0.99609375,ok,113.7038598919753
26,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,nnClassifier,logistic,None,23,None,None,constant,None,None,None,None,7,None,sgd,None,0.99609375,ok,115.84604249009863
27,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,identity,None,23,None,None,invscaling,None,None,None,None,4,None,lbfgs,None,0.986328125,ok,116.00819939002395
28,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,tanh,None,32,None,None,invscaling,None,None,None,None,9,None,sgd,None,0.99609375,ok,124.86597699904814
29,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,nnClassifier,logistic,None,21,None,None,constant,None,None,None,None,7,None,sgd,None,0.99609375,ok,127.0961539070122
30,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,nnClassifier,logistic,None,22,None,None,constant,None,None,None,None,7,None,sgd,None,0.99609375,ok,129.32550797401927
31,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,tanh,None,32,None,None,invscaling,None,None,None,None,10,None,lbfgs,None,0.986328125,ok,129.85940609499812
32,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,nnClassifier,logistic,None,19,None,None,constant,None,None,None,None,7,None,sgd,None,0.99609375,ok,132.18725218996406
33,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,nnClassifier,logistic,None,14,None,None,constant,None,None,None,None,4,None,sgd,None,0.99609375,ok,135.97063714498654
34,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,nnClassifier,identity,None,15,None,None,adaptive,None,None,None,None,8,None,sgd,None,0.986328125,ok,147.51140500814654
35,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,7.0,log2,17.0,39.0,None,None,None,None,0.26953125,ok,148.49943349906243
36,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,nnClassifier,relu,None,28,None,None,invscaling,None,None,None,None,6,None,sgd,None,0.99609375,ok,157.22595296194777
37,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,nnClassifier,logistic,None,8,None,None,constant,None,None,None,None,4,None,lbfgs,None,0.986328125,ok,157.9347553991247
