activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,14,gini,0,0,0,24,constant,72,auto,4,23,nnClassifier,6,6,sgd,uniform,0.0
identity,brute,26,entropy,1,0,0,14,adaptive,87,sqrt,11,35,nnClassifier,10,7,sgd,distance,0.95995995995996
logistic,auto,20,gini,1,0,0,4,adaptive,16,log2,17,13,nnClassifier,10,6,adam,uniform,0.95995995995996
logistic,auto,9,entropy,1,1,1,15,invscaling,64,log2,18,18,nnClassifier,3,2,adam,uniform,0.9379379379379379
logistic,brute,15,gini,1,1,1,28,invscaling,52,sqrt,14,34,randomForestClassifier,4,7,sgd,distance,0.9579579579579579
tanh,brute,29,gini,1,1,0,23,adaptive,42,sqrt,12,6,nnClassifier,1,6,lbfgs,uniform,0.95995995995996
tanh,kd_tree,20,gini,0,0,0,30,constant,39,auto,8,22,kneighborsClassifier,8,9,sgd,uniform,0.0
logistic,brute,19,gini,1,0,1,19,constant,12,auto,17,28,randomForestClassifier,1,7,lbfgs,distance,0.958958958958959
identity,auto,22,entropy,1,0,0,2,constant,44,log2,10,21,nnClassifier,3,1,sgd,distance,0.95995995995996
relu,ball_tree,17,entropy,0,1,0,30,constant,44,log2,20,28,kneighborsClassifier,9,4,lbfgs,distance,0.955955955955956
tanh,ball_tree,25,entropy,0,1,0,4,adaptive,91,auto,3,7,nnClassifier,7,9,sgd,distance,0.95995995995996
tanh,auto,28,entropy,1,0,0,25,invscaling,67,auto,3,11,nnClassifier,3,3,lbfgs,uniform,0.95995995995996
tanh,ball_tree,25,entropy,0,1,0,7,constant,68,auto,12,6,kneighborsClassifier,2,7,sgd,distance,0.955955955955956
tanh,auto,9,gini,1,0,0,22,invscaling,5,sqrt,17,5,randomForestClassifier,1,6,lbfgs,distance,0.955955955955956
logistic,kd_tree,30,entropy,1,1,0,11,adaptive,81,sqrt,8,23,nnClassifier,1,6,lbfgs,distance,0.95995995995996
logistic,brute,16,gini,1,0,0,30,invscaling,55,log2,14,38,nnClassifier,10,5,lbfgs,distance,0.95995995995996
tanh,kd_tree,12,gini,1,0,0,32,invscaling,91,log2,18,40,nnClassifier,2,8,adam,distance,0.95995995995996
identity,kd_tree,8,entropy,0,0,0,40,invscaling,57,sqrt,5,15,nnClassifier,5,4,lbfgs,distance,0.0
identity,kd_tree,10,entropy,0,1,1,7,invscaling,67,sqrt,2,31,kneighborsClassifier,8,7,lbfgs,uniform,0.955955955955956
tanh,kd_tree,22,gini,0,1,0,17,constant,13,log2,2,13,kneighborsClassifier,2,5,adam,uniform,0.955955955955956
identity,brute,26,entropy,1,0,0,14,adaptive,87,sqrt,11,35,nnClassifier,10,7,sgd,distance,0.95995995995996
logistic,auto,20,gini,1,0,0,4,adaptive,16,log2,17,13,nnClassifier,10,6,adam,uniform,0.95995995995996
tanh,brute,29,gini,1,1,0,23,adaptive,42,sqrt,12,6,nnClassifier,1,6,lbfgs,uniform,0.95995995995996
identity,auto,22,entropy,1,0,0,2,constant,44,log2,10,21,nnClassifier,3,1,sgd,distance,0.95995995995996
tanh,ball_tree,25,entropy,0,1,0,4,adaptive,91,auto,3,7,nnClassifier,7,9,sgd,distance,0.95995995995996
tanh,auto,28,entropy,1,0,0,25,invscaling,67,auto,3,11,nnClassifier,3,3,lbfgs,uniform,0.95995995995996
logistic,kd_tree,30,entropy,1,1,0,11,adaptive,81,sqrt,8,23,nnClassifier,1,6,lbfgs,distance,0.95995995995996
logistic,brute,16,gini,1,0,0,30,invscaling,55,log2,14,38,nnClassifier,10,5,lbfgs,distance,0.95995995995996
tanh,kd_tree,12,gini,1,0,0,32,invscaling,91,log2,18,40,nnClassifier,2,8,adam,distance,0.95995995995996
logistic,brute,19,gini,1,0,1,19,constant,12,auto,17,28,randomForestClassifier,1,7,lbfgs,distance,0.958958958958959
identity,brute,26,entropy,1,0,1,14,adaptive,16,log2,17,13,nnClassifier,10,6,adam,uniform,0.944944944944945
logistic,auto,20,gini,1,0,0,4,adaptive,42,sqrt,12,6,nnClassifier,1,10,lbfgs,uniform,0.95995995995996
tanh,brute,29,gini,1,1,0,23,constant,44,log2,10,21,nnClassifier,3,1,sgd,distance,0.95995995995996
identity,auto,22,entropy,1,0,0,2,adaptive,91,sqrt,3,7,nnClassifier,7,9,sgd,distance,0.95995995995996
tanh,ball_tree,25,entropy,0,1,0,4,invscaling,67,auto,3,11,nnClassifier,3,3,lbfgs,uniform,0.95995995995996
tanh,auto,28,entropy,1,0,0,25,adaptive,81,sqrt,8,23,nnClassifier,6,6,lbfgs,distance,0.95995995995996
logistic,kd_tree,30,entropy,1,1,0,11,invscaling,55,log2,14,38,nnClassifier,10,5,lbfgs,distance,0.95995995995996
logistic,brute,16,gini,1,0,0,15,invscaling,91,log2,18,40,nnClassifier,2,8,adam,distance,0.95995995995996
tanh,kd_tree,12,gini,1,0,0,32,constant,12,auto,17,28,randomForestClassifier,1,7,lbfgs,distance,0.955955955955956
logistic,brute,19,gini,1,0,1,19,adaptive,87,sqrt,11,35,nnClassifier,10,7,sgd,distance,0.9369369369369369
identity,brute,26,entropy,1,0,0,14,adaptive,87,sqrt,11,35,nnClassifier,10,7,sgd,distance,0.95995995995996
logistic,auto,20,gini,1,0,0,4,adaptive,16,log2,17,13,nnClassifier,10,6,adam,uniform,0.95995995995996
tanh,brute,29,gini,1,1,0,23,adaptive,42,sqrt,12,6,nnClassifier,1,6,lbfgs,uniform,0.95995995995996
