activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,12,gini,1,0,1,27,constant,22,log2,14,30,kneighborsClassifier,4,2,sgd,distance,0,64.97381085390225
relu,ball_tree,25,entropy,1,0,1,16,invscaling,90,log2,13,2,kneighborsClassifier,5,4,sgd,uniform,0.9579579579579579,64.97385499300435
relu,ball_tree,28,entropy,1,0,1,19,constant,34,sqrt,6,13,nnClassifier,4,6,sgd,uniform,0.9329329329329329,64.97389198304154
relu,ball_tree,25,entropy,1,1,1,15,invscaling,42,sqrt,14,32,nnClassifier,6,3,adam,distance,0.9519519519519519,64.97392397210933
relu,auto,24,gini,1,0,1,22,constant,96,sqrt,6,23,nnClassifier,5,5,sgd,uniform,0.934934934934935,64.97395618190058
relu,auto,24,gini,1,1,1,23,constant,72,auto,9,38,nnClassifier,7,3,sgd,distance,0.9519519519519519,64.97398767108098
relu,auto,17,gini,1,0,1,19,constant,66,auto,14,27,kneighborsClassifier,5,3,sgd,uniform,0.9579579579579579,64.97401840100065
relu,ball_tree,24,entropy,1,0,1,29,invscaling,89,sqrt,10,12,nnClassifier,5,4,sgd,distance,0.9329329329329329,64.97404950112104
relu,ball_tree,15,gini,1,1,1,6,constant,78,log2,12,18,kneighborsClassifier,4,4,sgd,distance,0.9479479479479479,64.974080610089
relu,auto,19,entropy,1,0,1,15,constant,27,log2,11,23,nnClassifier,6,5,sgd,uniform,0,64.97411151998676
relu,ball_tree,25,gini,1,0,1,32,invscaling,45,auto,11,23,kneighborsClassifier,5,4,sgd,distance,0,64.97414193907753
relu,ball_tree,16,gini,1,1,1,23,invscaling,19,auto,13,10,nnClassifier,5,5,sgd,distance,0.9519519519519519,64.97417183895595
relu,ball_tree,16,entropy,1,1,1,15,invscaling,34,log2,12,14,kneighborsClassifier,6,7,sgd,uniform,0.9569569569569569,64.9742024380248
relu,ball_tree,26,entropy,1,0,1,33,constant,71,auto,9,33,nnClassifier,7,4,sgd,distance,0.9519519519519519,64.97423364804126
relu,ball_tree,19,entropy,1,1,1,34,invscaling,82,log2,12,8,kneighborsClassifier,5,5,sgd,distance,0.9569569569569569,64.97426426806487
relu,ball_tree,12,gini,1,1,1,27,invscaling,37,auto,14,5,kneighborsClassifier,5,3,adam,uniform,0.9569569569569569,64.97429467691109
relu,ball_tree,16,entropy,1,1,1,8,constant,58,auto,6,27,kneighborsClassifier,5,4,adam,uniform,0.9569569569569569,64.9743254170753
relu,ball_tree,25,entropy,1,1,1,34,invscaling,11,sqrt,10,7,nnClassifier,6,4,adam,uniform,0.933933933933934,64.97435604594648
relu,ball_tree,26,gini,1,0,1,33,invscaling,12,auto,6,11,kneighborsClassifier,5,6,adam,distance,0.9569569569569569,64.974386485992
relu,ball_tree,28,entropy,1,0,1,31,constant,37,sqrt,13,25,kneighborsClassifier,6,5,sgd,uniform,0,64.97441680589691
relu,auto,16,gini,1,1,1,23,constant,26,auto,10,26,nnClassifier,4,4,adam,distance,0.933933933933934,228.955482857069
relu,auto,25,gini,1,1,1,16,constant,90,auto,13,2,nnClassifier,5,4,adam,distance,0.9579579579579579,228.95554824592546
