activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,26,gini,0,1,1,21,invscaling,4,auto,4,17,kneighborsClassifier,4,2,lbfgs,uniform,0.964964964964965
identity,auto,12,entropy,1,0,0,17,invscaling,46,auto,15,15,nnClassifier,8,8,adam,distance,0.9629629629629629
logistic,kd_tree,14,entropy,1,0,1,29,constant,58,sqrt,5,11,randomForestClassifier,8,10,adam,uniform,0.9669669669669669
identity,brute,30,entropy,0,0,0,31,adaptive,75,auto,10,29,kneighborsClassifier,5,7,adam,distance,0
identity,auto,13,gini,0,1,1,31,adaptive,77,sqrt,5,9,nnClassifier,1,3,sgd,uniform,0.9519519519519519
relu,brute,30,entropy,1,1,0,11,adaptive,30,sqrt,20,22,kneighborsClassifier,4,8,lbfgs,uniform,0.964964964964965
tanh,brute,24,gini,1,1,0,25,invscaling,7,log2,17,17,kneighborsClassifier,4,5,adam,uniform,0.964964964964965
logistic,brute,32,entropy,1,1,0,6,invscaling,33,sqrt,14,20,nnClassifier,10,8,adam,uniform,0.9629629629629629
tanh,brute,23,entropy,1,1,1,25,constant,99,auto,9,2,nnClassifier,5,6,adam,uniform,0.9429429429429429
relu,auto,28,gini,1,1,1,23,constant,59,log2,19,18,randomForestClassifier,8,7,lbfgs,uniform,0.964964964964965
relu,kd_tree,23,entropy,1,0,0,19,adaptive,6,sqrt,13,26,randomForestClassifier,9,5,lbfgs,distance,0.964964964964965
relu,kd_tree,11,entropy,1,1,0,31,invscaling,41,sqrt,16,4,randomForestClassifier,2,10,adam,uniform,0.964964964964965
relu,auto,28,entropy,1,1,0,12,adaptive,13,auto,11,38,kneighborsClassifier,10,1,lbfgs,distance,0.9279279279279279
relu,kd_tree,8,entropy,0,1,1,26,constant,66,auto,15,38,nnClassifier,9,2,lbfgs,uniform,0.948948948948949
tanh,auto,14,entropy,1,0,1,6,constant,99,log2,6,22,nnClassifier,4,3,lbfgs,distance,0.9479479479479479
relu,auto,10,entropy,1,1,1,39,invscaling,8,sqrt,11,38,kneighborsClassifier,8,10,sgd,uniform,0.964964964964965
relu,auto,23,entropy,1,1,1,4,constant,74,log2,4,24,kneighborsClassifier,9,2,lbfgs,uniform,0.963963963963964
tanh,kd_tree,19,gini,1,1,0,3,invscaling,87,sqrt,9,29,nnClassifier,4,3,sgd,uniform,0.9629629629629629
relu,brute,8,gini,1,1,0,34,constant,56,auto,11,11,nnClassifier,5,8,sgd,distance,0.9629629629629629
identity,brute,28,gini,1,1,0,10,constant,1,sqrt,6,14,nnClassifier,9,3,adam,distance,0.9629629629629629
logistic,auto,26,entropy,0,1,0,26,constant,23,sqrt,6,17,nnClassifier,6,10,sgd,uniform,0.9629629629629629
identity,auto,28,gini,0,0,1,8,constant,22,auto,12,39,kneighborsClassifier,10,9,adam,distance,0.9569569569569569
identity,auto,23,gini,0,0,0,31,invscaling,98,sqrt,11,28,randomForestClassifier,6,9,adam,uniform,0
relu,ball_tree,26,entropy,0,1,1,16,adaptive,18,log2,8,12,nnClassifier,1,6,adam,distance,0.948948948948949
tanh,ball_tree,14,entropy,1,1,0,8,invscaling,70,auto,20,13,nnClassifier,10,10,lbfgs,distance,0.9629629629629629
identity,ball_tree,15,gini,0,0,1,22,constant,30,auto,20,30,kneighborsClassifier,6,7,sgd,uniform,0.965965965965966
identity,auto,14,gini,1,1,0,31,adaptive,70,auto,4,11,kneighborsClassifier,5,1,sgd,distance,0.9279279279279279
tanh,ball_tree,13,entropy,0,1,0,30,constant,91,sqrt,8,9,randomForestClassifier,6,9,sgd,distance,0.964964964964965
tanh,kd_tree,32,gini,1,1,0,27,adaptive,34,auto,13,9,kneighborsClassifier,7,6,sgd,uniform,0.964964964964965
identity,ball_tree,27,entropy,1,0,0,3,constant,80,auto,5,24,nnClassifier,10,5,sgd,distance,0.9629629629629629
relu,brute,13,gini,0,0,0,30,invscaling,94,sqrt,5,27,randomForestClassifier,9,4,sgd,distance,0
tanh,brute,20,entropy,0,1,1,11,constant,23,sqrt,2,5,randomForestClassifier,2,6,adam,distance,0.95995995995996
logistic,brute,29,gini,1,1,0,14,adaptive,99,auto,9,20,randomForestClassifier,4,1,adam,uniform,0.964964964964965
relu,auto,15,entropy,0,0,1,10,invscaling,73,log2,19,20,randomForestClassifier,5,7,lbfgs,distance,0.965965965965966
logistic,auto,18,entropy,0,1,1,33,constant,37,auto,9,20,randomForestClassifier,7,5,sgd,uniform,0.963963963963964
identity,auto,12,gini,1,1,1,12,constant,100,sqrt,13,26,kneighborsClassifier,3,2,sgd,distance,0.9279279279279279
tanh,kd_tree,26,entropy,0,1,1,14,invscaling,19,auto,16,27,nnClassifier,5,8,sgd,distance,0.9629629629629629
logistic,auto,28,gini,0,0,1,28,adaptive,22,sqrt,6,37,randomForestClassifier,5,7,adam,uniform,0.9669669669669669
logistic,auto,9,entropy,0,1,0,33,constant,68,sqrt,20,22,randomForestClassifier,6,5,adam,distance,0.964964964964965
tanh,kd_tree,22,gini,0,1,1,15,adaptive,31,sqrt,2,12,randomForestClassifier,10,9,sgd,uniform,0.95995995995996
logistic,auto,30,entropy,1,0,1,32,adaptive,66,sqrt,4,38,randomForestClassifier,3,5,lbfgs,distance,0.9669669669669669
tanh,auto,16,gini,1,1,1,12,invscaling,56,log2,3,24,nnClassifier,3,7,lbfgs,distance,0.9419419419419419
identity,kd_tree,28,entropy,1,0,0,24,adaptive,39,sqrt,17,16,nnClassifier,4,5,lbfgs,distance,0.9629629629629629
relu,kd_tree,31,entropy,0,0,0,16,adaptive,19,sqrt,13,36,nnClassifier,7,9,adam,distance,0
identity,auto,28,gini,0,1,1,16,adaptive,4,auto,19,3,nnClassifier,2,7,lbfgs,uniform,0.94994994994995
identity,ball_tree,24,gini,0,0,1,38,constant,21,log2,10,31,kneighborsClassifier,3,7,lbfgs,distance,0.955955955955956
tanh,kd_tree,11,gini,1,1,1,38,constant,80,log2,5,31,kneighborsClassifier,6,10,adam,uniform,0.964964964964965
logistic,auto,28,entropy,0,0,0,15,constant,36,log2,17,16,randomForestClassifier,10,10,adam,distance,0
identity,brute,20,gini,1,0,0,27,adaptive,91,sqrt,9,23,nnClassifier,1,4,lbfgs,uniform,0.9629629629629629
tanh,ball_tree,18,entropy,1,1,0,5,invscaling,77,log2,4,34,kneighborsClassifier,5,2,adam,distance,0.9279279279279279
identity,auto,26,gini,1,1,1,32,invscaling,87,log2,17,23,nnClassifier,7,7,sgd,distance,0.9519519519519519
relu,auto,8,gini,1,0,1,32,invscaling,24,sqrt,6,5,kneighborsClassifier,5,9,adam,distance,0.960960960960961
tanh,brute,20,entropy,1,0,0,39,constant,24,log2,13,8,nnClassifier,3,4,sgd,distance,0.9629629629629629
identity,kd_tree,32,gini,0,1,0,12,constant,69,log2,13,19,kneighborsClassifier,4,9,lbfgs,uniform,0.964964964964965
tanh,auto,13,entropy,0,0,1,38,invscaling,49,log2,10,38,kneighborsClassifier,3,7,lbfgs,distance,0.955955955955956
relu,kd_tree,14,gini,0,1,1,27,adaptive,78,auto,8,18,kneighborsClassifier,7,7,lbfgs,distance,0.9619619619619619
identity,brute,13,entropy,1,0,0,19,adaptive,79,auto,17,12,nnClassifier,3,8,sgd,uniform,0.9629629629629629
tanh,kd_tree,11,entropy,1,0,1,19,invscaling,81,sqrt,12,33,kneighborsClassifier,6,9,lbfgs,uniform,0.964964964964965
identity,ball_tree,22,entropy,0,1,0,14,adaptive,46,sqrt,13,3,nnClassifier,1,8,sgd,uniform,0.9629629629629629
identity,auto,26,entropy,0,1,0,9,constant,13,sqrt,20,30,kneighborsClassifier,9,7,adam,uniform,0.964964964964965
tanh,kd_tree,17,entropy,0,1,0,27,constant,36,log2,11,39,randomForestClassifier,2,9,adam,uniform,0.964964964964965
logistic,brute,8,entropy,0,0,0,39,invscaling,15,auto,3,18,randomForestClassifier,7,9,lbfgs,distance,0
logistic,kd_tree,21,gini,1,1,0,32,adaptive,80,log2,16,17,randomForestClassifier,9,6,lbfgs,uniform,0.964964964964965
relu,kd_tree,26,entropy,0,0,1,33,adaptive,90,sqrt,4,35,kneighborsClassifier,8,1,sgd,uniform,0.944944944944945
relu,auto,26,gini,1,1,1,26,adaptive,4,log2,20,25,nnClassifier,8,10,adam,uniform,0.9469469469469469
tanh,ball_tree,9,gini,0,0,0,35,invscaling,48,auto,4,13,nnClassifier,1,4,sgd,uniform,0
identity,kd_tree,25,gini,1,0,0,29,invscaling,89,sqrt,4,22,randomForestClassifier,6,5,lbfgs,distance,0.964964964964965
relu,auto,28,entropy,1,1,0,25,adaptive,93,sqrt,17,30,nnClassifier,2,5,sgd,uniform,0.9629629629629629
tanh,kd_tree,13,gini,1,1,1,13,constant,46,sqrt,6,18,kneighborsClassifier,1,8,lbfgs,distance,0.965965965965966
relu,brute,21,gini,0,1,1,14,invscaling,100,auto,2,20,kneighborsClassifier,3,1,lbfgs,distance,0.9519519519519519
tanh,kd_tree,27,entropy,1,1,1,20,adaptive,88,sqrt,5,39,randomForestClassifier,10,8,adam,uniform,0.965965965965966
logistic,kd_tree,26,entropy,0,0,1,39,invscaling,45,sqrt,2,35,nnClassifier,10,8,sgd,uniform,0.9629629629629629
identity,brute,24,gini,0,1,0,39,adaptive,97,log2,4,37,randomForestClassifier,7,10,lbfgs,uniform,0.964964964964965
identity,brute,16,gini,0,0,1,35,constant,94,log2,20,21,nnClassifier,2,6,lbfgs,uniform,0.94994994994995
logistic,ball_tree,31,gini,0,0,0,24,invscaling,12,log2,8,4,kneighborsClassifier,2,10,adam,uniform,0
logistic,kd_tree,8,entropy,1,1,0,23,constant,2,sqrt,6,34,randomForestClassifier,5,1,adam,uniform,0.964964964964965
relu,brute,29,entropy,1,1,0,32,adaptive,44,log2,18,29,randomForestClassifier,4,2,sgd,uniform,0.964964964964965
logistic,auto,10,entropy,1,0,1,7,adaptive,66,log2,9,16,randomForestClassifier,7,10,sgd,distance,0.965965965965966
logistic,brute,14,gini,1,1,0,22,invscaling,98,sqrt,14,7,nnClassifier,3,7,lbfgs,distance,0.9629629629629629
relu,brute,26,gini,0,0,1,15,adaptive,66,auto,20,19,kneighborsClassifier,4,7,adam,distance,0.955955955955956
logistic,ball_tree,31,entropy,1,1,0,4,invscaling,99,auto,5,28,kneighborsClassifier,8,6,lbfgs,distance,0.964964964964965
tanh,auto,11,entropy,0,0,1,18,invscaling,82,log2,5,23,randomForestClassifier,7,2,lbfgs,distance,0.9669669669669669
tanh,auto,8,entropy,1,0,1,30,adaptive,50,log2,9,37,nnClassifier,4,8,adam,distance,0.9459459459459459
tanh,ball_tree,25,gini,0,1,0,9,constant,14,sqrt,17,24,nnClassifier,4,5,sgd,uniform,0.9629629629629629
logistic,auto,9,entropy,1,1,0,24,constant,79,sqrt,3,18,kneighborsClassifier,4,7,sgd,distance,0.965965965965966
identity,ball_tree,30,entropy,1,1,1,17,constant,81,auto,13,13,nnClassifier,4,6,adam,distance,0.950950950950951
logistic,kd_tree,19,gini,0,1,0,18,invscaling,49,log2,15,13,randomForestClassifier,8,3,adam,uniform,0.964964964964965
relu,kd_tree,18,entropy,0,1,0,17,constant,29,log2,7,10,kneighborsClassifier,1,9,sgd,uniform,0.964964964964965
relu,ball_tree,20,entropy,0,1,1,11,adaptive,93,auto,14,15,nnClassifier,10,9,lbfgs,distance,0.948948948948949
logistic,auto,32,entropy,1,1,1,11,adaptive,38,sqrt,16,6,nnClassifier,8,6,lbfgs,uniform,0.948948948948949
tanh,ball_tree,15,entropy,1,0,1,20,adaptive,22,sqrt,18,22,kneighborsClassifier,7,7,adam,uniform,0.964964964964965
tanh,brute,30,gini,1,1,1,9,invscaling,74,log2,18,18,nnClassifier,7,7,lbfgs,distance,0.9419419419419419
tanh,kd_tree,19,entropy,0,1,1,36,invscaling,78,auto,17,18,kneighborsClassifier,7,2,adam,uniform,0.964964964964965
tanh,auto,25,gini,1,0,1,7,constant,21,auto,8,27,kneighborsClassifier,9,5,adam,uniform,0.964964964964965
tanh,kd_tree,21,entropy,1,1,0,34,adaptive,64,sqrt,12,4,nnClassifier,9,3,lbfgs,uniform,0.9629629629629629
logistic,auto,8,gini,1,1,0,19,constant,75,sqrt,2,9,kneighborsClassifier,5,6,adam,distance,0.964964964964965
relu,ball_tree,17,entropy,0,0,1,16,constant,16,sqrt,4,29,randomForestClassifier,2,2,adam,distance,0.9669669669669669
identity,brute,28,entropy,1,1,1,6,invscaling,37,log2,5,34,nnClassifier,9,6,lbfgs,distance,0.94994994994995
relu,auto,31,entropy,1,1,1,32,invscaling,55,log2,8,17,kneighborsClassifier,1,9,lbfgs,uniform,0.964964964964965
identity,auto,20,gini,0,0,0,38,invscaling,79,auto,18,38,kneighborsClassifier,2,10,sgd,uniform,0
