,feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,38,sqrt,15,12,None,None,None,None,0.960960960960961,ok,0.874245157931
1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,77,auto,11,16,None,None,None,None,0.9679679679679679,ok,2.355800025863573
2,1,0,0,nnClassifier,logistic,None,18.0,None,None,invscaling,None,None,None,None,10.0,None,adam,None,0.948948948948949,ok,13.376511077862233
3,1,0,1,kneighborsClassifier,None,auto,None,None,30.0,None,None,None,None,None,None,5.0,None,distance,0.950950950950951,ok,13.398719673976302
4,1,1,1,randomForestClassifier,None,None,None,gini,None,None,56,sqrt,16,30,None,None,None,None,0.963963963963964,ok,14.27901458996348
5,0,1,1,kneighborsClassifier,None,kd_tree,None,None,6.0,None,None,None,None,None,None,3.0,None,distance,0.9519519519519519,ok,14.301136747933924
6,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,11,auto,13,12,None,None,None,None,0.960960960960961,ok,15.2175251909066
7,0,0,1,nnClassifier,tanh,None,23.0,None,None,constant,None,None,None,None,4.0,None,adam,None,0.92992992992993,ok,22.66445628996007
8,0,0,1,kneighborsClassifier,None,auto,None,None,38.0,None,None,None,None,None,None,4.0,None,uniform,0.960960960960961,ok,22.709664318943396
9,0,1,0,randomForestClassifier,None,None,None,gini,None,None,4,log2,16,38,None,None,None,None,0.960960960960961,ok,23.248997933929786
10,0,1,0,nnClassifier,tanh,None,14.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,0.948948948948949,ok,39.04960461589508
11,1,1,0,nnClassifier,logistic,None,27.0,None,None,constant,None,None,None,None,5.0,None,adam,None,0.948948948948949,ok,42.43216093699448
12,0,1,0,randomForestClassifier,None,None,None,gini,None,None,72,sqrt,14,39,None,None,None,None,0.960960960960961,ok,43.27727326378226
13,0,0,1,nnClassifier,tanh,None,23.0,None,None,adaptive,None,None,None,None,2.0,None,lbfgs,None,0.9319319319319319,ok,47.52560471883044
14,1,0,0,randomForestClassifier,None,None,None,gini,None,None,50,sqrt,6,6,None,None,None,None,0.960960960960961,ok,48.37894415296614
15,0,1,1,nnClassifier,logistic,None,27.0,None,None,adaptive,None,None,None,None,6.0,None,sgd,None,0.948948948948949,ok,58.48676902288571
16,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
17,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,49,auto,19,11,None,None,None,None,0.9679679679679679,ok,59.921372699784115
18,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
19,1,0,0,randomForestClassifier,None,None,None,gini,None,None,70,sqrt,14,18,None,None,None,None,0.960960960960961,ok,60.73517550993711
20,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,98,auto,20,23,None,None,None,None,0.9679679679679679,ok,62.16922127595171
21,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,99,auto,7,26,None,None,None,None,0.965965965965966,ok,63.79227642179467
22,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,27,auto,2,3,None,None,None,None,0.9619619619619619,ok,65.40798229398206
23,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,99,auto,9,21,None,None,None,None,0.9679679679679679,ok,66.91731279785745
24,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,84,log2,9,19,None,None,None,None,0.9679679679679679,ok,68.42694210680202
