feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,0,0,0,0,1,1,nnClassifier,logistic,NA,18,NA,nan,constant,nan,NA,nan,nan,2,nan,adam,NA,0.5604395604395604,9.433934211730957
0,1,1,0,1,0,1,1,kneighborsClassifier,NA,auto,nan,NA,30,NA,nan,NA,nan,nan,nan,9,NA,distance,0.7594627594627594,13.925477027893066
1,0,0,1,1,1,0,0,kneighborsClassifier,NA,brute,nan,NA,10,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9413919413919414,18.804803371429443
1,1,0,0,0,1,0,1,kneighborsClassifier,NA,brute,nan,NA,9,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.6862026862026862,23.590707540512085
1,0,0,0,0,1,0,0,kneighborsClassifier,NA,brute,nan,NA,20,NA,nan,NA,nan,nan,nan,3,NA,distance,0.7423687423687424,28.232153177261353
0,0,1,1,0,0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.5738705738705738,32.455090045928955
1,0,0,1,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,8,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9316239316239316,37.03409433364868
0,1,0,1,1,1,0,0,kneighborsClassifier,NA,brute,nan,NA,38,NA,nan,NA,nan,nan,nan,5,NA,distance,0.938949938949939,41.87792372703552
1,0,1,1,1,0,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,7,NA,nan,NA,nan,nan,nan,7,NA,distance,0.7216117216117216,46.30959701538086
0,0,0,1,1,1,1,0,kneighborsClassifier,NA,brute,nan,NA,21,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9487179487179487,51.08553147315979
0,1,1,1,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,15,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9474969474969475,55.88657855987549
0,0,1,1,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,28,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.945054945054945,60.819108724594116
1,0,0,1,1,1,1,0,kneighborsClassifier,NA,brute,nan,NA,19,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.927960927960928,65.36266160011292
0,1,1,1,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9474969474969475,69.8342342376709
0,0,1,1,0,1,1,0,kneighborsClassifier,NA,brute,nan,NA,15,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.7496947496947497,74.64733409881592
0,0,1,1,1,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,7,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9438339438339438,79.23517775535583
1,1,1,1,0,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,18,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.7777777777777778,83.94682359695435
1,1,1,1,1,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,34,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.7106227106227107,88.70193386077881
1,1,1,0,1,1,1,0,kneighborsClassifier,NA,auto,nan,NA,21,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9474969474969475,93.38559913635254
0,1,0,1,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,17,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9438339438339438,97.8455741405487
1,1,0,1,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,18,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.945054945054945,102.83588147163391
