activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,kd_tree,12,gini,1,0,1,1,1,1,1,0,24,constant,95,auto,2,19,kneighborsClassifier,10,6,adam,distance,0.706959706959707,134.04034549789503
relu,auto,11,gini,1,1,1,0,1,1,1,1,31,constant,20,auto,9,30,kneighborsClassifier,9,2,adam,distance,0.9291819291819292,134.04040315700695
relu,kd_tree,8,gini,0,0,1,0,1,1,1,0,23,invscaling,8,auto,2,28,kneighborsClassifier,9,5,adam,distance,0.9340659340659341,134.04044174589217
relu,auto,9,gini,1,1,1,1,1,1,1,0,20,constant,35,auto,8,28,kneighborsClassifier,9,5,adam,distance,0.7802197802197802,134.04047983605415
relu,auto,15,gini,1,0,1,1,1,1,1,1,18,invscaling,72,auto,2,29,kneighborsClassifier,5,3,adam,distance,0.7203907203907204,134.04052641498856
relu,auto,15,gini,0,0,1,0,1,1,1,0,32,invscaling,88,auto,5,17,kneighborsClassifier,9,2,adam,distance,0.9194139194139194,134.04056391399354
relu,kd_tree,20,gini,0,0,1,0,1,1,1,0,30,invscaling,7,auto,14,6,kneighborsClassifier,5,5,adam,distance,0.9267399267399268,134.04060056409799
relu,ball_tree,19,gini,1,0,1,1,1,1,1,1,28,invscaling,17,auto,11,17,nnClassifier,9,5,adam,distance,0.503052503052503,134.04063709289767
relu,auto,20,gini,1,0,1,1,1,1,1,0,14,invscaling,68,auto,4,28,kneighborsClassifier,10,4,adam,distance,0.5409035409035409,134.04067366290838
relu,kd_tree,17,gini,0,1,1,0,1,1,1,1,23,invscaling,40,auto,2,26,nnClassifier,9,6,adam,distance,0.5006105006105006,134.04071016190574
relu,auto,29,gini,1,1,1,1,1,1,1,0,8,invscaling,50,auto,2,21,kneighborsClassifier,6,5,adam,distance,0.9145299145299145,134.0407469009515
relu,kd_tree,17,gini,1,1,1,1,1,1,1,1,30,invscaling,63,auto,3,9,kneighborsClassifier,7,5,adam,distance,0.7826617826617827,134.04078352102078
relu,kd_tree,10,gini,0,0,1,0,1,1,1,0,36,invscaling,43,auto,2,16,nnClassifier,3,4,adam,distance,0.6202686202686203,134.04082016996108
relu,kd_tree,20,gini,1,1,1,0,1,1,1,0,15,invscaling,20,auto,16,13,nnClassifier,8,6,adam,distance,0.5653235653235653,134.04085666011088
relu,kd_tree,22,gini,1,1,1,0,1,1,1,1,28,invscaling,73,auto,5,28,kneighborsClassifier,9,4,adam,distance,0.7350427350427351,134.04089269903488
relu,kd_tree,17,gini,1,1,1,1,1,1,1,1,27,constant,85,auto,5,6,nnClassifier,2,5,adam,distance,0.568986568986569,134.04092919803225
relu,auto,26,gini,1,0,1,0,1,1,1,1,6,constant,90,auto,7,25,nnClassifier,7,4,adam,distance,0.5470085470085471,134.04096561810002
relu,auto,28,gini,1,1,1,0,1,1,1,1,17,invscaling,43,auto,15,25,nnClassifier,7,5,adam,distance,0.6178266178266179,134.04100187704898
relu,kd_tree,8,gini,0,1,1,0,1,1,1,1,36,invscaling,76,auto,2,26,kneighborsClassifier,6,8,adam,distance,0.9206349206349206,134.04103854694404
relu,kd_tree,12,gini,1,1,1,1,1,1,1,1,17,constant,35,auto,16,16,kneighborsClassifier,8,6,adam,distance,0.9230769230769231,134.04107490601018
relu,auto,8,gini,1,1,1,1,1,1,1,1,22,constant,91,auto,2,23,nnClassifier,10,6,adam,distance,0.9291819291819292,415.53158502001315
relu,auto,8,gini,1,1,1,1,1,1,1,1,35,constant,16,auto,8,30,nnClassifier,7,6,adam,distance,0.8986568986568987,415.53164088889025
relu,auto,8,gini,1,1,1,1,1,1,1,1,23,constant,8,auto,2,28,nnClassifier,9,5,adam,distance,0.9340659340659341,415.5316787180491
relu,auto,8,gini,1,1,1,1,1,1,1,1,22,constant,31,auto,6,26,nnClassifier,9,3,adam,distance,0.9328449328449329,415.53171540703624
relu,auto,11,gini,1,1,1,1,1,1,1,1,22,constant,68,auto,2,27,nnClassifier,9,7,adam,distance,0.9304029304029304,415.53175129694864
relu,auto,16,gini,1,1,1,1,1,1,1,1,30,constant,84,auto,3,21,nnClassifier,8,6,adam,distance,0.9145299145299145,415.5317872259766
relu,auto,16,gini,1,1,1,1,1,1,1,1,26,constant,7,auto,10,10,nnClassifier,9,7,adam,distance,0.9340659340659341,415.53182334592566
relu,auto,15,gini,1,1,1,1,1,1,1,1,24,constant,19,auto,7,20,nnClassifier,9,5,adam,distance,0.49694749694749696,415.53185979509726
relu,auto,16,gini,1,1,1,1,1,1,1,1,17,constant,64,auto,2,26,nnClassifier,9,5,adam,distance,0.9230769230769231,415.5318963539321
relu,auto,13,gini,1,1,1,1,1,1,1,1,23,constant,37,auto,3,27,nnClassifier,7,9,adam,distance,0.49572649572649574,415.5319321039133
relu,auto,25,gini,1,1,1,1,1,1,1,1,12,constant,46,auto,2,25,nnClassifier,10,5,adam,distance,0.9328449328449329,415.5319684629794
relu,auto,13,gini,1,1,1,1,1,1,1,1,26,constant,59,auto,2,13,nnClassifier,10,3,adam,distance,0.927960927960928,415.53200462297536
relu,auto,13,gini,1,1,1,1,1,1,1,1,32,constant,39,auto,2,14,nnClassifier,5,4,adam,distance,0.4945054945054945,415.53204082208686
relu,auto,16,gini,1,1,1,1,1,1,1,1,19,constant,16,auto,12,15,nnClassifier,10,7,adam,distance,0.5103785103785103,415.53207679092884
relu,auto,20,gini,1,1,1,1,1,1,1,1,25,constant,69,auto,2,28,nnClassifier,9,3,adam,distance,0.9181929181929182,415.532112901099
relu,auto,13,gini,1,1,1,1,1,1,1,1,26,constant,81,auto,2,10,nnClassifier,6,3,adam,distance,0.5079365079365079,415.5321493600495
relu,auto,27,gini,1,1,1,1,1,1,1,1,10,constant,86,auto,3,29,nnClassifier,9,5,adam,distance,0.5067155067155067,415.53218525997363
relu,auto,30,gini,1,1,1,1,1,1,1,1,15,constant,39,auto,11,26,nnClassifier,10,5,adam,distance,0.5006105006105006,415.5322210190352
relu,auto,8,gini,1,1,1,1,1,1,1,1,32,constant,72,auto,2,28,nnClassifier,9,5,adam,distance,0.9340659340659341,415.5322570090648
relu,auto,9,gini,1,1,1,1,1,1,1,1,21,constant,31,auto,12,20,nnClassifier,8,4,adam,distance,0.9242979242979243,415.53229289804585
relu,auto,12,gini,1,1,1,1,1,1,1,1,24,constant,87,auto,2,25,nnClassifier,9,5,adam,distance,0.5054945054945055,1728.912501272047
relu,auto,8,gini,1,1,1,1,1,1,1,1,31,constant,12,auto,5,28,nnClassifier,7,2,adam,distance,0.5042735042735043,1728.9125596410595
relu,auto,8,gini,1,1,1,1,1,1,1,1,23,constant,8,auto,2,28,nnClassifier,9,5,adam,distance,0.5079365079365079,1728.9125991200563
relu,auto,8,gini,1,1,1,1,1,1,1,1,23,constant,27,auto,7,30,nnClassifier,9,5,adam,distance,0.5079365079365079,1728.9126367189456
