activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,28,gini,1,1,0,0,1,1,1,0,3,constant,87,sqrt,15,39,kneighborsClassifier,1,2,lbfgs,uniform,0.905982905982906
identity,ball_tree,23,entropy,1,1,0,0,0,1,0,1,31,invscaling,24,log2,14,13,randomForestClassifier,4,9,lbfgs,distance,0.7680097680097681
logistic,auto,23,gini,0,1,1,0,1,1,1,1,36,invscaling,88,auto,5,34,randomForestClassifier,3,3,sgd,uniform,0.945054945054945
identity,ball_tree,27,entropy,1,0,1,0,1,0,1,1,18,adaptive,83,sqrt,3,2,nnClassifier,1,4,lbfgs,uniform,0.5262515262515263
relu,ball_tree,9,gini,0,0,0,1,1,1,0,0,37,invscaling,36,sqrt,12,17,nnClassifier,4,6,adam,distance,0.49572649572649574
relu,ball_tree,15,entropy,1,1,1,0,0,0,1,0,3,adaptive,44,log2,20,38,kneighborsClassifier,9,4,lbfgs,uniform,0.5201465201465202
logistic,kd_tree,15,gini,1,1,0,1,1,0,1,1,8,adaptive,59,auto,2,19,randomForestClassifier,3,6,sgd,uniform,0.7728937728937729
identity,brute,19,gini,1,0,0,1,0,0,0,0,7,invscaling,25,sqrt,3,36,kneighborsClassifier,8,8,lbfgs,distance,0.5445665445665445
logistic,brute,18,gini,0,1,0,0,0,0,0,1,30,constant,85,log2,13,9,kneighborsClassifier,5,9,adam,distance,0.5201465201465202
logistic,ball_tree,21,gini,0,0,1,0,0,0,1,1,7,adaptive,94,log2,20,26,randomForestClassifier,5,7,sgd,distance,0.6092796092796092
identity,brute,30,entropy,0,1,0,1,0,0,1,0,25,constant,52,log2,7,8,kneighborsClassifier,9,7,adam,distance,0.5665445665445665
relu,brute,24,gini,1,1,0,1,0,0,1,0,8,constant,76,log2,19,9,randomForestClassifier,10,7,adam,distance,0.6141636141636142
identity,brute,19,entropy,0,1,0,0,0,0,0,0,40,invscaling,11,log2,5,22,randomForestClassifier,8,3,lbfgs,uniform,0.5873015873015873
tanh,brute,14,entropy,1,1,0,0,0,1,0,0,8,adaptive,77,log2,5,20,kneighborsClassifier,2,6,adam,uniform,0.7545787545787546
tanh,auto,32,gini,1,1,1,1,1,1,0,0,30,constant,47,log2,6,12,nnClassifier,2,6,sgd,distance,0.48473748473748474
