,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,0,0,1,1,0,0,nnClassifier,tanh,None,16,None,None,invscaling,None,None,None,None,1,None,lbfgs,None,0.5201465201465202,ok,5.430264797061682
1,0,1,1,0,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,49.0,sqrt,12.0,23.0,None,None,None,None,0.5811965811965812,ok,7.346085474127904
2,1,0,0,1,0,0,1,0,kneighborsClassifier,None,brute,None,None,9.0,None,None,None,None,None,None,9.0,None,uniform,0.5482295482295483,ok,7.487243299139664
3,1,0,1,1,0,0,1,0,nnClassifier,identity,None,16,None,None,adaptive,None,None,None,None,2,None,lbfgs,None,0.5860805860805861,ok,7.607236260082573
4,0,0,1,0,0,0,1,0,nnClassifier,identity,None,21,None,None,constant,None,None,None,None,10,None,lbfgs,None,0.5836385836385837,ok,7.707961004925892
5,0,0,1,1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,87.0,sqrt,4.0,26.0,None,None,None,None,0.5787545787545788,ok,9.095384849933907
6,1,0,1,1,1,1,0,0,nnClassifier,relu,None,12,None,None,adaptive,None,None,None,None,9,None,sgd,None,0.5152625152625152,ok,37.12693388201296
7,0,1,1,1,0,1,1,1,kneighborsClassifier,None,brute,None,None,24.0,None,None,None,None,None,None,4.0,None,distance,0.7606837606837606,ok,37.25472986209206
8,1,0,1,1,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,80.0,auto,10.0,29.0,None,None,None,None,0.7301587301587301,ok,38.63651301013306
9,1,0,1,0,0,0,1,0,kneighborsClassifier,None,auto,None,None,4.0,None,None,None,None,None,None,6.0,None,uniform,0.5665445665445665,ok,38.69136434304528
10,1,0,0,1,0,0,1,0,nnClassifier,tanh,None,21,None,None,adaptive,None,None,None,None,6,None,adam,None,0.5775335775335775,ok,42.78969807107933
11,0,0,0,1,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,2.0,log2,5.0,38.0,None,None,None,None,0.8852258852258852,ok,43.39943936094642
12,0,1,0,0,0,1,1,1,nnClassifier,identity,None,32,None,None,invscaling,None,None,None,None,4,None,adam,None,0.5384615384615384,ok,45.0544212621171
13,1,0,1,0,1,0,1,1,kneighborsClassifier,None,brute,None,None,8.0,None,None,None,None,None,None,4.0,None,uniform,0.6800976800976801,ok,45.19459959096275
14,0,1,1,0,0,1,0,1,nnClassifier,logistic,None,27,None,None,constant,None,None,None,None,3,None,lbfgs,None,0.536019536019536,ok,49.31992192892358
15,0,0,1,1,0,0,1,0,nnClassifier,identity,None,16,None,None,adaptive,None,None,None,None,5,None,adam,None,0.5763125763125763,ok,52.74874977604486
16,1,1,0,0,1,1,0,0,nnClassifier,tanh,None,19,None,None,invscaling,None,None,None,None,5,None,lbfgs,None,0.5152625152625152,ok,57.98925971798599
