feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,18,log2,1,19,nan,nan,NA,NA,0.6536203522504892,6.170596599578857
1,1,0,0,1,1,0,kneighborsClassifier,NA,brute,nan,NA,5,NA,nan,NA,nan,nan,nan,4,NA,distance,0.7700587084148728,11.105265617370605
0,1,1,1,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.678082191780822,15.860541820526123
0,0,0,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,2,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8962818003913894,21.065344095230103
0,0,0,1,0,1,1,nnClassifier,logistic,NA,15,NA,nan,adaptive,nan,NA,nan,nan,8,nan,sgd,NA,0.0019569471624266144,54.05379867553711
0,1,0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,54,log2,5,21,nan,nan,NA,NA,0.6105675146771037,59.34532141685486
0,0,0,1,0,1,1,kneighborsClassifier,NA,brute,nan,NA,3,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.3835616438356164,64.02211451530457
0,0,1,1,1,1,0,kneighborsClassifier,NA,brute,nan,NA,3,NA,nan,NA,nan,nan,nan,5,NA,distance,0.7798434442270059,68.39184832572937
1,1,1,1,0,1,0,kneighborsClassifier,NA,auto,nan,NA,2,NA,nan,NA,nan,nan,nan,9,NA,distance,0.7896281800391389,73.46357703208923
0,0,0,0,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,18,NA,nan,NA,nan,nan,nan,7,NA,distance,0.7495107632093934,78.04948425292969
0,1,1,0,1,0,0,nnClassifier,tanh,NA,15,NA,nan,constant,nan,NA,nan,nan,10,nan,lbfgs,NA,0.029354207436399216,90.64543843269348
0,0,1,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,2,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9099804305283757,95.2666540145874
0,0,1,0,0,1,1,kneighborsClassifier,NA,brute,nan,NA,2,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8786692759295499,99.8319046497345
1,0,0,0,0,0,1,kneighborsClassifier,NA,brute,nan,NA,2,NA,nan,NA,nan,nan,nan,10,NA,distance,0.5283757338551859,104.91468334197998
1,0,0,0,0,1,1,kneighborsClassifier,NA,brute,nan,NA,35,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8669275929549902,109.82689809799194
1,1,0,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,7,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9178082191780822,114.68597340583801
0,1,0,1,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,8,NA,distance,0.8649706457925636,119.55053329467773
1,1,1,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,19,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9148727984344422,124.39387083053589
1,1,1,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,16,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9187866927592955,128.90384721755981
0,0,1,1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,2,NA,nan,NA,nan,nan,nan,5,NA,distance,0.7857142857142857,133.7186450958252
1,0,1,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,30,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9119373776908023,138.6103081703186
1,0,1,0,0,1,1,kneighborsClassifier,NA,brute,nan,NA,32,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8943248532289628,143.21612215042114
0,0,1,1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,25,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.38649706457925637,147.7760248184204
1,1,0,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,7,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9060665362035225,152.22510814666748
1,0,1,1,0,1,1,kneighborsClassifier,NA,auto,nan,NA,4,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9001956947162426,157.1692922115326
1,0,1,0,0,1,1,kneighborsClassifier,NA,auto,nan,NA,10,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8943248532289628,162.00995349884033
0,1,1,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,10,NA,nan,NA,nan,nan,nan,9,NA,distance,0.910958904109589,166.5910999774933
1,0,1,1,0,0,1,kneighborsClassifier,NA,auto,nan,NA,6,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8140900195694716,171.04038453102112
1,1,1,1,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,16,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9129158512720157,175.68730068206787
1,1,1,0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,15,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9050880626223092,180.20047068595886
1,1,1,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,19,NA,nan,NA,nan,nan,nan,1,NA,distance,0.9197651663405088,184.9286789894104
1,1,0,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,10,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9021526418786693,189.90623545646667
