activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,21,entropy,0,1,0,1,0,0,1,16,constant,90,log2,3,27,randomForestClassifier,6,7,lbfgs,uniform,0.4471624266144814
relu,brute,25,entropy,1,1,0,0,1,1,0,2,constant,38,auto,5,18,randomForestClassifier,3,9,adam,distance,0.6183953033268101
logistic,auto,10,entropy,0,1,0,1,1,0,1,19,constant,52,log2,12,2,nnClassifier,6,5,adam,uniform,0.010763209393346379
relu,ball_tree,24,entropy,1,1,0,1,1,1,0,15,constant,81,auto,7,31,kneighborsClassifier,6,4,sgd,uniform,0.5626223091976517
identity,kd_tree,19,gini,0,1,1,1,1,1,1,18,adaptive,2,log2,9,21,randomForestClassifier,4,8,lbfgs,distance,0.26810176125244617
logistic,auto,25,entropy,0,1,1,1,0,0,0,25,adaptive,39,log2,2,33,kneighborsClassifier,3,5,sgd,distance,0.5743639921722113
tanh,kd_tree,30,entropy,0,1,0,1,1,1,0,8,invscaling,63,sqrt,9,16,nnClassifier,7,7,sgd,distance,0.0
tanh,brute,15,entropy,0,0,1,1,0,0,1,8,constant,95,sqrt,4,28,nnClassifier,8,4,lbfgs,uniform,0.007827788649706457
relu,ball_tree,27,gini,0,1,0,1,1,1,1,8,constant,85,sqrt,15,23,nnClassifier,1,3,lbfgs,uniform,0.0
logistic,auto,17,gini,0,1,0,0,1,1,1,16,constant,100,log2,4,4,kneighborsClassifier,6,7,adam,distance,0.8708414872798435
logistic,kd_tree,14,gini,0,1,1,0,0,0,0,14,adaptive,31,auto,14,31,nnClassifier,7,8,adam,uniform,0.0029354207436399216
logistic,auto,28,entropy,0,0,0,0,0,0,1,18,invscaling,55,sqrt,5,23,nnClassifier,5,4,sgd,distance,0.0
logistic,auto,12,entropy,0,1,1,0,1,1,1,2,invscaling,89,log2,10,12,kneighborsClassifier,3,2,sgd,uniform,0.6790606653620352
identity,ball_tree,8,gini,0,0,1,0,1,0,1,30,constant,66,sqrt,13,12,randomForestClassifier,8,7,sgd,uniform,0.5234833659491194
identity,ball_tree,15,gini,1,1,1,0,1,0,1,4,constant,85,auto,11,36,nnClassifier,4,10,adam,uniform,0.004892367906066536
tanh,ball_tree,26,gini,1,0,1,0,0,1,1,7,invscaling,99,sqrt,18,17,nnClassifier,4,5,lbfgs,uniform,0.02054794520547945
identity,auto,9,entropy,1,0,1,0,1,0,0,12,adaptive,51,sqrt,5,16,nnClassifier,10,4,sgd,uniform,0.0019569471624266144
identity,ball_tree,16,gini,1,0,0,1,0,1,1,3,adaptive,84,log2,6,12,randomForestClassifier,10,4,adam,distance,0.6467710371819961
identity,brute,8,entropy,0,1,1,0,0,1,0,10,invscaling,18,sqrt,18,7,kneighborsClassifier,9,1,lbfgs,uniform,0.6741682974559687
