activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,auto,10,gini,1,0,1,1,0,1,1,18,constant,96,auto,12,33,kneighborsClassifier,3,9,sgd,distance,0.4726027397260274,227.4866544958204
identity,auto,9,gini,0,1,0,1,1,1,1,18,invscaling,96,auto,7,25,kneighborsClassifier,4,9,sgd,distance,0.48238747553816047,227.48670916585252
relu,auto,18,gini,1,0,1,1,1,1,1,30,constant,79,auto,9,6,nnClassifier,2,7,sgd,distance,0.036203522504892366,227.48674824484624
identity,auto,25,gini,0,0,0,1,1,1,1,16,invscaling,64,auto,10,16,kneighborsClassifier,3,9,sgd,distance,0.5655577299412916,227.48678526491858
identity,auto,11,entropy,1,0,1,1,1,1,1,35,invscaling,73,auto,10,14,kneighborsClassifier,6,7,sgd,distance,0.6457925636007827,227.48683298495598
tanh,auto,19,gini,1,0,1,1,1,1,1,33,invscaling,50,auto,9,33,kneighborsClassifier,6,8,sgd,distance,0.6790606653620352,227.486869643908
identity,auto,19,gini,1,1,1,1,0,1,1,9,constant,78,auto,12,7,kneighborsClassifier,3,3,sgd,distance,0.6604696673189824,227.48690600390546
relu,auto,16,gini,1,0,0,1,1,1,1,23,invscaling,71,auto,9,8,nnClassifier,5,7,adam,distance,0.0136986301369863,227.48694225400686
relu,auto,21,entropy,0,0,1,1,0,1,1,8,invscaling,81,auto,13,22,nnClassifier,2,8,sgd,distance,0.011741682974559686,227.4869781830348
relu,auto,16,gini,0,0,0,1,0,1,1,34,invscaling,89,auto,9,30,kneighborsClassifier,7,6,sgd,distance,0.6183953033268101,227.48701379285194
identity,auto,9,entropy,0,0,0,1,0,1,1,28,invscaling,91,auto,10,7,kneighborsClassifier,3,9,sgd,distance,0.8444227005870841,227.48705024295487
tanh,auto,18,entropy,1,1,0,1,0,1,1,34,constant,27,auto,13,6,nnClassifier,3,10,adam,distance,0.012720156555772993,227.48708623298444
tanh,auto,15,entropy,0,1,0,1,0,1,1,29,invscaling,15,auto,13,31,kneighborsClassifier,6,6,sgd,distance,0.4569471624266145,227.48712252196856
relu,auto,15,gini,0,1,1,1,0,1,1,9,invscaling,49,auto,9,7,kneighborsClassifier,3,10,sgd,distance,0.27690802348336596,227.4871586218942
identity,auto,10,entropy,0,0,1,1,1,1,1,22,invscaling,63,auto,7,34,nnClassifier,3,6,sgd,distance,0.0019569471624266144,227.48719451203942
identity,auto,15,gini,0,1,1,1,0,1,1,12,constant,29,auto,6,20,kneighborsClassifier,2,8,sgd,distance,0.5821917808219178,227.48723087087274
identity,auto,26,gini,1,0,0,1,1,1,1,24,invscaling,91,auto,9,23,kneighborsClassifier,5,7,sgd,distance,0.4892367906066536,227.48726627090946
identity,auto,9,entropy,0,0,1,1,0,1,1,28,invscaling,72,auto,10,27,kneighborsClassifier,3,9,sgd,distance,0.5078277886497065,227.48730179085396
identity,auto,11,gini,1,0,0,1,1,1,1,30,invscaling,10,auto,5,22,nnClassifier,2,9,sgd,distance,0.0019569471624266144,227.48733731987886
tanh,auto,13,gini,1,0,0,1,1,1,1,14,invscaling,23,auto,10,22,nnClassifier,6,9,sgd,distance,0.0,227.4873727899976
relu,auto,14,gini,1,1,1,1,1,1,1,14,constant,92,auto,11,29,nnClassifier,2,6,adam,distance,0.8796477495107632,633.8130558878183
relu,auto,11,gini,1,1,1,1,1,1,1,14,constant,92,auto,11,21,nnClassifier,4,7,adam,distance,0.87573385518591,633.8131164379884
relu,auto,17,gini,1,1,1,1,1,1,1,26,constant,80,auto,13,7,nnClassifier,2,3,adam,distance,0.0410958904109589,633.8131547379307
relu,auto,21,gini,1,1,1,1,1,1,1,15,constant,68,auto,11,12,nnClassifier,3,5,adam,distance,0.863013698630137,633.8131924369372
relu,auto,12,gini,1,1,1,1,1,1,1,31,constant,77,auto,12,10,nnClassifier,2,8,adam,distance,0.8825831702544031,633.8132285568863
relu,auto,17,gini,1,1,1,1,1,1,1,29,constant,54,auto,10,29,nnClassifier,4,9,adam,distance,0.8825831702544031,633.8132649869658
relu,auto,17,gini,1,1,1,1,1,1,1,11,constant,80,auto,10,7,nnClassifier,1,3,adam,distance,0.8894324853228963,633.8133006258868
relu,auto,20,gini,1,1,1,1,1,1,1,19,constant,75,auto,9,9,nnClassifier,2,7,adam,distance,0.049902152641878667,633.8133373358287
