activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,28,entropy,1,0,1,0,0,1,0,2,invscaling,69,log2,16,7,nnClassifier,10,9,adam,distance,0.022504892367906065
tanh,ball_tree,28,gini,0,1,1,0,1,0,1,13,invscaling,90,log2,17,30,kneighborsClassifier,3,7,lbfgs,uniform,0.576320939334638
tanh,auto,31,gini,0,1,0,0,1,0,1,20,invscaling,27,sqrt,9,18,nnClassifier,9,7,sgd,uniform,0.0
identity,auto,16,gini,1,0,1,0,1,0,0,15,invscaling,95,sqrt,13,10,kneighborsClassifier,9,8,lbfgs,uniform,0.5557729941291585
relu,ball_tree,17,entropy,1,1,0,1,0,0,0,37,constant,32,sqrt,11,27,nnClassifier,2,9,sgd,uniform,0.003913894324853229
logistic,kd_tree,10,entropy,1,1,0,1,0,1,0,25,adaptive,75,auto,10,4,randomForestClassifier,2,6,lbfgs,distance,0.5626223091976517
logistic,auto,19,entropy,0,1,0,1,1,1,1,34,invscaling,70,auto,18,9,kneighborsClassifier,10,3,sgd,distance,0.850293542074364
relu,kd_tree,11,entropy,1,0,1,0,1,1,0,30,constant,50,sqrt,9,24,randomForestClassifier,10,6,lbfgs,uniform,0.639921722113503
tanh,ball_tree,29,gini,0,1,0,0,1,0,0,13,invscaling,62,sqrt,15,4,nnClassifier,3,2,sgd,distance,0.0
tanh,brute,19,entropy,0,0,1,0,0,0,1,15,adaptive,47,auto,5,7,nnClassifier,4,8,adam,uniform,0.004892367906066536
identity,ball_tree,20,entropy,1,0,1,1,1,1,0,9,adaptive,87,sqrt,8,30,nnClassifier,1,7,lbfgs,distance,0.0019569471624266144
tanh,brute,15,gini,1,0,1,1,1,0,1,20,invscaling,30,log2,12,29,randomForestClassifier,8,1,sgd,distance,0.6927592954990215
logistic,ball_tree,28,entropy,0,0,0,0,0,1,1,15,constant,61,auto,7,29,nnClassifier,5,1,lbfgs,uniform,0.005870841487279843
relu,auto,14,gini,0,1,0,1,1,0,0,27,constant,86,log2,13,14,kneighborsClassifier,7,10,lbfgs,uniform,0.3913894324853229
identity,brute,18,gini,0,0,0,0,1,1,0,26,invscaling,53,auto,20,24,randomForestClassifier,5,1,adam,distance,0.37279843444227007
tanh,brute,20,gini,1,1,0,1,1,0,0,31,constant,84,auto,15,17,randomForestClassifier,7,2,lbfgs,distance,0.5909980430528375
