,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,0,1,1,1,0,nnClassifier,relu,None,25,None,None,invscaling,None,None,None,None,10,None,lbfgs,None,0.03718199608610567,ok,4.947748275008053
1,1,1,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,81.0,auto,11.0,37.0,None,None,None,None,0.6526418786692759,ok,6.181191364070401
2,1,0,0,0,0,0,0,kneighborsClassifier,None,brute,None,None,5.0,None,None,None,None,None,None,7.0,None,distance,0.12133072407045009,ok,6.336931218858808
3,0,1,1,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,58.0,sqrt,19.0,34.0,None,None,None,None,0.5430528375733855,ok,7.319527657935396
4,0,0,1,1,1,1,0,nnClassifier,logistic,None,22,None,None,constant,None,None,None,None,6,None,sgd,None,0.003913894324853229,ok,28.70249579194933
5,1,0,1,0,0,1,0,nnClassifier,identity,None,14,None,None,adaptive,None,None,None,None,9,None,adam,None,0.007827788649706457,ok,42.48843452101573
6,1,0,0,0,1,1,1,nnClassifier,relu,None,24,None,None,constant,None,None,None,None,5,None,sgd,None,0.0410958904109589,ok,62.415227520046756
7,0,1,0,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,58.0,auto,11.0,22.0,None,None,None,None,0.5019569471624267,ok,63.29137009801343
8,0,1,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,7.0,None,None,None,None,None,None,4.0,None,distance,0.8835616438356164,ok,63.33250706503168
9,1,0,0,0,0,0,1,nnClassifier,relu,None,21,None,None,invscaling,None,None,None,None,9,None,sgd,None,0.0,ok,71.74199980404228
10,0,1,1,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,7.0,auto,5.0,11.0,None,None,None,None,0.5313111545988258,ok,72.4958670400083
11,1,0,0,0,0,1,1,kneighborsClassifier,None,kd_tree,None,None,23.0,None,None,None,None,None,None,3.0,None,distance,0.8170254403131115,ok,72.52413690602407
12,1,1,0,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,15.0,None,None,None,None,None,None,7.0,None,distance,0.30430528375733856,ok,72.57554299198091
13,1,1,0,1,1,0,1,nnClassifier,identity,None,27,None,None,invscaling,None,None,None,None,8,None,sgd,None,0.0,ok,87.92891092807986
14,0,0,1,1,0,1,0,nnClassifier,identity,None,21,None,None,adaptive,None,None,None,None,3,None,adam,None,0.0009784735812133072,ok,100.31185058387928
15,1,1,1,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,26.0,None,None,None,None,None,None,4.0,None,distance,0.7808219178082192,ok,100.35682052001357
16,1,1,0,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,41.0,auto,19.0,18.0,None,None,None,None,0.44129158512720157,ok,100.90461922902614
17,0,0,0,1,1,0,0,nnClassifier,relu,None,17,None,None,constant,None,None,None,None,2,None,lbfgs,None,0.0009784735812133072,ok,104.37288624397479
