activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,auto,11,entropy,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,24,invscaling,1,log2,11,36,randomForestClassifier,4,3,lbfgs,distance,0.556672760511883
relu,auto,13,gini,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,17,constant,42,log2,16,13,kneighborsClassifier,4,2,lbfgs,uniform,0.36837294332723947
identity,kd_tree,25,gini,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,20,constant,4,log2,15,23,kneighborsClassifier,9,8,lbfgs,uniform,0.4744058500914077
tanh,auto,16,entropy,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,12,constant,52,log2,6,13,nnClassifier,2,4,lbfgs,uniform,0.2522851919561243
tanh,auto,31,gini,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,34,invscaling,90,log2,18,6,randomForestClassifier,5,9,sgd,uniform,0.5740402193784278
logistic,brute,32,entropy,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,7,invscaling,88,auto,6,5,nnClassifier,5,9,sgd,uniform,0.0
identity,auto,24,entropy,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,13,invscaling,4,log2,16,13,nnClassifier,7,4,sgd,uniform,0.062157221206581355
identity,auto,18,entropy,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,10,invscaling,21,sqrt,3,32,randomForestClassifier,10,8,adam,distance,0.6005484460694699
tanh,brute,23,gini,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,26,constant,61,log2,15,4,kneighborsClassifier,8,1,sgd,uniform,0.4789762340036563
identity,ball_tree,27,entropy,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,34,constant,37,auto,13,16,randomForestClassifier,9,1,adam,uniform,0.5722120658135283
tanh,ball_tree,20,gini,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,7,constant,3,auto,18,13,nnClassifier,6,10,sgd,distance,0.2093235831809872
relu,kd_tree,13,entropy,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,9,constant,43,sqrt,8,38,nnClassifier,8,1,adam,uniform,0.2696526508226691
relu,ball_tree,18,entropy,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,21,adaptive,11,log2,6,10,kneighborsClassifier,4,8,adam,distance,0.3976234003656307
logistic,kd_tree,30,gini,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,14,constant,28,sqrt,11,28,kneighborsClassifier,5,7,adam,uniform,0.48080438756855576
tanh,auto,22,entropy,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,10,adaptive,81,auto,13,9,randomForestClassifier,2,5,lbfgs,uniform,0.5996343692870201
identity,kd_tree,24,gini,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,32,invscaling,77,auto,16,27,nnClassifier,6,10,adam,uniform,0.055758683729433274
tanh,brute,32,entropy,0,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,8,invscaling,59,sqrt,11,19,nnClassifier,5,6,lbfgs,uniform,0.20840950639853748
logistic,ball_tree,27,entropy,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,37,adaptive,61,sqrt,16,11,kneighborsClassifier,7,2,adam,distance,0.4963436928702011
relu,kd_tree,19,entropy,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,14,adaptive,34,log2,14,31,randomForestClassifier,8,2,sgd,distance,0.5100548446069469
relu,auto,24,gini,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,19,constant,24,auto,18,7,randomForestClassifier,5,10,adam,distance,0.5740402193784278
identity,auto,18,entropy,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,10,invscaling,21,sqrt,3,32,randomForestClassifier,10,8,adam,distance,0.6005484460694699
tanh,auto,22,entropy,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,10,adaptive,81,auto,13,9,randomForestClassifier,2,5,lbfgs,uniform,0.5996343692870201
tanh,auto,31,gini,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,34,invscaling,90,log2,18,6,randomForestClassifier,5,9,sgd,uniform,0.5740402193784278
relu,auto,24,gini,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,19,constant,24,auto,18,7,randomForestClassifier,5,10,adam,distance,0.5740402193784278
identity,ball_tree,27,entropy,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,34,constant,37,auto,13,16,randomForestClassifier,9,1,adam,uniform,0.5722120658135283
logistic,auto,11,entropy,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,24,invscaling,1,log2,11,36,randomForestClassifier,4,3,lbfgs,distance,0.556672760511883
relu,kd_tree,19,entropy,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,14,adaptive,34,log2,14,31,randomForestClassifier,8,2,sgd,distance,0.5100548446069469
logistic,ball_tree,27,entropy,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,37,adaptive,61,sqrt,16,11,kneighborsClassifier,7,2,adam,distance,0.4963436928702011
logistic,kd_tree,30,gini,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,14,constant,28,sqrt,11,28,kneighborsClassifier,5,7,adam,uniform,0.48080438756855576
