activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
logistic,auto,18,gini,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,25,constant,65,sqrt,11,30,nnClassifier,5,10,adam,distance,0.07586837294332724,436.540074541932
identity,ball_tree,32,entropy,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,24,invscaling,63,auto,9,7,nnClassifier,3,7,adam,distance,0.02102376599634369,436.5401574508287
identity,ball_tree,28,gini,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,34,constant,87,sqrt,17,35,nnClassifier,3,7,adam,distance,0.08409506398537477,436.5402182498947
tanh,ball_tree,30,entropy,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,3,invscaling,67,sqrt,12,23,randomForestClassifier,8,8,adam,uniform,0.5374771480804388,436.5402780689765
relu,ball_tree,14,gini,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,3,invscaling,7,log2,10,7,nnClassifier,2,8,adam,distance,0.02010968921389397,436.5403387278784
identity,ball_tree,16,entropy,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,32,invscaling,82,log2,12,23,randomForestClassifier,6,7,adam,distance,0.5648994515539305,436.5403987078462
identity,ball_tree,19,gini,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,5,invscaling,54,log2,12,20,nnClassifier,4,6,adam,distance,0.015539305301645339,436.54045840678737
logistic,auto,14,gini,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,1,1,17,invscaling,80,auto,8,7,nnClassifier,4,8,adam,distance,0.11974405850091407,436.5405179159716
logistic,ball_tree,20,entropy,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,31,invscaling,37,log2,12,34,nnClassifier,6,7,adam,uniform,0.2477148080438757,436.54057661490515
identity,ball_tree,21,gini,0,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,35,invscaling,79,sqrt,12,8,nnClassifier,5,7,adam,uniform,0.024680073126142597,436.54063538392074
