activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,9,gini,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,14,invscaling,96,sqrt,3,12,nnClassifier,1,6,sgd,distance,0.01736745886654479
relu,kd_tree,29,entropy,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,34,invscaling,85,log2,18,32,randomForestClassifier,3,7,adam,uniform,0.5804387568555759
tanh,kd_tree,32,gini,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,21,adaptive,24,auto,7,36,randomForestClassifier,7,8,adam,uniform,0.6069469835466179
logistic,brute,14,entropy,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,25,invscaling,59,sqrt,13,15,randomForestClassifier,6,9,lbfgs,distance,0.5429616087751371
logistic,kd_tree,31,gini,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,7,invscaling,39,auto,15,19,randomForestClassifier,2,9,adam,uniform,0.5191956124314442
relu,brute,8,entropy,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,16,adaptive,30,sqrt,19,36,kneighborsClassifier,9,1,lbfgs,distance,0.4323583180987203
tanh,auto,10,gini,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,31,adaptive,14,sqrt,3,20,randomForestClassifier,5,9,lbfgs,distance,0.5146252285191956
identity,brute,12,gini,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,27,constant,60,log2,8,25,kneighborsClassifier,6,8,lbfgs,uniform,0.4926873857404022
identity,auto,10,entropy,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,0,26,adaptive,94,sqrt,9,27,kneighborsClassifier,5,5,sgd,distance,0.49725776965265084
identity,kd_tree,12,gini,1,0,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,25,adaptive,22,sqrt,17,13,nnClassifier,10,6,lbfgs,uniform,0.06489945155393052
tanh,brute,22,gini,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,19,adaptive,31,auto,13,38,nnClassifier,3,2,sgd,uniform,0.11243144424131626
tanh,kd_tree,25,gini,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,38,constant,11,sqrt,2,4,randomForestClassifier,3,4,adam,distance,0.5740402193784278
tanh,ball_tree,17,gini,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,13,constant,41,auto,6,18,nnClassifier,5,4,adam,distance,0.26691042047531993
tanh,brute,10,entropy,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,40,invscaling,96,auto,9,20,nnClassifier,4,10,adam,distance,0.06581352833638025
logistic,brute,8,entropy,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,0,2,invscaling,79,auto,5,5,nnClassifier,7,2,lbfgs,uniform,0.11791590493601463
tanh,kd_tree,16,entropy,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,35,adaptive,87,auto,20,8,nnClassifier,4,6,lbfgs,uniform,0.1956124314442413
logistic,auto,18,gini,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,16,constant,62,sqrt,18,10,nnClassifier,1,9,sgd,uniform,0.048446069469835464
relu,ball_tree,21,entropy,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,30,invscaling,55,log2,19,24,randomForestClassifier,4,9,sgd,distance,0.5822669104204753
identity,auto,24,entropy,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,30,invscaling,30,sqrt,20,15,kneighborsClassifier,8,8,adam,distance,0.4515539305301645
identity,auto,30,entropy,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,1,0,29,invscaling,40,log2,7,15,randomForestClassifier,4,8,adam,uniform,0.5521023765996343
tanh,kd_tree,27,gini,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,35,constant,42,sqrt,20,21,nnClassifier,3,10,sgd,uniform,0.23491773308957953
