,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,16,None,None,None,None,None,None,5,None,distance,0.39853747714808047,ok,0.10939594591036439
1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,kneighborsClassifier,None,brute,None,None,22,None,None,None,None,None,None,4,None,uniform,0.4424131627056673,ok,0.34165761806070805
2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,nnClassifier,relu,None,19.0,None,None,adaptive,None,None,None,None,2.0,None,lbfgs,None,0.13893967093235832,ok,4.4813912329263985
3,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,nnClassifier,relu,None,26.0,None,None,adaptive,None,None,None,None,9.0,None,sgd,None,0.16819012797074953,ok,24.219270526897162
4,0,0,1,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,nnClassifier,logistic,None,10.0,None,None,adaptive,None,None,None,None,6.0,None,lbfgs,None,0.14351005484460694,ok,29.884000822901726
5,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,1,kneighborsClassifier,None,ball_tree,None,None,25,None,None,None,None,None,None,3,None,distance,0.4616087751371115,ok,30.07674972107634
6,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,98.0,log2,16.0,11.0,None,None,None,None,0.5585009140767825,ok,32.10076270997524
7,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,nnClassifier,logistic,None,29.0,None,None,adaptive,None,None,None,None,2.0,None,adam,None,0.11243144424131626,ok,53.26844799891114
8,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,kneighborsClassifier,None,brute,None,None,4,None,None,None,None,None,None,2,None,distance,0.48720292504570384,ok,53.38338742288761
9,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,nnClassifier,relu,None,18.0,None,None,invscaling,None,None,None,None,8.0,None,lbfgs,None,0.21023765996343693,ok,57.70598152303137
