feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9565646594274433,5.066347122192383
1,1,1,nnClassifier,relu,NA,24,NA,nan,constant,nan,NA,nan,nan,2,nan,adam,NA,0.9397828232971372,27.4169180393219
1,1,1,kneighborsClassifier,NA,auto,nan,NA,23,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9496544916090819,31.621506214141846
1,0,1,nnClassifier,relu,NA,24,NA,nan,invscaling,nan,NA,nan,nan,1,nan,lbfgs,NA,0.9358341559723593,39.03680181503296
0,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,9,NA,nan,NA,nan,nan,nan,6,NA,distance,0.0,43.26077079772949
1,0,0,kneighborsClassifier,NA,auto,nan,NA,29,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9575518262586377,48.34272265434265
1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,13,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9575518262586377,52.69306540489197
1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,10,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9575518262586377,57.17484760284424
0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9496544916090819,61.92193388938904
1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,14,NA,nan,NA,nan,nan,nan,6,NA,distance,0.9565646594274433,66.53109622001648
1,0,0,kneighborsClassifier,NA,auto,nan,NA,3,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9575518262586377,71.04036855697632
1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,13,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.9575518262586377,76.14415693283081
1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,3,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9575518262586377,80.33177828788757
1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9575518262586377,84.99387574195862
0,0,0,kneighborsClassifier,NA,brute,nan,NA,15,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.0,90.00872898101807
1,1,0,kneighborsClassifier,NA,brute,nan,NA,6,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.9575518262586377,94.60291004180908
0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9575518262586377,98.77289533615112
1,1,0,kneighborsClassifier,NA,brute,nan,NA,35,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9575518262586377,103.86756157875061
0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.9565646594274433,108.94979000091553
1,0,0,kneighborsClassifier,NA,brute,nan,NA,25,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9575518262586377,114.03374242782593
1,1,0,kneighborsClassifier,NA,brute,nan,NA,32,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9575518262586377,118.65236043930054
0,1,0,kneighborsClassifier,NA,auto,nan,NA,35,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9575518262586377,123.1333155632019
0,1,1,kneighborsClassifier,NA,brute,nan,NA,32,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9575518262586377,127.85154986381531
1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,22,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9575518262586377,131.93606185913086
1,0,0,kneighborsClassifier,NA,brute,nan,NA,9,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9575518262586377,136.47713804244995
1,0,0,kneighborsClassifier,NA,brute,nan,NA,39,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9575518262586377,141.23235511779785
