activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,25,entropy,0,0,1,26,constant,29,log2,16,21,randomForestClassifier,3,5,adam,uniform,0.9634748272458046
tanh,kd_tree,28,gini,0,0,0,34,constant,5,log2,9,38,kneighborsClassifier,7,7,lbfgs,distance,0.0
logistic,kd_tree,10,gini,1,1,0,8,adaptive,72,sqrt,3,13,kneighborsClassifier,1,4,sgd,distance,0.9545903257650543
logistic,kd_tree,8,entropy,1,1,0,22,invscaling,36,sqrt,15,10,kneighborsClassifier,3,9,sgd,distance,0.9595261599210266
logistic,brute,18,entropy,1,1,0,24,invscaling,37,auto,2,19,kneighborsClassifier,2,4,lbfgs,uniform,0.9605133267522211
identity,brute,9,entropy,1,0,1,13,invscaling,38,auto,9,28,randomForestClassifier,7,7,lbfgs,distance,0.9644619940769991
tanh,ball_tree,18,entropy,0,1,0,33,adaptive,90,sqrt,10,16,kneighborsClassifier,2,6,sgd,distance,0.9595261599210266
relu,kd_tree,22,entropy,0,0,0,30,invscaling,21,sqrt,14,37,nnClassifier,6,7,sgd,distance,0.0
identity,kd_tree,30,gini,1,0,0,15,adaptive,56,sqrt,7,30,kneighborsClassifier,1,7,lbfgs,distance,0.9605133267522211
identity,kd_tree,22,entropy,0,1,0,20,constant,18,sqrt,16,29,nnClassifier,7,2,lbfgs,uniform,0.9585389930898321
identity,brute,29,gini,1,1,0,15,adaptive,17,auto,15,10,kneighborsClassifier,10,6,lbfgs,uniform,0.9605133267522211
relu,auto,29,gini,0,1,1,12,constant,39,auto,9,27,nnClassifier,3,3,adam,distance,0.9387956564659428
logistic,brute,26,gini,0,1,1,7,adaptive,8,auto,18,23,randomForestClassifier,1,2,adam,distance,0.9624876604146101
tanh,auto,17,gini,0,1,1,12,constant,76,log2,6,31,nnClassifier,8,6,adam,uniform,0.9338598223099703
identity,auto,8,entropy,1,0,0,23,constant,94,auto,19,37,kneighborsClassifier,2,5,sgd,distance,0.9605133267522211
identity,ball_tree,10,entropy,1,0,0,21,constant,11,sqrt,4,37,nnClassifier,3,8,sgd,distance,0.9585389930898321
tanh,auto,28,entropy,0,0,1,22,invscaling,85,sqrt,9,10,nnClassifier,5,4,lbfgs,distance,0.9387956564659428
identity,brute,28,entropy,0,0,0,28,invscaling,44,sqrt,12,6,nnClassifier,6,2,adam,distance,0.0
identity,auto,29,entropy,1,0,1,15,adaptive,5,log2,4,9,randomForestClassifier,3,8,adam,uniform,0.9644619940769991
logistic,brute,22,entropy,1,1,0,33,adaptive,40,log2,2,35,kneighborsClassifier,6,5,adam,distance,0.9575518262586377
identity,brute,9,entropy,1,0,1,13,invscaling,38,auto,9,28,randomForestClassifier,7,7,lbfgs,distance,0.9644619940769991
identity,auto,29,entropy,1,0,1,15,adaptive,5,log2,4,9,randomForestClassifier,3,8,adam,uniform,0.9644619940769991
identity,ball_tree,25,entropy,0,0,1,26,constant,29,log2,16,21,randomForestClassifier,3,5,adam,uniform,0.9634748272458046
logistic,brute,26,gini,0,1,1,7,adaptive,8,auto,18,23,randomForestClassifier,1,2,adam,distance,0.9624876604146101
logistic,brute,18,entropy,1,1,0,24,invscaling,37,auto,2,19,kneighborsClassifier,2,4,lbfgs,uniform,0.9605133267522211
identity,kd_tree,30,gini,1,0,0,15,adaptive,56,sqrt,7,30,kneighborsClassifier,1,7,lbfgs,distance,0.9605133267522211
identity,brute,29,gini,1,1,0,15,adaptive,17,auto,15,10,kneighborsClassifier,10,6,lbfgs,uniform,0.9605133267522211
identity,auto,8,entropy,1,0,0,23,constant,94,auto,19,37,kneighborsClassifier,2,5,sgd,distance,0.9605133267522211
logistic,kd_tree,8,entropy,1,1,0,22,invscaling,36,sqrt,15,10,kneighborsClassifier,3,9,sgd,distance,0.9595261599210266
tanh,ball_tree,18,entropy,0,1,0,33,adaptive,90,sqrt,10,16,kneighborsClassifier,2,6,sgd,distance,0.9595261599210266
identity,brute,9,entropy,1,0,1,13,adaptive,5,log2,4,9,randomForestClassifier,8,8,adam,uniform,0.9644619940769991
identity,auto,10,entropy,1,0,1,15,constant,29,log2,16,21,randomForestClassifier,3,5,adam,uniform,0.9644619940769991
identity,ball_tree,25,entropy,0,0,0,26,adaptive,8,auto,18,23,randomForestClassifier,3,2,adam,distance,0.0
logistic,brute,12,gini,0,1,1,7,invscaling,37,auto,2,19,kneighborsClassifier,2,4,lbfgs,uniform,0.9605133267522211
logistic,brute,18,entropy,1,1,0,24,adaptive,56,sqrt,7,30,kneighborsClassifier,1,7,lbfgs,distance,0.9595261599210266
identity,kd_tree,30,gini,1,0,0,15,adaptive,17,auto,15,10,kneighborsClassifier,10,6,lbfgs,uniform,0.9605133267522211
identity,brute,29,entropy,1,1,0,15,constant,94,auto,19,37,kneighborsClassifier,2,5,sgd,distance,0.9575518262586377
identity,auto,8,entropy,1,0,0,23,invscaling,36,sqrt,15,10,kneighborsClassifier,3,7,sgd,distance,0.9605133267522211
logistic,kd_tree,8,entropy,1,1,0,26,adaptive,90,sqrt,10,16,kneighborsClassifier,2,6,sgd,distance,0.9575518262586377
tanh,ball_tree,18,entropy,0,1,0,33,invscaling,38,auto,9,28,randomForestClassifier,7,7,lbfgs,distance,0.9605133267522211
identity,brute,9,entropy,1,0,1,13,invscaling,38,auto,9,28,randomForestClassifier,7,7,lbfgs,distance,0.9644619940769991
identity,auto,29,entropy,1,0,1,15,adaptive,5,log2,4,9,randomForestClassifier,3,8,adam,uniform,0.9644619940769991
identity,brute,9,entropy,1,0,1,13,adaptive,5,log2,4,9,randomForestClassifier,8,8,adam,uniform,0.9644619940769991
identity,auto,10,entropy,1,0,1,15,constant,29,log2,16,21,randomForestClassifier,3,5,adam,uniform,0.9644619940769991
identity,ball_tree,25,entropy,0,0,1,26,constant,29,log2,16,21,randomForestClassifier,3,5,adam,uniform,0.9634748272458046
logistic,brute,26,gini,0,1,1,7,adaptive,8,auto,18,23,randomForestClassifier,1,2,adam,distance,0.9624876604146101
logistic,brute,18,entropy,1,1,0,24,invscaling,37,auto,2,19,kneighborsClassifier,2,4,lbfgs,uniform,0.9605133267522211
identity,kd_tree,30,gini,1,0,0,15,adaptive,56,sqrt,7,30,kneighborsClassifier,1,7,lbfgs,distance,0.9605133267522211
identity,brute,29,gini,1,1,0,15,adaptive,17,auto,15,10,kneighborsClassifier,10,6,lbfgs,uniform,0.9605133267522211
identity,auto,8,entropy,1,0,0,23,constant,94,auto,19,37,kneighborsClassifier,2,5,sgd,distance,0.9605133267522211
identity,brute,9,entropy,1,0,1,13,adaptive,5,log2,4,9,randomForestClassifier,3,8,adam,uniform,0.9644619940769991
identity,auto,29,entropy,1,0,1,15,adaptive,5,log2,4,9,randomForestClassifier,8,8,adam,uniform,0.9644619940769991
identity,brute,9,entropy,1,0,1,13,constant,29,log2,16,21,randomForestClassifier,3,5,adam,uniform,0.9644619940769991
identity,auto,10,entropy,1,0,1,15,constant,29,log2,16,21,randomForestClassifier,3,5,adam,uniform,0.9644619940769991
identity,ball_tree,25,entropy,0,0,1,26,adaptive,8,auto,18,23,randomForestClassifier,1,2,adam,distance,0.9634748272458046
logistic,brute,26,gini,0,1,1,7,invscaling,28,auto,2,19,kneighborsClassifier,2,4,lbfgs,uniform,0.9605133267522211
logistic,brute,18,entropy,1,1,0,24,adaptive,56,sqrt,7,30,kneighborsClassifier,1,7,lbfgs,distance,0.9595261599210266
identity,kd_tree,30,gini,1,0,0,15,adaptive,13,auto,15,10,nnClassifier,10,6,lbfgs,uniform,0.9585389930898321
identity,brute,29,gini,1,1,0,15,constant,94,auto,19,37,kneighborsClassifier,2,5,sgd,distance,0.9575518262586377
identity,auto,8,entropy,1,0,0,23,invscaling,38,auto,9,28,randomForestClassifier,7,7,lbfgs,distance,0.9605133267522211
identity,brute,9,entropy,1,0,1,13,invscaling,38,auto,9,28,randomForestClassifier,7,7,lbfgs,distance,0.9644619940769991
identity,auto,29,entropy,1,0,1,15,adaptive,5,log2,4,9,randomForestClassifier,3,8,adam,uniform,0.9644619940769991
identity,brute,9,entropy,1,0,1,13,adaptive,5,log2,4,9,randomForestClassifier,8,8,adam,uniform,0.9644619940769991
identity,auto,10,entropy,1,0,1,15,constant,29,log2,16,21,randomForestClassifier,3,5,adam,uniform,0.9644619940769991
identity,brute,9,entropy,1,0,1,13,adaptive,5,log2,4,9,randomForestClassifier,3,8,adam,uniform,0.9644619940769991
identity,auto,29,entropy,1,0,1,15,adaptive,5,log2,4,9,randomForestClassifier,8,8,adam,uniform,0.9644619940769991
identity,brute,9,entropy,1,0,1,13,constant,29,log2,16,21,randomForestClassifier,3,5,adam,uniform,0.9644619940769991
identity,auto,10,entropy,1,0,1,15,constant,29,log2,16,21,randomForestClassifier,3,5,adam,uniform,0.9644619940769991
identity,ball_tree,25,entropy,0,0,1,26,constant,29,log2,16,21,randomForestClassifier,3,5,adam,uniform,0.9634748272458046
identity,ball_tree,25,entropy,0,0,1,26,adaptive,8,auto,18,23,randomForestClassifier,1,2,adam,distance,0.9634748272458046
identity,brute,9,entropy,1,0,1,13,adaptive,5,log2,4,9,randomForestClassifier,3,8,adam,uniform,0.9644619940769991
identity,auto,29,entropy,1,0,1,15,adaptive,5,log2,4,9,randomForestClassifier,8,8,adam,uniform,0.9644619940769991
identity,brute,9,entropy,1,0,1,13,constant,29,log2,16,21,randomForestClassifier,3,5,adam,uniform,0.9644619940769991
identity,auto,10,entropy,1,0,1,15,adaptive,5,log2,4,9,randomForestClassifier,3,8,adam,uniform,0.9644619940769991
identity,brute,8,entropy,1,0,1,13,adaptive,5,log2,4,9,randomForestClassifier,8,8,adam,uniform,0.9644619940769991
identity,auto,29,entropy,1,0,1,15,constant,29,log2,16,21,randomForestClassifier,3,5,adam,uniform,0.9644619940769991
identity,brute,9,gini,1,0,1,13,invscaling,29,log2,16,21,randomForestClassifier,3,5,adam,uniform,0.9644619940769991
identity,auto,23,entropy,1,0,1,15,constant,29,log2,16,21,randomForestClassifier,3,5,adam,uniform,0.9644619940769991
identity,ball_tree,25,entropy,0,0,0,26,adaptive,8,auto,16,23,randomForestClassifier,1,2,adam,distance,0.0
identity,ball_tree,25,entropy,0,0,1,26,invscaling,38,log2,9,28,randomForestClassifier,7,7,lbfgs,distance,0.9644619940769991
identity,brute,9,entropy,1,0,1,13,invscaling,38,auto,9,28,randomForestClassifier,7,7,lbfgs,distance,0.9644619940769991
identity,auto,29,entropy,1,0,1,15,adaptive,5,log2,4,9,randomForestClassifier,3,8,adam,uniform,0.9644619940769991
identity,brute,9,entropy,1,0,1,13,adaptive,5,log2,4,9,randomForestClassifier,8,8,adam,uniform,0.9644619940769991
identity,auto,10,entropy,1,0,1,15,constant,29,log2,16,21,randomForestClassifier,3,5,adam,uniform,0.9644619940769991
identity,brute,9,entropy,1,0,1,13,adaptive,5,log2,4,9,randomForestClassifier,3,8,adam,uniform,0.9644619940769991
