activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,ball_tree,19,gini,1,1,1,26,constant,34,auto,13,24,nnClassifier,9,9,adam,uniform,0.947680157946693,132.57134326198138
tanh,auto,20,gini,1,1,1,12,constant,86,auto,14,32,nnClassifier,9,7,adam,uniform,0.9624876604146101,132.57139160111547
relu,auto,23,gini,1,1,1,21,constant,80,auto,13,31,nnClassifier,10,6,sgd,distance,0.928923988153998,132.57142438110895
tanh,auto,28,gini,1,0,1,26,constant,36,auto,13,25,nnClassifier,9,7,adam,uniform,0.9634748272458046,132.57145570009016
relu,auto,17,gini,1,0,1,28,constant,12,auto,15,18,nnClassifier,9,10,adam,distance,0.9634748272458046,132.57148757996038
relu,ball_tree,17,gini,1,0,0,34,constant,83,auto,8,29,nnClassifier,5,5,lbfgs,distance,0.9190523198420533,132.57151841907762
tanh,brute,13,gini,1,1,1,37,constant,60,auto,12,19,nnClassifier,9,5,adam,distance,0.9486673247778875,132.57154940906912
tanh,brute,18,gini,1,0,0,37,constant,12,auto,14,5,nnClassifier,9,10,lbfgs,uniform,0.9644619940769991,132.57158027915284
relu,brute,18,gini,1,1,1,36,constant,10,auto,6,14,nnClassifier,9,6,lbfgs,uniform,0.9545903257650543,132.57161111803725
tanh,auto,18,gini,1,1,0,37,constant,15,auto,12,24,nnClassifier,9,6,lbfgs,distance,0.9644619940769991,132.57164190802723
tanh,kd_tree,20,gini,1,1,0,29,constant,12,auto,13,6,nnClassifier,7,3,sgd,distance,0.9644619940769991,132.57167263701558
tanh,kd_tree,17,gini,1,1,0,15,constant,32,auto,14,27,nnClassifier,5,10,adam,distance,0.9565646594274433,132.57170324702747
tanh,auto,26,gini,1,1,1,33,constant,48,auto,15,25,nnClassifier,9,10,lbfgs,distance,0.9624876604146101,132.57173421606421
tanh,auto,27,gini,1,0,1,38,constant,80,auto,9,6,nnClassifier,7,10,adam,distance,0.9615004935834156,132.57176497601904
tanh,kd_tree,17,gini,1,0,0,21,constant,14,auto,14,27,nnClassifier,6,10,adam,distance,0.9565646594274433,132.571795436088
tanh,brute,14,gini,1,0,1,21,constant,96,auto,12,22,nnClassifier,5,10,sgd,distance,0.9634748272458046,132.57182625494897
tanh,auto,13,gini,1,0,0,20,constant,28,auto,13,35,nnClassifier,8,6,lbfgs,uniform,0.9565646594274433,132.57185674505308
relu,auto,16,gini,1,1,1,22,constant,6,auto,13,32,nnClassifier,9,3,adam,uniform,0.9496544916090819,132.5718870239798
relu,auto,19,gini,1,1,0,35,constant,43,auto,10,20,nnClassifier,6,8,sgd,uniform,0.9644619940769991,132.5719173841644
tanh,ball_tree,17,gini,1,0,0,29,constant,37,auto,8,13,nnClassifier,9,10,lbfgs,uniform,0.9565646594274433,132.57194776413962
relu,auto,20,gini,1,1,1,28,constant,30,auto,14,20,nnClassifier,10,10,adam,distance,0.9506416584402764,408.8009433760308
relu,auto,19,gini,1,1,1,16,constant,82,auto,14,28,nnClassifier,9,10,adam,distance,0.9506416584402764,408.80099741509184
relu,auto,19,gini,1,1,1,25,constant,76,auto,13,27,nnClassifier,10,10,adam,distance,0.9486673247778875,408.80102978507057
relu,auto,24,gini,1,1,1,30,constant,34,auto,16,21,nnClassifier,9,9,adam,distance,0.9447186574531096,408.80106121394783
relu,auto,17,gini,1,1,1,32,constant,12,auto,14,14,nnClassifier,9,10,adam,distance,0.9466929911154985,408.80110958311707
relu,auto,19,gini,1,1,1,38,constant,79,auto,12,25,nnClassifier,9,9,adam,distance,0.9644619940769991,408.8011403931305
relu,auto,17,gini,1,1,1,38,constant,56,auto,13,21,nnClassifier,9,8,adam,distance,0.947680157946693,408.80117114214227
relu,auto,18,gini,1,1,1,37,constant,12,auto,14,5,nnClassifier,9,10,adam,distance,0.9644619940769991,408.8012020320166
relu,auto,16,gini,1,1,1,32,constant,11,auto,10,10,nnClassifier,8,3,adam,distance,0.947680157946693,408.80123257101513
relu,auto,18,gini,1,1,1,36,constant,15,auto,13,20,nnClassifier,8,7,adam,distance,0.9644619940769991,408.80126277101226
relu,auto,19,gini,1,1,1,33,constant,13,auto,15,6,nnClassifier,10,7,adam,distance,0.9644619940769991,408.801293120021
relu,auto,18,gini,1,1,1,19,constant,28,auto,12,24,nnClassifier,9,10,adam,distance,0.9644619940769991,408.8013235500548
relu,auto,22,gini,1,1,1,32,constant,44,auto,15,29,nnClassifier,9,10,adam,distance,0.9466929911154985,408.8013538001105
relu,auto,24,gini,1,1,1,34,constant,76,auto,12,5,nnClassifier,7,10,adam,distance,0.9466929911154985,408.80138418916613
relu,auto,17,gini,1,1,1,25,constant,10,auto,14,23,nnClassifier,10,10,adam,distance,0.9644619940769991,408.80141475913115
relu,auto,18,gini,1,1,1,25,constant,92,auto,13,18,nnClassifier,9,8,adam,distance,0.9466929911154985,408.8014449281618
relu,auto,15,gini,1,1,1,24,constant,24,auto,15,31,nnClassifier,10,10,adam,distance,0.9644619940769991,408.8014753579628
relu,auto,20,gini,1,1,1,26,constant,10,auto,12,28,nnClassifier,8,7,adam,distance,0.9486673247778875,408.8015056869481
relu,auto,18,gini,1,1,1,36,constant,42,auto,14,16,nnClassifier,10,10,adam,distance,0.9644619940769991,408.80153584713116
relu,auto,20,gini,1,1,1,33,constant,33,auto,12,9,nnClassifier,9,10,adam,distance,0.9644619940769991,408.8015662559774
relu,auto,19,gini,1,1,1,32,constant,26,auto,14,16,nnClassifier,8,10,adam,distance,0.945705824284304,1356.3903908920474
relu,auto,19,gini,1,1,1,20,constant,78,auto,11,24,nnClassifier,9,6,adam,distance,0.9486673247778875,1356.3904403410852
relu,auto,16,gini,1,1,1,29,constant,72,auto,14,23,nnClassifier,8,10,adam,distance,0.9506416584402764,1356.3904728309717
relu,auto,28,gini,1,1,1,33,constant,30,auto,12,17,nnClassifier,9,10,adam,distance,0.947680157946693,1356.3905047599692
relu,auto,16,gini,1,1,1,28,constant,12,auto,17,10,nnClassifier,9,10,adam,distance,0.9496544916090819,1356.3905360200442
relu,auto,18,gini,1,1,1,39,constant,75,auto,9,21,nnClassifier,5,10,adam,distance,0.9486673247778875,1356.390567609109
relu,auto,21,gini,1,1,1,37,constant,52,auto,14,17,nnClassifier,9,10,adam,distance,0.9496544916090819,1356.3905994889792
relu,auto,18,gini,1,1,1,37,constant,12,auto,14,5,nnClassifier,9,10,adam,distance,0.9496544916090819,1356.3906306179706
relu,auto,18,gini,1,1,1,36,constant,12,auto,6,14,nnClassifier,4,7,adam,distance,0.9536031589338598,1356.3906647181138
relu,auto,19,gini,1,1,1,32,constant,13,auto,15,17,nnClassifier,8,10,adam,distance,0.9496544916090819,1356.3906985069625
relu,auto,22,gini,1,1,1,29,constant,9,auto,11,2,nnClassifier,9,3,adam,distance,0.9506416584402764,1356.3907297370024
relu,auto,17,gini,1,1,1,23,constant,24,auto,16,20,nnClassifier,7,10,adam,distance,0.9496544916090819,1356.390760896029
relu,auto,18,gini,1,1,1,30,constant,40,auto,13,27,nnClassifier,9,10,adam,distance,0.9486673247778875,1356.3907920960337
relu,auto,20,gini,1,1,1,38,constant,72,auto,8,9,nnClassifier,7,8,adam,distance,0.947680157946693,1356.3908232259564
relu,auto,18,gini,1,1,1,29,constant,13,auto,14,19,nnClassifier,10,10,adam,distance,0.9516288252714709,1356.39085423504
