activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,ball_tree,28,entropy,0,1,0,23,invscaling,27,auto,17,37,kneighborsClassifier,9,6,sgd,distance,0.9674234945705824
relu,ball_tree,18,gini,0,1,1,2,adaptive,78,log2,5,27,kneighborsClassifier,6,8,lbfgs,uniform,0.9674234945705824
logistic,auto,27,entropy,0,1,0,40,invscaling,47,auto,20,37,nnClassifier,10,4,adam,uniform,0.9496544916090819
relu,brute,32,entropy,1,0,0,13,invscaling,29,auto,11,9,randomForestClassifier,4,6,lbfgs,distance,0.9674234945705824
logistic,ball_tree,18,entropy,1,1,1,20,adaptive,13,sqrt,14,19,kneighborsClassifier,3,9,adam,distance,0.9664363277393879
logistic,ball_tree,9,gini,1,1,1,38,constant,99,log2,17,32,kneighborsClassifier,5,4,adam,uniform,0.9674234945705824
tanh,ball_tree,25,entropy,1,1,1,29,constant,96,log2,3,16,kneighborsClassifier,9,2,lbfgs,distance,0.9338598223099703
logistic,kd_tree,26,entropy,1,0,0,40,adaptive,85,sqrt,11,10,kneighborsClassifier,1,4,lbfgs,uniform,0.9674234945705824
identity,ball_tree,24,gini,1,0,1,5,adaptive,98,sqrt,2,25,nnClassifier,7,9,sgd,uniform,0.9358341559723593
relu,brute,22,entropy,0,0,0,31,adaptive,29,log2,3,8,kneighborsClassifier,4,7,sgd,distance,0
tanh,auto,25,entropy,1,1,0,14,constant,79,log2,14,39,nnClassifier,10,3,adam,uniform,0.9496544916090819
identity,auto,27,gini,0,1,0,18,adaptive,20,auto,18,17,nnClassifier,4,6,lbfgs,distance,0.9496544916090819
logistic,ball_tree,24,entropy,0,1,0,16,constant,16,log2,13,14,kneighborsClassifier,10,2,lbfgs,distance,0.9664363277393879
identity,ball_tree,12,gini,0,1,1,15,invscaling,40,auto,15,21,kneighborsClassifier,10,1,lbfgs,distance,0.9536031589338598
relu,ball_tree,8,entropy,0,0,1,32,adaptive,10,log2,17,35,randomForestClassifier,3,3,adam,uniform,0.9664363277393879
relu,auto,23,gini,0,1,0,15,constant,85,auto,14,19,kneighborsClassifier,10,5,sgd,distance,0.9654491609081934
logistic,brute,31,gini,1,1,0,2,invscaling,4,sqrt,18,7,nnClassifier,9,10,lbfgs,uniform,0.9496544916090819
identity,kd_tree,31,gini,0,0,1,2,adaptive,49,sqrt,6,24,kneighborsClassifier,8,8,adam,distance,0.9634748272458046
logistic,ball_tree,21,gini,1,0,0,19,adaptive,44,auto,14,24,nnClassifier,2,5,lbfgs,distance,0.9496544916090819
identity,brute,18,gini,0,1,1,11,adaptive,55,auto,8,14,nnClassifier,1,6,adam,distance,0.9348469891411648
relu,brute,18,gini,0,1,0,26,constant,51,sqrt,3,12,kneighborsClassifier,8,1,adam,uniform,0.9072063178677197
relu,brute,14,entropy,0,0,1,18,adaptive,66,log2,18,25,kneighborsClassifier,7,9,sgd,uniform,0.9684106614017769
identity,kd_tree,11,gini,0,0,1,38,invscaling,5,auto,8,9,nnClassifier,5,6,lbfgs,uniform,0.9358341559723593
identity,kd_tree,23,entropy,0,1,0,11,adaptive,42,sqrt,10,25,randomForestClassifier,8,8,adam,distance,0.9674234945705824
relu,ball_tree,14,entropy,1,0,1,5,invscaling,20,log2,7,28,kneighborsClassifier,4,3,adam,uniform,0.9664363277393879
logistic,kd_tree,15,gini,0,0,0,39,constant,56,sqrt,13,7,kneighborsClassifier,5,6,lbfgs,distance,0
tanh,brute,9,entropy,1,0,0,16,constant,66,log2,7,27,randomForestClassifier,1,2,lbfgs,distance,0.9674234945705824
relu,auto,24,entropy,1,0,1,4,constant,43,auto,13,10,randomForestClassifier,8,4,adam,distance,0.9674234945705824
tanh,kd_tree,32,entropy,0,1,0,2,constant,72,log2,13,38,kneighborsClassifier,9,10,adam,distance,0.9674234945705824
identity,ball_tree,13,gini,1,1,0,5,invscaling,84,log2,14,24,randomForestClassifier,6,8,adam,distance,0.9674234945705824
tanh,kd_tree,20,entropy,1,1,1,22,adaptive,51,log2,3,7,randomForestClassifier,2,2,sgd,uniform,0.9674234945705824
tanh,kd_tree,30,gini,0,1,0,5,adaptive,7,sqrt,20,33,randomForestClassifier,8,5,adam,distance,0.9674234945705824
relu,kd_tree,19,entropy,0,0,0,36,constant,18,auto,18,35,randomForestClassifier,10,6,lbfgs,uniform,0
logistic,brute,12,entropy,1,0,1,24,invscaling,42,log2,4,27,nnClassifier,8,1,lbfgs,uniform,0.9338598223099703
identity,kd_tree,29,entropy,1,1,0,38,adaptive,43,auto,12,26,randomForestClassifier,6,4,adam,uniform,0.9674234945705824
identity,auto,29,gini,1,1,0,26,adaptive,29,sqrt,7,28,randomForestClassifier,1,7,sgd,uniform,0.9674234945705824
identity,ball_tree,20,entropy,0,0,0,9,adaptive,73,auto,2,27,kneighborsClassifier,4,10,sgd,distance,0
logistic,auto,16,gini,1,0,0,16,adaptive,12,log2,10,31,kneighborsClassifier,10,5,adam,uniform,0.9674234945705824
logistic,kd_tree,23,gini,0,0,0,11,constant,46,auto,20,7,kneighborsClassifier,1,7,lbfgs,distance,0
identity,brute,25,entropy,1,0,0,36,constant,19,log2,5,2,randomForestClassifier,8,10,lbfgs,distance,0.9674234945705824
identity,auto,29,gini,1,1,1,28,adaptive,53,sqrt,19,12,randomForestClassifier,4,7,sgd,uniform,0.9664363277393879
relu,kd_tree,22,entropy,0,1,1,25,constant,77,log2,7,16,randomForestClassifier,10,7,lbfgs,uniform,0.9674234945705824
relu,auto,27,entropy,0,1,1,31,invscaling,64,auto,2,18,kneighborsClassifier,5,9,lbfgs,distance,0.9615004935834156
relu,kd_tree,24,gini,0,0,0,8,constant,74,log2,13,32,nnClassifier,8,10,adam,uniform,0
logistic,brute,31,gini,1,1,0,30,adaptive,7,auto,5,6,kneighborsClassifier,7,6,sgd,distance,0.9624876604146101
tanh,auto,9,entropy,0,1,1,19,invscaling,99,sqrt,7,32,randomForestClassifier,2,3,lbfgs,distance,0.9674234945705824
tanh,auto,25,gini,1,1,0,21,constant,19,auto,3,28,kneighborsClassifier,5,1,lbfgs,distance,0.9338598223099703
identity,kd_tree,25,gini,1,0,1,8,adaptive,66,sqrt,12,25,kneighborsClassifier,7,1,lbfgs,distance,0.9565646594274433
relu,brute,17,gini,0,1,1,24,invscaling,17,auto,15,9,kneighborsClassifier,7,4,lbfgs,uniform,0.9674234945705824
tanh,brute,19,gini,0,1,1,8,constant,14,auto,7,3,kneighborsClassifier,5,1,sgd,distance,0.9536031589338598
identity,kd_tree,8,gini,0,1,0,26,adaptive,88,sqrt,3,4,nnClassifier,9,4,sgd,uniform,0.9496544916090819
identity,brute,30,entropy,0,0,0,29,invscaling,74,sqrt,12,27,nnClassifier,5,9,adam,distance,0
logistic,brute,32,entropy,0,1,0,35,invscaling,20,sqrt,13,8,nnClassifier,3,2,lbfgs,distance,0.9496544916090819
relu,ball_tree,32,gini,0,1,0,4,constant,36,log2,2,20,randomForestClassifier,1,8,lbfgs,distance,0.9674234945705824
