,feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,81,sqrt,8,40,None,None,None,None,0.9703849950641659,ok,1.5454322081059217
2,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,74,sqrt,15,6,None,None,None,None,0.9713721618953604,ok,2.7630031621083617
3,1,1,0,kneighborsClassifier,None,kd_tree,None,None,3,None,None,None,None,None,None,2,None,uniform,0.9654491609081934,ok,2.8109748589340597
4,1,0,0,kneighborsClassifier,None,kd_tree,None,None,25,None,None,None,None,None,None,3,None,uniform,0.9684106614017769,ok,2.85388523992151
5,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,11,log2,14,2,None,None,None,None,0.9693978282329714,ok,3.990180426975712
6,0,1,0,randomForestClassifier,None,None,None,gini,None,None,99,sqrt,10,6,None,None,None,None,0.9684106614017769,ok,4.82457171799615
7,1,1,1,kneighborsClassifier,None,kd_tree,None,None,19,None,None,None,None,None,None,8,None,uniform,0.9684106614017769,ok,4.873171522980556
8,1,1,0,kneighborsClassifier,None,kd_tree,None,None,36,None,None,None,None,None,None,2,None,distance,0.9378084896347483,ok,4.895039625000209
9,0,1,0,randomForestClassifier,None,None,None,gini,None,None,98,auto,19,17,None,None,None,None,0.9684106614017769,ok,5.689071707893163
10,0,0,1,kneighborsClassifier,None,auto,None,None,37,None,None,None,None,None,None,4,None,uniform,0.9644619940769991,ok,5.736226639011875
11,1,1,1,kneighborsClassifier,None,auto,None,None,32,None,None,None,None,None,None,2,None,distance,0.9378084896347483,ok,5.758100111968815
12,0,1,1,randomForestClassifier,None,None,None,gini,None,None,70,log2,3,34,None,None,None,None,0.9674234945705824,ok,6.745064611081034
13,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,76,sqrt,13,29,None,None,None,None,0.9684106614017769,ok,7.67858981504105
14,1,0,1,kneighborsClassifier,None,brute,None,None,25,None,None,None,None,None,None,6,None,uniform,0.9684106614017769,ok,7.8688853909261525
15,0,1,0,nnClassifier,identity,None,24,None,None,adaptive,None,None,None,None,8,None,sgd,None,0.9605133267522211,ok,15.61297690588981
16,0,1,0,nnClassifier,identity,None,30,None,None,adaptive,None,None,None,None,8,None,lbfgs,None,0.9605133267522211,ok,15.831588044995442
17,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,89,log2,10,38,None,None,None,None,0.9684106614017769,ok,16.776716883061454
18,0,0,1,randomForestClassifier,None,None,None,gini,None,None,66,log2,6,28,None,None,None,None,0.9684106614017769,ok,17.83034957991913
19,1,0,0,kneighborsClassifier,None,ball_tree,None,None,25,None,None,None,None,None,None,3,None,distance,0.9684106614017769,ok,17.850700211012736
20,0,0,1,nnClassifier,relu,None,10,None,None,invscaling,None,None,None,None,1,None,adam,None,0.9605133267522211,ok,26.727231746073812
21,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,45,sqrt,18,12,None,None,None,None,0.9703849950641659,ok,28.19410445704125
22,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,36,sqrt,19,12,None,None,None,None,0.9703849950641659,ok,29.653598976088688
23,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,22,sqrt,16,10,None,None,None,None,0.9693978282329714,ok,31.130403351970017
24,0,0,1,nnClassifier,tanh,None,8,None,None,constant,None,None,None,None,1,None,lbfgs,None,0.9447186574531096,ok,33.66980888904072
25,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,57,sqrt,20,17,None,None,None,None,0.9703849950641659,ok,34.8797842329368
26,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,54,sqrt,16,20,None,None,None,None,0.9703849950641659,ok,36.10401195799932
27,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,57,sqrt,16,21,None,None,None,None,0.9703849950641659,ok,37.32660497305915
28,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,59,auto,13,24,None,None,None,None,0.9703849950641659,ok,38.56878167297691
29,0,1,1,nnClassifier,logistic,None,18,None,None,invscaling,None,None,None,None,4,None,adam,None,0.9427443237907206,ok,45.73655631393194
30,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,30,sqrt,20,7,None,None,None,None,0.9703849950641659,ok,46.949048238107935
31,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,28,sqrt,17,3,None,None,None,None,0.9703849950641659,ok,48.171013386920094
32,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,3,sqrt,17,3,None,None,None,None,0.9733464955577492,ok,48.8590273601003
33,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,3,auto,13,5,None,None,None,None,0.9723593287265548,ok,49.54740397701971
34,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,1,auto,12,4,None,None,None,None,0.9703849950641659,ok,50.791377543937415
35,0,1,1,nnClassifier,tanh,None,32,None,None,constant,None,None,None,None,5,None,sgd,None,0.9447186574531096,ok,59.957619335036725
36,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,3,auto,11,10,None,None,None,None,0.9713721618953604,ok,60.649622903903946
37,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,14,auto,14,14,None,None,None,None,0.9703849950641659,ok,61.89467928092927
38,1,1,1,randomForestClassifier,None,None,None,gini,None,None,10,auto,7,8,None,None,None,None,0.9693978282329714,ok,62.76647064089775
39,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,19,auto,18,3,None,None,None,None,0.9703849950641659,ok,63.98571371892467
