activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,brute,12,gini,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,40,invscaling,29,auto,15,30,kneighborsClassifier,7,6,lbfgs,distance,0.9872727272727273
identity,kd_tree,30,entropy,0,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,13,constant,21,sqrt,7,25,randomForestClassifier,9,10,sgd,distance,0.9654545454545455
logistic,kd_tree,21,entropy,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,39,invscaling,6,sqrt,14,22,nnClassifier,6,10,lbfgs,distance,0.10909090909090909
identity,brute,26,entropy,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,29,invscaling,71,log2,11,37,kneighborsClassifier,8,2,sgd,uniform,0.990909090909091
tanh,auto,31,gini,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,34,adaptive,90,log2,16,29,kneighborsClassifier,10,2,sgd,uniform,0.9709090909090909
logistic,brute,18,gini,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,28,constant,70,auto,19,21,randomForestClassifier,7,7,adam,uniform,0.9418181818181818
relu,brute,13,entropy,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,39,constant,66,log2,13,23,kneighborsClassifier,7,1,sgd,distance,0.9963636363636363
tanh,brute,8,entropy,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,16,adaptive,28,sqrt,17,36,randomForestClassifier,1,5,adam,distance,0.9563636363636364
relu,brute,27,gini,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,39,adaptive,43,auto,7,5,kneighborsClassifier,10,1,adam,uniform,0.9781818181818182
relu,kd_tree,13,entropy,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,40,adaptive,21,sqrt,4,16,randomForestClassifier,10,1,sgd,distance,0.9745454545454545
relu,auto,12,entropy,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,10,constant,23,sqrt,16,7,nnClassifier,8,3,sgd,distance,0.11636363636363636
relu,brute,31,gini,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,26,constant,21,log2,8,14,nnClassifier,9,3,adam,distance,0.11636363636363636
