activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,23,gini,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,13,invscaling,40,sqrt,9,7,kneighborsClassifier,8,5,adam,distance,0.9672727272727273,76.70713057206012
logistic,auto,20,gini,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,6,invscaling,19,sqrt,10,12,kneighborsClassifier,10,4,adam,uniform,0.9854545454545455,76.70722924009897
tanh,ball_tree,15,gini,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,28,invscaling,79,sqrt,3,17,kneighborsClassifier,6,3,adam,uniform,0.9818181818181818,76.70730503904633
logistic,ball_tree,15,entropy,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,25,invscaling,25,auto,14,17,nnClassifier,5,5,adam,uniform,0.0,76.70737911807373
logistic,auto,25,entropy,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,31,invscaling,94,log2,17,15,kneighborsClassifier,6,5,adam,uniform,0.9345454545454546,76.70745298708789
tanh,auto,13,gini,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,28,invscaling,86,sqrt,8,20,nnClassifier,5,5,adam,uniform,0.0,76.70752649614587
logistic,auto,14,entropy,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,20,invscaling,6,sqrt,15,15,kneighborsClassifier,9,5,adam,uniform,0.6781818181818182,76.70759947504848
tanh,ball_tree,20,entropy,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,18,invscaling,62,log2,15,13,kneighborsClassifier,4,7,adam,uniform,0.9727272727272728,76.70767318410799
tanh,ball_tree,22,entropy,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,invscaling,82,log2,13,20,nnClassifier,6,4,adam,uniform,0.10545454545454545,76.7077465231996
relu,ball_tree,23,gini,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,24,invscaling,57,log2,20,23,kneighborsClassifier,7,5,adam,uniform,0.9563636363636364,76.70782091212459
logistic,ball_tree,18,entropy,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,11,invscaling,65,log2,14,6,kneighborsClassifier,10,4,adam,uniform,0.9527272727272728,76.7078939510975
