activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,brute,28,entropy,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,38,constant,58,auto,7,23,kneighborsClassifier,4,8,adam,distance,0.9781818181818182
tanh,ball_tree,29,gini,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,27,constant,88,sqrt,18,24,kneighborsClassifier,2,2,adam,distance,0.9872727272727273
logistic,auto,32,entropy,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,36,adaptive,37,sqrt,19,5,kneighborsClassifier,4,4,lbfgs,distance,0.9927272727272727
tanh,kd_tree,19,gini,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,18,constant,57,auto,13,32,randomForestClassifier,5,10,lbfgs,uniform,0.9381818181818182
identity,brute,20,entropy,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,40,constant,72,log2,14,19,kneighborsClassifier,2,10,adam,distance,0.9618181818181818
relu,ball_tree,24,entropy,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3,constant,1,log2,5,21,nnClassifier,5,10,adam,uniform,0.09636363636363636
logistic,brute,8,gini,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,19,constant,88,log2,13,20,kneighborsClassifier,7,5,sgd,uniform,0.9872727272727273
identity,auto,22,entropy,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,32,adaptive,99,log2,4,32,kneighborsClassifier,10,6,adam,uniform,0.9818181818181818
relu,ball_tree,31,entropy,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,0,30,constant,88,log2,12,37,randomForestClassifier,4,1,sgd,distance,0.9509090909090909
identity,kd_tree,13,entropy,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,38,constant,71,log2,19,9,nnClassifier,6,2,adam,uniform,0.08
logistic,kd_tree,9,gini,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,17,adaptive,31,auto,19,38,randomForestClassifier,3,7,lbfgs,distance,0.9509090909090909
logistic,kd_tree,27,entropy,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,25,invscaling,4,log2,16,14,kneighborsClassifier,8,10,adam,uniform,0.9654545454545455
logistic,auto,15,gini,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,34,adaptive,47,sqrt,14,2,kneighborsClassifier,3,6,sgd,distance,0.9836363636363636
