,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,98,sqrt,5,9,None,None,None,None,0.9527272727272728,ok,1.2952502919360995
1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,62,log2,6,21,None,None,None,None,0.9436363636363636,ok,3.385822050040588
2,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,46,sqrt,9,37,None,None,None,None,0.9272727272727272,ok,4.548161339946091
3,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,kneighborsClassifier,None,auto,None,None,21.0,None,None,None,None,None,None,5.0,None,uniform,0.9818181818181818,ok,4.645496491109952
4,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,75,sqrt,15,26,None,None,None,None,0.9381818181818182,ok,6.578420453006402
5,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,nnClassifier,tanh,None,20.0,None,None,constant,None,None,None,None,3.0,None,adam,None,0.10181818181818182,ok,22.514322651084512
6,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,25.0,None,None,None,None,None,None,6.0,None,uniform,0.9709090909090909,ok,22.588234595023096
7,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,38.0,None,None,None,None,None,None,9.0,None,uniform,0.98,ok,22.654559517046437
8,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,53,log2,7,12,None,None,None,None,0.9509090909090909,ok,23.827860733959824
9,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,60,sqrt,16,18,None,None,None,None,0.9327272727272727,ok,25.09393526893109
10,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,kneighborsClassifier,None,ball_tree,None,None,16.0,None,None,None,None,None,None,1.0,None,uniform,0.9854545454545455,ok,25.159007793990895
11,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,nnClassifier,tanh,None,32.0,None,None,adaptive,None,None,None,None,7.0,None,lbfgs,None,0.10545454545454545,ok,29.469532205956057
12,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,nnClassifier,identity,None,12.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,0.04363636363636364,ok,46.13241892401129
13,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,nnClassifier,identity,None,28.0,None,None,constant,None,None,None,None,8.0,None,sgd,None,0.08727272727272728,ok,54.28372559789568
14,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,97,sqrt,9,15,None,None,None,None,0.94,ok,55.45519716804847
15,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,auto,None,None,12.0,None,None,None,None,None,None,7.0,None,distance,0.9745454545454545,ok,55.53779110102914
16,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,nnClassifier,tanh,None,17.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.1,ok,71.40094584506005
17,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,1,nnClassifier,identity,None,28.0,None,None,invscaling,None,None,None,None,4.0,None,sgd,None,0.007272727272727273,ok,79.61422012001276
18,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,19.0,None,None,None,None,None,None,7.0,None,distance,0.9763636363636363,ok,79.67575516900979
19,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,nnClassifier,logistic,None,26.0,None,None,adaptive,None,None,None,None,4.0,None,adam,None,0.07272727272727272,ok,92.20153222512454
20,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,26.0,None,None,None,None,None,None,1.0,None,uniform,0.9836363636363636,ok,92.29473288892768
21,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,32.0,None,None,None,None,None,None,1.0,None,uniform,0.98,ok,92.38579160696827
22,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,5.0,None,None,None,None,None,None,1.0,None,uniform,0.9781818181818182,ok,92.47537180106156
23,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,kneighborsClassifier,None,brute,None,None,12.0,None,None,None,None,None,None,3.0,None,uniform,0.9763636363636363,ok,92.57617559004575
24,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,kneighborsClassifier,None,ball_tree,None,None,29.0,None,None,None,None,None,None,3.0,None,uniform,0.98,ok,92.67088742693886
25,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,15.0,None,None,None,None,None,None,2.0,None,uniform,0.9781818181818182,ok,92.84102120692842
26,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,4.0,None,None,None,None,None,None,4.0,None,uniform,0.9709090909090909,ok,92.94096757494844
27,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,kneighborsClassifier,None,ball_tree,None,None,35.0,None,None,None,None,None,None,2.0,None,distance,0.98,ok,93.03049398004077
28,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,kneighborsClassifier,None,brute,None,None,26.0,None,None,None,None,None,None,1.0,None,uniform,0.9781818181818182,ok,93.12639466300607
29,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,kneighborsClassifier,None,ball_tree,None,None,20.0,None,None,None,None,None,None,10.0,None,uniform,0.9654545454545455,ok,93.22811088198796
