feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,17,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.8685185185185185,5.625818252563477
1,0,1,0,1,nnClassifier,identity,NA,17,NA,nan,invscaling,nan,NA,nan,nan,10,nan,sgd,NA,0.6611111111111111,11.282471895217896
1,0,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,19,NA,nan,NA,nan,nan,nan,4,NA,distance,0.8,16.22187566757202
1,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,7,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.8777777777777778,21.17999792098999
1,0,0,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.8351851851851851,26.110970735549927
0,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8722222222222222,31.353611707687378
0,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,89,log2,10,33,nan,nan,NA,NA,0.774074074074074,36.941165924072266
0,0,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,5,NA,distance,0.6888888888888889,41.70701479911804
1,0,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,14,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.8518518518518519,47.23851561546326
1,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.8777777777777778,52.7276611328125
0,1,0,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,36,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.7907407407407407,57.60295009613037
1,1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,5,NA,distance,0.8703703703703703,62.37018346786499
0,1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,11,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8111111111111111,67.62209367752075
1,1,1,0,1,nnClassifier,identity,NA,11,NA,nan,constant,nan,NA,nan,nan,8,nan,adam,NA,0.6370370370370371,77.38781762123108
1,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,26,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9018518518518519,82.30315113067627
0,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,38,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8555555555555555,87.11930632591248
1,1,1,0,1,nnClassifier,logistic,NA,10,NA,nan,constant,nan,NA,nan,nan,6,nan,adam,NA,0.5888888888888889,117.49736332893372
1,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,29,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.8703703703703703,122.96667385101318
1,1,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,18,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.8444444444444444,128.0901381969452
0,0,1,1,1,kneighborsClassifier,NA,brute,nan,NA,23,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8555555555555555,132.97644686698914
1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,98,sqrt,4,40,nan,nan,NA,NA,0.8703703703703703,139.27947854995728
1,1,1,0,0,kneighborsClassifier,NA,brute,nan,NA,21,NA,nan,NA,nan,nan,nan,8,NA,distance,0.8777777777777778,143.92617630958557
1,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,3,sqrt,7,13,nan,nan,NA,NA,0.7944444444444444,148.999981880188
1,0,1,0,1,kneighborsClassifier,NA,brute,nan,NA,37,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8481481481481481,154.2326979637146
1,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,36,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.8851851851851852,159.2102551460266
0,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,10,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8518518518518519,164.27970433235168
1,1,1,0,1,kneighborsClassifier,NA,brute,nan,NA,24,NA,nan,NA,nan,nan,nan,4,NA,distance,0.8925925925925926,169.17654991149902
1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,19,sqrt,3,36,nan,nan,NA,NA,0.8814814814814815,174.30535507202148
1,1,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,9,NA,nan,NA,nan,nan,nan,5,NA,distance,0.8666666666666667,179.09364533424377
1,1,1,1,1,kneighborsClassifier,NA,brute,nan,NA,38,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8962962962962963,184.06662678718567
1,1,1,0,1,kneighborsClassifier,NA,auto,nan,NA,39,NA,nan,NA,nan,nan,nan,2,NA,distance,0.8907407407407407,189.4122929573059
0,1,1,1,0,kneighborsClassifier,NA,auto,nan,NA,32,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8351851851851851,194.22460007667542
1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8907407407407407,199.13430523872375
1,1,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,7,NA,distance,0.8648148148148148,204.03254652023315
0,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.8574074074074074,208.26510453224182
0,0,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,8,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8425925925925926,213.67713713645935
0,0,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.8425925925925926,218.8008279800415
1,0,0,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,13,NA,nan,NA,nan,nan,nan,8,NA,distance,0.7981481481481482,223.40604186058044
1,1,1,0,0,kneighborsClassifier,NA,brute,nan,NA,36,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.8592592592592593,228.1291720867157
1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,67,sqrt,3,14,nan,nan,NA,NA,0.8888888888888888,234.36743688583374
1,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,49,log2,10,21,nan,nan,NA,NA,0.8777777777777778,240.48888778686523
1,1,0,1,1,kneighborsClassifier,NA,brute,nan,NA,37,NA,nan,NA,nan,nan,nan,8,NA,distance,0.8814814814814815,245.69199395179749
1,1,0,0,1,kneighborsClassifier,NA,brute,nan,NA,14,NA,nan,NA,nan,nan,nan,10,NA,distance,0.8722222222222222,250.93402481079102
0,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,24,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.8444444444444444,255.43045949935913
1,1,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,34,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9037037037037037,260.37064361572266
0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,95,auto,2,13,nan,nan,NA,NA,0.8240740740740741,266.33219718933105
1,1,0,1,0,kneighborsClassifier,NA,brute,nan,NA,34,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.8333333333333334,271.7639093399048
1,1,0,0,0,kneighborsClassifier,NA,auto,nan,NA,35,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8018518518518518,276.586128950119
1,1,1,1,1,nnClassifier,logistic,NA,30,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,0.5833333333333334,285.1225075721741
0,0,1,0,1,kneighborsClassifier,NA,brute,nan,NA,34,NA,nan,NA,nan,nan,nan,10,NA,distance,0.7796296296296297,290.2829704284668
0,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,78,log2,5,8,nan,nan,NA,NA,0.8203703703703704,295.9496111869812
1,1,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.8611111111111112,301.19012665748596
1,0,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,38,NA,nan,NA,nan,nan,nan,8,NA,distance,0.8074074074074075,305.8717601299286
1,1,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8722222222222222,310.96343755722046
1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,80,sqrt,3,20,nan,nan,NA,NA,0.8888888888888888,316.8600392341614
1,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,98,sqrt,4,23,nan,nan,NA,NA,0.8629629629629629,322.70951318740845
1,1,1,1,0,kneighborsClassifier,NA,auto,nan,NA,31,NA,nan,NA,nan,nan,nan,2,NA,distance,0.8925925925925926,327.4218189716339
1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,19,log2,2,39,nan,nan,NA,NA,0.8703703703703703,332.63436007499695
1,0,1,0,1,kneighborsClassifier,NA,brute,nan,NA,37,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8537037037037037,337.85699248313904
