activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,auto,29,entropy,0,1,1,0,1,27,invscaling,83,log2,10,34,randomForestClassifier,2,5,lbfgs,uniform,0.8018518518518518
identity,ball_tree,20,gini,1,1,1,1,0,30,constant,13,auto,20,12,nnClassifier,4,6,adam,distance,0.5851851851851851
logistic,kd_tree,14,gini,1,0,0,0,1,31,invscaling,22,sqrt,13,26,nnClassifier,5,1,sgd,distance,0.662962962962963
logistic,ball_tree,24,entropy,0,1,1,1,1,25,adaptive,86,sqrt,11,28,randomForestClassifier,9,7,adam,distance,0.8296296296296296
tanh,brute,17,entropy,0,1,1,0,1,34,invscaling,93,log2,18,24,nnClassifier,4,8,sgd,distance,0.5962962962962963
relu,ball_tree,26,gini,1,1,0,1,0,10,adaptive,46,log2,18,8,kneighborsClassifier,4,2,adam,distance,0.8407407407407408
logistic,kd_tree,28,gini,0,0,0,0,0,4,constant,45,sqrt,19,36,nnClassifier,1,4,lbfgs,distance,0.0
logistic,kd_tree,16,entropy,0,1,0,0,0,28,invscaling,5,log2,15,30,randomForestClassifier,2,7,lbfgs,uniform,0.7296296296296296
tanh,auto,19,gini,1,0,0,0,1,31,constant,35,auto,5,23,nnClassifier,5,5,adam,uniform,0.5925925925925926
tanh,ball_tree,29,entropy,1,1,0,1,0,37,adaptive,24,auto,5,19,nnClassifier,8,6,adam,uniform,0.562962962962963
tanh,auto,32,entropy,1,1,1,0,0,16,constant,67,log2,18,12,randomForestClassifier,6,5,sgd,distance,0.8351851851851851
relu,ball_tree,15,gini,0,0,1,1,1,38,adaptive,10,auto,5,15,kneighborsClassifier,9,3,sgd,uniform,0.7925925925925926
identity,kd_tree,32,entropy,0,1,1,0,1,4,constant,20,sqrt,8,38,nnClassifier,8,9,lbfgs,distance,0.6037037037037037
relu,brute,21,entropy,1,1,1,0,1,14,constant,90,sqrt,5,29,randomForestClassifier,5,9,sgd,distance,0.8388888888888889
logistic,auto,9,entropy,0,0,0,0,1,31,invscaling,16,auto,13,10,kneighborsClassifier,6,9,sgd,uniform,0.7203703703703703
tanh,brute,17,entropy,1,1,1,0,0,8,constant,95,log2,14,24,randomForestClassifier,9,8,adam,distance,0.8388888888888889
tanh,auto,19,gini,0,0,0,1,0,16,adaptive,67,auto,9,15,randomForestClassifier,3,4,sgd,uniform,0.7240740740740741
relu,ball_tree,10,entropy,0,0,0,0,1,20,adaptive,17,log2,19,31,nnClassifier,10,8,adam,distance,0.587037037037037
relu,kd_tree,31,gini,1,1,0,0,0,24,constant,64,log2,6,16,kneighborsClassifier,3,3,lbfgs,distance,0.7870370370370371
logistic,ball_tree,27,gini,0,1,0,0,0,5,adaptive,67,auto,18,10,kneighborsClassifier,4,6,sgd,distance,0.6888888888888889
relu,ball_tree,26,gini,1,1,0,1,0,10,adaptive,46,log2,18,8,kneighborsClassifier,4,2,adam,distance,0.8407407407407408
relu,brute,21,entropy,1,1,1,0,1,14,constant,90,sqrt,5,29,randomForestClassifier,5,9,sgd,distance,0.8388888888888889
tanh,brute,17,entropy,1,1,1,0,0,8,constant,95,log2,14,24,randomForestClassifier,9,8,adam,distance,0.8388888888888889
tanh,auto,32,entropy,1,1,1,0,0,16,constant,67,log2,18,12,randomForestClassifier,6,5,sgd,distance,0.8351851851851851
logistic,ball_tree,24,entropy,0,1,1,1,1,25,adaptive,86,sqrt,11,28,randomForestClassifier,9,7,adam,distance,0.8296296296296296
tanh,auto,29,entropy,0,1,1,0,1,27,invscaling,83,log2,10,34,randomForestClassifier,2,5,lbfgs,uniform,0.8018518518518518
