activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,24,entropy,1,1,1,1,1,28,constant,39,sqrt,5,20,nnClassifier,6,5,adam,distance,0.6888888888888889,60.00648033595644
relu,auto,22,entropy,1,1,1,1,1,25,constant,49,auto,13,9,kneighborsClassifier,6,7,adam,distance,0.8611111111111112,60.006550983991474
relu,auto,15,gini,1,1,1,1,1,22,constant,36,sqrt,16,33,kneighborsClassifier,8,8,adam,distance,0.8148148148148148,60.00658590393141
relu,auto,32,entropy,1,1,1,1,1,9,constant,35,sqrt,5,12,randomForestClassifier,10,7,adam,distance,0.8888888888888888,60.00661975285038
relu,auto,27,gini,1,1,1,1,1,20,constant,25,sqrt,11,27,kneighborsClassifier,10,9,adam,distance,0.7870370370370371,60.006653712829575
relu,auto,32,gini,1,1,1,1,1,16,constant,12,sqrt,11,9,randomForestClassifier,8,8,adam,distance,0.7888888888888889,60.006686951965094
relu,auto,29,gini,1,1,1,1,1,11,constant,37,sqrt,9,31,nnClassifier,8,7,adam,distance,0.6222222222222222,60.006719551980495
relu,auto,31,gini,1,1,1,1,1,9,constant,48,auto,6,10,kneighborsClassifier,9,4,adam,distance,0.837037037037037,60.00675220089033
relu,auto,32,gini,1,1,1,1,1,19,constant,87,auto,6,10,randomForestClassifier,10,6,adam,distance,0.8740740740740741,60.00678589101881
relu,auto,17,entropy,1,1,1,1,1,35,constant,65,sqrt,6,7,nnClassifier,5,8,adam,distance,0.6888888888888889,60.00681882002391
relu,auto,21,gini,1,1,1,1,1,9,constant,26,sqrt,6,20,kneighborsClassifier,8,5,adam,distance,0.8740740740740741,60.00685207895003
relu,auto,26,entropy,1,1,1,1,1,27,constant,86,auto,15,18,kneighborsClassifier,6,6,adam,distance,0.7722222222222223,60.006885348819196
relu,auto,14,gini,1,1,1,1,1,8,constant,37,sqrt,5,10,nnClassifier,10,5,adam,distance,0.6018518518518519,60.006918717874214
relu,auto,31,gini,1,1,1,1,1,31,constant,64,sqrt,18,19,kneighborsClassifier,6,5,adam,distance,0.7388888888888889,60.00695150787942
relu,auto,22,entropy,1,1,1,1,1,36,constant,8,auto,13,34,nnClassifier,10,9,adam,distance,0.6277777777777778,60.006984426872805
relu,auto,20,entropy,1,1,1,1,1,10,constant,21,auto,6,10,kneighborsClassifier,10,6,adam,distance,0.8,60.00701705692336
relu,auto,32,gini,1,1,1,1,1,9,constant,37,sqrt,16,34,nnClassifier,9,6,adam,distance,0.6129629629629629,60.007049755891785
relu,auto,16,entropy,1,1,1,1,1,11,constant,87,sqrt,6,32,nnClassifier,9,6,adam,distance,0.6037037037037037,60.00708252587356
