activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,brute,16,gini,1,0,1,1,0,25,constant,50,auto,8,22,kneighborsClassifier,5,7,adam,distance,0.8537037037037037
relu,auto,23,entropy,1,0,0,0,1,23,invscaling,93,auto,3,15,nnClassifier,7,5,adam,uniform,0.6055555555555555
identity,ball_tree,26,gini,0,1,0,0,1,14,constant,16,sqrt,6,5,kneighborsClassifier,8,9,adam,distance,0.8037037037037037
relu,brute,30,entropy,0,1,1,0,1,37,constant,91,sqrt,7,5,kneighborsClassifier,4,4,sgd,uniform,0.8444444444444444
relu,ball_tree,13,entropy,1,1,1,0,0,2,adaptive,89,sqrt,8,2,randomForestClassifier,7,4,sgd,distance,0.85
relu,auto,18,gini,0,0,0,1,0,9,adaptive,33,sqrt,10,15,nnClassifier,1,10,adam,uniform,0.7129629629629629
relu,ball_tree,14,entropy,0,1,0,1,0,29,invscaling,84,auto,20,33,nnClassifier,5,9,adam,distance,0.5925925925925926
relu,brute,29,entropy,1,1,0,0,1,34,constant,24,sqrt,19,39,kneighborsClassifier,7,5,sgd,uniform,0.837037037037037
tanh,kd_tree,23,entropy,1,0,1,1,1,13,constant,41,log2,7,28,randomForestClassifier,8,8,sgd,distance,0.8611111111111112
relu,ball_tree,11,entropy,1,0,0,1,1,16,constant,69,log2,10,5,randomForestClassifier,4,1,adam,uniform,0.8240740740740741
tanh,brute,26,entropy,0,0,0,0,1,22,invscaling,60,log2,19,32,nnClassifier,1,4,adam,distance,0.6314814814814815
identity,kd_tree,10,entropy,1,1,0,1,1,20,constant,87,auto,20,4,randomForestClassifier,1,6,adam,distance,0.8388888888888889
relu,auto,23,gini,1,0,1,1,0,27,adaptive,17,sqrt,20,22,kneighborsClassifier,9,7,adam,uniform,0.837037037037037
relu,brute,20,gini,1,0,0,1,1,31,invscaling,63,auto,13,33,kneighborsClassifier,7,5,lbfgs,uniform,0.8296296296296296
relu,brute,10,gini,0,0,0,0,1,9,adaptive,95,sqrt,20,8,randomForestClassifier,7,3,lbfgs,uniform,0.762962962962963
identity,brute,32,gini,1,0,1,0,0,17,adaptive,95,sqrt,3,8,nnClassifier,8,5,lbfgs,distance,0.6722222222222223
logistic,brute,28,gini,1,0,1,0,0,11,constant,80,sqrt,16,39,nnClassifier,2,6,lbfgs,uniform,0.6111111111111112
logistic,kd_tree,13,entropy,1,1,0,0,1,8,invscaling,81,sqrt,15,21,nnClassifier,10,8,lbfgs,distance,0.5648148148148148
logistic,ball_tree,29,entropy,1,1,1,1,0,27,adaptive,100,sqrt,15,26,kneighborsClassifier,3,1,adam,distance,0.8740740740740741
identity,brute,10,entropy,1,0,1,1,0,33,invscaling,7,auto,10,3,nnClassifier,7,9,adam,distance,0.6222222222222222
relu,ball_tree,11,entropy,1,1,1,0,1,37,constant,38,sqrt,12,10,nnClassifier,7,9,sgd,uniform,0.5611111111111111
logistic,ball_tree,32,entropy,0,1,1,0,0,17,constant,83,log2,4,31,randomForestClassifier,2,2,sgd,distance,0.7814814814814814
identity,brute,17,gini,0,0,1,0,0,35,constant,22,sqrt,18,31,kneighborsClassifier,3,2,adam,distance,0.6962962962962963
