,feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,2,auto,19,34,None,None,None,None,0.7518518518518519,ok,0.4266803259961307
1,1,1,0,0,0,kneighborsClassifier,None,brute,None,None,25.0,None,None,None,None,None,None,6.0,None,distance,0.7944444444444444,ok,0.48211222188547254
2,0,1,0,1,1,nnClassifier,tanh,None,31.0,None,None,adaptive,None,None,None,None,6.0,None,adam,None,0.6018518518518519,ok,10.867253541946411
3,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,88,auto,10,38,None,None,None,None,0.8277777777777777,ok,11.577495778910816
4,1,1,0,0,0,nnClassifier,relu,None,15.0,None,None,adaptive,None,None,None,None,9.0,None,lbfgs,None,0.6037037037037037,ok,13.22869255184196
5,0,1,0,1,1,nnClassifier,tanh,None,29.0,None,None,constant,None,None,None,None,5.0,None,adam,None,0.6,ok,24.079553014831617
6,1,1,0,0,1,nnClassifier,tanh,None,10.0,None,None,adaptive,None,None,None,None,1.0,None,sgd,None,0.6259259259259259,ok,45.095324442954734
7,0,0,0,1,1,kneighborsClassifier,None,auto,None,None,20.0,None,None,None,None,None,None,3.0,None,uniform,0.7462962962962963,ok,45.12675188179128
8,1,0,0,1,1,nnClassifier,identity,None,13.0,None,None,adaptive,None,None,None,None,2.0,None,sgd,None,0.6296296296296297,ok,52.632718049921095
9,0,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,31,log2,12,39,None,None,None,None,0.7,ok,53.190447804983705
10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
11,1,0,1,1,0,kneighborsClassifier,None,brute,None,None,37.0,None,None,None,None,None,None,1.0,None,distance,0.8518518518518519,ok,53.23592784698121
12,0,1,0,0,0,nnClassifier,relu,None,22.0,None,None,constant,None,None,None,None,4.0,None,sgd,None,0.6703703703703704,ok,58.77449330477975
13,1,0,1,0,1,kneighborsClassifier,None,auto,None,None,26.0,None,None,None,None,None,None,9.0,None,uniform,0.8277777777777777,ok,58.80725700687617
14,0,1,0,0,0,nnClassifier,tanh,None,30.0,None,None,invscaling,None,None,None,None,6.0,None,adam,None,0.6370370370370371,ok,64.35557118593715
15,0,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,38.0,None,None,None,None,None,None,4.0,None,uniform,0.8314814814814815,ok,64.38791088294238
16,1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,62,auto,18,14,None,None,None,None,0.7870370370370371,ok,65.05484749679454
17,1,0,1,1,0,nnClassifier,logistic,None,29.0,None,None,constant,None,None,None,None,10.0,None,adam,None,0.6055555555555555,ok,75.49974504089914
18,0,1,1,0,0,kneighborsClassifier,None,brute,None,None,5.0,None,None,None,None,None,None,3.0,None,uniform,0.7925925925925926,ok,75.55351212783717
19,1,1,0,1,0,kneighborsClassifier,None,kd_tree,None,None,32.0,None,None,None,None,None,None,5.0,None,uniform,0.8222222222222222,ok,75.58629670995288
20,1,0,1,0,1,kneighborsClassifier,None,kd_tree,None,None,40.0,None,None,None,None,None,None,1.0,None,distance,0.8277777777777777,ok,75.61796195385978
21,0,0,1,1,1,kneighborsClassifier,None,kd_tree,None,None,39.0,None,None,None,None,None,None,1.0,None,distance,0.8111111111111111,ok,75.64993097493425
22,0,0,1,0,0,kneighborsClassifier,None,brute,None,None,35.0,None,None,None,None,None,None,7.0,None,distance,0.7074074074074074,ok,75.71961525292136
23,1,0,1,1,1,kneighborsClassifier,None,brute,None,None,32.0,None,None,None,None,None,None,4.0,None,distance,0.8611111111111112,ok,75.7887924569659
24,1,0,1,1,1,kneighborsClassifier,None,brute,None,None,30.0,None,None,None,None,None,None,1.0,None,distance,0.8611111111111112,ok,75.83453428279608
25,1,0,1,1,1,kneighborsClassifier,None,brute,None,None,29.0,None,None,None,None,None,None,8.0,None,distance,0.8537037037037037,ok,75.9038022859022
26,1,0,1,1,1,kneighborsClassifier,None,brute,None,None,20.0,None,None,None,None,None,None,2.0,None,distance,0.8611111111111112,ok,76.01957296580076
27,1,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,17.0,None,None,None,None,None,None,2.0,None,distance,0.8611111111111112,ok,76.0568080379162
28,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,96,sqrt,2,2,None,None,None,None,0.8833333333333333,ok,76.95208797883242
29,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,91,sqrt,3,2,None,None,None,None,0.8796296296296297,ok,77.82641640398651
30,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,97,sqrt,2,3,None,None,None,None,0.8833333333333333,ok,78.71721389493905
31,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,99,sqrt,3,2,None,None,None,None,0.8796296296296297,ok,79.59206867380999
32,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,67,sqrt,2,12,None,None,None,None,0.8740740740740741,ok,80.46610675286502
33,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,99,sqrt,7,8,None,None,None,None,0.8629629629629629,ok,81.29256012593396
34,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,75,sqrt,6,27,None,None,None,None,0.8518518518518519,ok,82.11064234282821
35,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,37,log2,6,3,None,None,None,None,0.8648148148148148,ok,82.94433642481454
36,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,83,sqrt,15,19,None,None,None,None,0.8388888888888889,ok,83.72461986588314
37,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,49,sqrt,4,8,None,None,None,None,0.8703703703703703,ok,84.92363094678149
38,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,5,sqrt,9,7,None,None,None,None,0.7944444444444444,ok,85.5281953800004
39,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,77,log2,2,20,None,None,None,None,0.8814814814814815,ok,86.37675327481702
40,1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,100,sqrt,13,13,None,None,None,None,0.8444444444444444,ok,87.43777482490987
41,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,21,sqrt,5,26,None,None,None,None,0.8055555555555556,ok,88.0171048718039
42,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,58,sqrt,8,6,None,None,None,None,0.8814814814814815,ok,88.82751515484415
43,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,92,sqrt,16,4,None,None,None,None,0.7870370370370371,ok,89.37369038397446
44,0,0,1,1,1,nnClassifier,identity,None,22.0,None,None,invscaling,None,None,None,None,8.0,None,lbfgs,None,0.6333333333333333,ok,89.45560541492887
45,1,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,73,log2,4,17,None,None,None,None,0.8611111111111112,ok,90.2551638588775
46,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,48,auto,2,26,None,None,None,None,0.8111111111111111,ok,90.84758945880458
47,0,0,1,1,1,nnClassifier,logistic,None,18.0,None,None,invscaling,None,None,None,None,3.0,None,lbfgs,None,0.6333333333333333,ok,93.40041585383005
48,1,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,83,sqrt,8,10,None,None,None,None,0.7907407407407407,ok,93.98306604288518
49,1,0,1,1,1,nnClassifier,relu,None,25.0,None,None,invscaling,None,None,None,None,8.0,None,sgd,None,0.6314814814814815,ok,103.75746875698678
50,0,1,1,0,0,randomForestClassifier,None,None,None,gini,None,None,95,sqrt,5,16,None,None,None,None,0.8055555555555556,ok,104.36918835877441
51,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,82,auto,10,31,None,None,None,None,0.7925925925925926,ok,105.02512817783281
52,0,0,1,1,1,nnClassifier,logistic,None,25.0,None,None,constant,None,None,None,None,1.0,None,lbfgs,None,0.6129629629629629,ok,107.34412244684063
53,1,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,69,sqrt,14,4,None,None,None,None,0.7888888888888889,ok,108.07788835093379
54,1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,12,log2,4,22,None,None,None,None,0.85,ok,108.89198523689993
55,0,0,1,1,0,nnClassifier,identity,None,9.0,None,None,constant,None,None,None,None,7.0,None,adam,None,0.6574074074074074,ok,116.06937711290084
56,1,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,57,sqrt,11,11,None,None,None,None,0.8277777777777777,ok,116.64527952694334
57,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,44,auto,18,23,None,None,None,None,0.8388888888888889,ok,117.40807556780055
58,1,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,86,sqrt,7,32,None,None,None,None,0.8425925925925926,ok,118.49799133185297
59,0,0,1,0,0,nnClassifier,logistic,None,17.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.6907407407407408,ok,131.83499404485337
60,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,95,auto,3,6,None,None,None,None,0.8796296296296297,ok,132.74063423695043
61,1,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,22,log2,5,36,None,None,None,None,0.8425925925925926,ok,133.56232020095922
62,0,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,64,sqrt,11,15,None,None,None,None,0.8555555555555555,ok,134.64118299400434
63,1,0,0,0,0,nnClassifier,relu,None,12.0,None,None,invscaling,None,None,None,None,4.0,None,lbfgs,None,0.6907407407407408,ok,135.90308707789518
64,1,0,1,1,1,kneighborsClassifier,None,auto,None,None,6.0,None,None,None,None,None,None,10.0,None,uniform,0.8277777777777777,ok,135.9540478689596
65,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,77,log2,2,18,None,None,None,None,0.8759259259259259,ok,136.8207998399157
66,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,33,sqrt,9,5,None,None,None,None,0.8814814814814815,ok,137.63235565181822
67,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,32,sqrt,20,10,None,None,None,None,0.8574074074074074,ok,138.3833841048181
68,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,40,sqrt,12,5,None,None,None,None,0.8722222222222222,ok,139.1765748229809
69,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,21,sqrt,17,3,None,None,None,None,0.8648148148148148,ok,139.93586426693946
70,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,31,sqrt,9,9,None,None,None,None,0.8814814814814815,ok,140.74572872486897
