feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,0,1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,27,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9749552772808586,5.132402658462524
0,0,0,1,0,0,nnClassifier,tanh,NA,19,NA,nan,adaptive,nan,NA,nan,nan,5,nan,lbfgs,NA,1.0,10.305447578430176
1,1,1,1,1,0,nnClassifier,identity,NA,17,NA,nan,adaptive,nan,NA,nan,nan,8,nan,lbfgs,NA,1.0,15.228218793869019
0,0,1,0,0,1,nnClassifier,relu,NA,15,NA,nan,adaptive,nan,NA,nan,nan,6,nan,adam,NA,1.0,22.870773315429688
1,1,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,87,log2,7,12,nan,nan,NA,NA,0.981216457960644,28.26738452911377
0,0,1,1,0,0,kneighborsClassifier,NA,brute,nan,NA,26,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9740608228980322,32.91337180137634
1,0,1,1,1,1,nnClassifier,identity,NA,28,NA,nan,adaptive,nan,NA,nan,nan,2,nan,adam,NA,1.0,39.710965633392334
0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,79,sqrt,12,35,nan,nan,NA,NA,0.981216457960644,45.04571795463562
1,1,1,1,1,1,nnClassifier,logistic,NA,25,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,1.0,55.710429430007935
0,1,1,1,1,1,kneighborsClassifier,NA,auto,nan,NA,9,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9776386404293381,60.245325565338135
1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,74,auto,3,8,nan,nan,NA,NA,0.9794275491949911,65.90050983428955
1,0,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,100,sqrt,12,20,nan,nan,NA,NA,0.9794275491949911,71.17820978164673
1,0,0,1,1,0,nnClassifier,logistic,NA,30,NA,nan,constant,nan,NA,nan,nan,4,nan,adam,NA,1.0,80.8927116394043
1,1,0,1,1,1,nnClassifier,tanh,NA,16,NA,nan,adaptive,nan,NA,nan,nan,10,nan,sgd,NA,1.0,102.72345685958862
0,1,1,0,1,1,nnClassifier,relu,NA,32,NA,nan,invscaling,nan,NA,nan,nan,8,nan,adam,NA,1.0,108.92388939857483
1,0,0,0,1,1,kneighborsClassifier,NA,auto,nan,NA,10,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9803220035778175,113.94807696342468
1,0,0,0,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,20,NA,nan,NA,nan,nan,nan,6,NA,distance,0.9740608228980322,118.34138250350952
0,0,0,0,0,0,nnClassifier,relu,NA,14,NA,nan,adaptive,nan,NA,nan,nan,2,nan,adam,NA,0.0,122.93867754936218
0,0,1,0,0,0,nnClassifier,relu,NA,29,NA,nan,invscaling,nan,NA,nan,nan,7,nan,sgd,NA,1.0,144.0894901752472
0,1,0,0,0,0,nnClassifier,identity,NA,10,NA,nan,invscaling,nan,NA,nan,nan,7,nan,lbfgs,NA,1.0,148.98286938667297
0,0,0,0,0,0,nnClassifier,relu,NA,9,NA,nan,adaptive,nan,NA,nan,nan,8,nan,sgd,NA,0.0,153.91518115997314
1,0,1,1,0,0,nnClassifier,tanh,NA,9,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,1.0,187.77456665039062
0,0,1,1,1,1,nnClassifier,relu,NA,25,NA,nan,adaptive,nan,NA,nan,nan,4,nan,lbfgs,NA,1.0,192.66022610664368
0,0,1,0,0,1,nnClassifier,relu,NA,29,NA,nan,adaptive,nan,NA,nan,nan,7,nan,lbfgs,NA,1.0,197.46982884407043
0,0,0,1,0,1,nnClassifier,tanh,NA,25,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,1.0,202.42614698410034
