activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,10,gini,1,0,0,0,1,0,30,adaptive,9,auto,15,25,nnClassifier,5,10,lbfgs,uniform,1.0
identity,auto,16,gini,0,1,1,1,0,1,28,constant,26,auto,5,16,nnClassifier,4,3,adam,distance,1.0
relu,kd_tree,14,entropy,1,1,0,0,1,0,19,adaptive,12,log2,11,13,kneighborsClassifier,8,9,adam,uniform,0.9803220035778175
identity,ball_tree,32,entropy,1,1,0,1,0,1,40,invscaling,14,auto,6,28,kneighborsClassifier,8,2,sgd,distance,0.9758497316636852
logistic,auto,29,gini,0,0,0,0,0,1,8,constant,82,sqrt,10,32,nnClassifier,3,8,sgd,distance,1.0
identity,ball_tree,26,entropy,0,1,0,1,0,0,10,invscaling,9,auto,15,40,randomForestClassifier,5,9,adam,uniform,0.9713774597495528
tanh,ball_tree,31,entropy,1,1,0,1,0,0,37,invscaling,55,log2,18,33,nnClassifier,10,10,lbfgs,uniform,1.0
tanh,kd_tree,32,gini,1,0,0,0,0,1,25,adaptive,84,log2,17,18,randomForestClassifier,5,3,adam,distance,0.9704830053667263
tanh,kd_tree,25,gini,1,1,1,0,1,0,16,invscaling,64,sqrt,18,13,nnClassifier,9,10,sgd,uniform,1.0
tanh,auto,23,gini,0,0,1,1,1,1,24,constant,65,auto,6,36,nnClassifier,5,8,lbfgs,distance,1.0
logistic,brute,22,gini,0,0,1,1,0,1,33,constant,13,auto,6,13,nnClassifier,2,5,sgd,distance,1.0
relu,brute,9,gini,0,0,1,0,1,0,25,constant,56,sqrt,12,12,randomForestClassifier,5,1,adam,uniform,0.9758497316636852
tanh,ball_tree,23,entropy,0,0,0,1,1,1,9,invscaling,3,auto,4,13,randomForestClassifier,4,6,adam,distance,0.9794275491949911
identity,auto,18,gini,1,1,1,0,0,1,20,adaptive,96,log2,8,34,nnClassifier,1,3,sgd,uniform,1.0
tanh,kd_tree,12,entropy,0,1,0,1,0,1,11,invscaling,30,sqrt,10,12,randomForestClassifier,10,5,sgd,uniform,0.9740608228980322
relu,brute,27,entropy,1,1,1,0,1,0,29,constant,78,log2,11,28,randomForestClassifier,8,9,adam,distance,0.9794275491949911
identity,auto,30,entropy,0,0,1,1,0,0,20,adaptive,77,auto,11,12,randomForestClassifier,4,7,adam,distance,0.9731663685152058
relu,ball_tree,28,entropy,0,1,0,0,0,1,2,invscaling,9,sqrt,3,28,randomForestClassifier,8,5,lbfgs,uniform,0.9704830053667263
identity,brute,18,entropy,1,0,0,1,0,1,36,invscaling,96,sqrt,19,28,nnClassifier,1,1,lbfgs,distance,1.0
identity,brute,20,gini,0,0,0,1,0,1,14,constant,68,sqrt,14,25,nnClassifier,6,2,adam,distance,1.0
identity,auto,10,gini,1,0,0,0,1,0,30,adaptive,9,auto,15,25,nnClassifier,5,10,lbfgs,uniform,1.0
identity,auto,16,gini,0,1,1,1,0,1,28,constant,26,auto,5,16,nnClassifier,4,3,adam,distance,1.0
logistic,auto,29,gini,0,0,0,0,0,1,8,constant,82,sqrt,10,32,nnClassifier,3,8,sgd,distance,1.0
tanh,ball_tree,31,entropy,1,1,0,1,0,0,37,invscaling,55,log2,18,33,nnClassifier,10,10,lbfgs,uniform,1.0
tanh,kd_tree,25,gini,1,1,1,0,1,0,16,invscaling,64,sqrt,18,13,nnClassifier,9,10,sgd,uniform,1.0
tanh,auto,23,gini,0,0,1,1,1,1,24,constant,65,auto,6,36,nnClassifier,5,8,lbfgs,distance,1.0
logistic,brute,22,gini,0,0,1,1,0,1,33,constant,13,auto,6,13,nnClassifier,2,5,sgd,distance,1.0
identity,auto,18,gini,1,1,1,0,0,1,20,adaptive,96,log2,8,34,nnClassifier,1,3,sgd,uniform,1.0
identity,brute,18,entropy,1,0,0,1,0,1,36,invscaling,96,sqrt,19,28,nnClassifier,1,1,lbfgs,distance,1.0
identity,brute,20,gini,0,0,0,1,0,1,14,constant,68,sqrt,14,25,nnClassifier,6,2,adam,distance,1.0
identity,auto,10,gini,1,0,0,0,1,1,28,constant,26,auto,5,16,nnClassifier,4,3,adam,distance,1.0
identity,auto,22,gini,0,1,1,1,0,1,8,constant,82,sqrt,10,32,nnClassifier,6,8,sgd,distance,1.0
logistic,auto,29,gini,0,0,0,0,0,0,37,invscaling,39,log2,18,33,nnClassifier,5,10,lbfgs,uniform,0.0
tanh,ball_tree,31,entropy,1,1,0,1,0,0,16,invscaling,64,sqrt,18,13,nnClassifier,9,4,sgd,uniform,1.0
tanh,kd_tree,25,gini,1,1,1,1,1,1,24,constant,65,auto,6,36,nnClassifier,5,8,lbfgs,distance,1.0
tanh,auto,23,gini,0,0,1,1,1,1,33,constant,13,auto,6,13,nnClassifier,2,5,sgd,distance,1.0
logistic,brute,22,gini,0,0,1,1,0,1,20,adaptive,96,log2,8,34,nnClassifier,1,3,sgd,uniform,1.0
identity,auto,18,gini,1,1,1,0,0,1,36,invscaling,96,sqrt,19,28,nnClassifier,1,1,lbfgs,distance,1.0
identity,brute,14,entropy,1,0,1,1,0,1,14,constant,68,sqrt,14,25,nnClassifier,6,2,adam,distance,1.0
identity,brute,20,gini,0,0,0,1,0,0,30,adaptive,9,auto,15,25,nnClassifier,5,10,lbfgs,uniform,1.0
identity,auto,10,gini,1,0,0,0,1,0,30,adaptive,9,auto,15,25,nnClassifier,5,10,lbfgs,uniform,1.0
identity,auto,16,gini,0,1,1,1,0,1,28,constant,26,auto,5,16,nnClassifier,4,3,adam,distance,1.0
logistic,auto,29,gini,0,0,0,0,0,1,8,constant,82,sqrt,10,32,nnClassifier,3,8,sgd,distance,1.0
tanh,ball_tree,31,entropy,1,1,0,1,0,0,37,invscaling,55,log2,18,33,nnClassifier,10,10,lbfgs,uniform,1.0
tanh,kd_tree,25,gini,1,1,1,0,1,0,16,invscaling,64,sqrt,18,13,nnClassifier,9,10,sgd,uniform,1.0
tanh,auto,23,gini,0,0,1,1,1,1,24,constant,65,auto,6,36,nnClassifier,5,8,lbfgs,distance,1.0
logistic,brute,22,gini,0,0,1,1,0,1,33,constant,13,auto,6,13,nnClassifier,2,5,sgd,distance,1.0
identity,auto,18,gini,1,1,1,0,0,1,20,adaptive,96,log2,8,34,nnClassifier,1,3,sgd,uniform,1.0
identity,brute,18,entropy,1,0,0,1,0,1,36,invscaling,96,sqrt,19,28,nnClassifier,1,1,lbfgs,distance,1.0
identity,brute,20,gini,0,0,0,1,0,1,14,constant,68,sqrt,14,25,nnClassifier,6,2,adam,distance,1.0
identity,auto,10,gini,1,0,0,0,1,0,28,constant,59,auto,5,16,nnClassifier,4,3,adam,distance,1.0
identity,auto,16,gini,0,1,1,1,0,1,8,constant,82,sqrt,10,32,nnClassifier,3,8,sgd,distance,1.0
logistic,auto,29,gini,0,0,0,0,0,0,37,invscaling,55,log2,18,33,nnClassifier,10,10,lbfgs,uniform,0.0
tanh,ball_tree,31,entropy,0,1,0,1,0,0,16,invscaling,64,sqrt,18,13,nnClassifier,9,10,sgd,distance,1.0
tanh,kd_tree,25,gini,1,1,0,0,1,1,24,constant,65,auto,6,21,nnClassifier,5,8,lbfgs,distance,1.0
tanh,auto,23,gini,0,0,1,1,1,1,33,constant,13,auto,6,13,nnClassifier,2,5,sgd,distance,1.0
logistic,brute,22,gini,1,0,1,1,0,1,20,adaptive,96,log2,8,34,nnClassifier,1,3,sgd,uniform,1.0
identity,auto,18,gini,1,1,1,0,0,1,36,invscaling,96,sqrt,19,28,nnClassifier,1,1,lbfgs,distance,1.0
identity,brute,18,entropy,1,0,0,1,0,1,14,constant,68,sqrt,14,25,nnClassifier,6,2,adam,distance,1.0
identity,brute,20,gini,0,0,0,1,0,0,30,adaptive,9,auto,15,25,nnClassifier,5,3,lbfgs,uniform,1.0
identity,auto,10,gini,1,0,0,0,1,0,30,adaptive,9,auto,15,25,nnClassifier,5,10,lbfgs,uniform,1.0
identity,auto,16,gini,0,1,1,1,0,1,28,constant,26,auto,5,16,nnClassifier,4,3,adam,distance,1.0
logistic,auto,29,gini,0,0,0,0,0,1,8,constant,82,sqrt,10,32,nnClassifier,3,8,sgd,distance,1.0
tanh,ball_tree,31,entropy,1,1,0,1,0,0,37,invscaling,55,log2,18,33,nnClassifier,10,10,lbfgs,uniform,1.0
tanh,kd_tree,25,gini,1,1,1,0,1,0,16,invscaling,64,sqrt,18,13,nnClassifier,9,10,sgd,uniform,1.0
