activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,18,gini,1,1,1,1,0,1,7,constant,60,auto,20,32,nnClassifier,3,5,adam,distance,0.981216457960644,31.205303251044825
relu,auto,17,gini,1,1,1,1,1,1,31,constant,83,sqrt,20,6,nnClassifier,5,2,sgd,uniform,0.9794275491949911,31.205373980104923
identity,auto,17,gini,1,1,1,1,0,1,34,constant,56,sqrt,13,21,nnClassifier,7,6,adam,uniform,0.9722719141323792,31.20541082904674
logistic,auto,26,gini,1,1,0,1,0,1,25,constant,29,sqrt,19,16,nnClassifier,7,2,lbfgs,uniform,1.0,31.20544690801762
logistic,auto,23,gini,1,1,1,1,1,1,25,constant,46,sqrt,10,14,nnClassifier,6,4,sgd,distance,0.9767441860465116,31.205483197933063
tanh,auto,26,gini,1,1,0,1,0,1,22,constant,76,sqrt,20,13,nnClassifier,5,4,sgd,uniform,0.9722719141323792,31.205519057111815
tanh,auto,23,gini,1,1,1,1,1,1,30,constant,92,auto,13,11,nnClassifier,5,1,adam,distance,1.0,31.20555396610871
identity,auto,23,gini,1,1,0,1,1,1,33,constant,93,sqrt,6,16,nnClassifier,7,5,lbfgs,uniform,0.9767441860465116,31.20558813610114
relu,auto,26,gini,1,1,1,1,0,1,28,constant,56,sqrt,20,22,nnClassifier,7,4,adam,uniform,0.9776386404293381,31.20562285510823
identity,auto,16,gini,1,1,0,1,0,1,19,constant,30,sqrt,7,30,nnClassifier,6,1,adam,uniform,0.9758497316636852,31.20565724396147
tanh,auto,20,gini,1,1,0,1,1,1,25,constant,15,auto,19,12,nnClassifier,5,2,adam,distance,0.9731663685152058,31.20569149311632
relu,auto,13,gini,1,1,0,1,0,1,9,constant,86,sqrt,11,34,nnClassifier,9,2,lbfgs,uniform,0.9695885509838998,31.205725613050163
relu,auto,20,gini,1,1,0,1,1,1,17,constant,35,sqrt,10,16,nnClassifier,6,3,lbfgs,uniform,1.0,31.205760312033817
logistic,auto,26,gini,1,1,1,1,1,1,21,constant,33,auto,17,16,nnClassifier,6,6,adam,distance,0.9749552772808586,31.20579387107864
identity,auto,25,gini,1,1,1,1,1,1,7,constant,53,auto,17,15,nnClassifier,7,2,adam,uniform,0.9776386404293381,31.205827950965613
relu,auto,24,gini,1,1,0,1,1,1,25,constant,43,auto,6,20,nnClassifier,7,1,sgd,distance,0.981216457960644,31.205862689996138
logistic,auto,25,gini,1,1,1,1,1,1,14,constant,82,sqrt,19,20,nnClassifier,4,3,lbfgs,uniform,1.0,31.20589646906592
relu,auto,13,gini,1,1,0,1,1,1,19,constant,77,auto,13,33,nnClassifier,2,5,lbfgs,distance,0.9794275491949911,31.205929609015584
tanh,auto,26,gini,1,1,0,1,0,1,8,constant,16,sqrt,18,21,nnClassifier,7,6,adam,distance,0.9713774597495528,31.20596341812052
identity,auto,26,gini,1,1,1,1,1,1,18,constant,63,sqrt,18,33,nnClassifier,7,7,lbfgs,distance,0.9794275491949911,31.205997426994145
relu,auto,21,gini,1,1,1,1,1,1,11,constant,56,auto,20,28,nnClassifier,7,1,adam,distance,1.0,154.94877224997617
relu,auto,21,gini,1,1,1,1,1,1,27,constant,79,auto,20,9,nnClassifier,9,2,adam,distance,1.0,154.94883408909664
relu,auto,21,gini,1,1,1,1,1,1,30,constant,52,auto,17,18,nnClassifier,5,2,adam,distance,1.0,154.9488704081159
relu,auto,26,gini,1,1,1,1,1,1,25,constant,29,auto,19,16,nnClassifier,7,2,adam,distance,1.0,154.9489060570486
relu,auto,27,gini,1,1,1,1,1,1,23,constant,42,auto,14,16,nnClassifier,8,1,adam,distance,1.0,154.94894137699157
relu,auto,24,gini,1,1,1,1,1,1,25,constant,72,auto,18,16,nnClassifier,7,1,adam,distance,1.0,154.9489763660822
relu,auto,19,gini,1,1,1,1,1,1,26,constant,88,auto,14,12,nnClassifier,5,5,adam,distance,1.0,154.9490109148901
relu,auto,27,gini,1,1,1,1,1,1,31,constant,89,auto,9,18,nnClassifier,8,1,adam,distance,1.0,154.94904553494416
relu,auto,27,gini,1,1,1,1,1,1,24,constant,52,auto,20,20,nnClassifier,6,1,adam,distance,1.0,154.94908094406128
