activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,kd_tree,21,gini,0,1,0,0,1,1,21,adaptive,50,log2,8,28,randomForestClassifier,4,4,lbfgs,uniform,0.9856887298747764
relu,brute,10,entropy,0,0,1,0,0,0,7,constant,89,log2,18,27,randomForestClassifier,9,7,lbfgs,distance,0.9776386404293381
tanh,ball_tree,12,entropy,1,0,1,0,0,0,22,adaptive,3,auto,4,32,nnClassifier,7,7,sgd,uniform,1.0
tanh,kd_tree,10,entropy,0,1,1,1,0,1,14,invscaling,84,sqrt,8,29,nnClassifier,5,1,sgd,distance,1.0
relu,brute,22,entropy,1,0,0,0,1,0,19,constant,92,auto,6,19,nnClassifier,9,5,adam,uniform,1.0
tanh,brute,11,entropy,0,1,0,1,1,1,31,constant,36,log2,17,29,nnClassifier,9,6,sgd,distance,1.0
logistic,auto,31,entropy,1,1,1,0,0,0,10,constant,57,log2,11,36,kneighborsClassifier,5,2,sgd,uniform,0.9821109123434705
relu,brute,8,gini,0,1,1,0,0,1,33,constant,65,auto,7,26,kneighborsClassifier,9,3,adam,uniform,0.981216457960644
logistic,brute,26,gini,1,0,1,1,1,0,17,invscaling,54,log2,7,14,nnClassifier,8,4,lbfgs,uniform,1.0
identity,brute,9,gini,1,0,0,0,0,0,37,adaptive,46,log2,9,26,randomForestClassifier,6,4,sgd,uniform,0.9776386404293381
relu,kd_tree,30,entropy,0,1,1,1,1,1,23,constant,28,auto,20,16,kneighborsClassifier,5,3,sgd,uniform,0.9892665474060823
relu,auto,32,gini,1,0,1,1,0,1,11,adaptive,46,log2,14,34,randomForestClassifier,4,8,lbfgs,uniform,0.9821109123434705
relu,ball_tree,25,entropy,0,1,1,0,1,0,25,adaptive,95,auto,12,37,kneighborsClassifier,3,3,sgd,distance,0.981216457960644
identity,ball_tree,32,gini,1,0,1,0,1,1,12,adaptive,39,log2,13,5,nnClassifier,9,1,lbfgs,uniform,1.0
logistic,kd_tree,18,gini,1,1,1,1,0,0,3,adaptive,55,sqrt,16,3,randomForestClassifier,3,10,lbfgs,uniform,0.983005366726297
relu,kd_tree,8,entropy,1,0,0,0,0,1,30,constant,15,log2,5,11,kneighborsClassifier,1,1,adam,distance,0.9695885509838998
identity,auto,12,entropy,0,1,0,1,0,1,13,adaptive,3,auto,2,31,nnClassifier,5,10,lbfgs,distance,1.0
logistic,ball_tree,26,entropy,1,0,0,1,1,1,33,adaptive,1,auto,19,3,kneighborsClassifier,3,7,sgd,uniform,0.9892665474060823
tanh,brute,18,gini,1,0,0,0,0,0,19,constant,98,auto,11,24,randomForestClassifier,1,1,sgd,uniform,0.9776386404293381
tanh,ball_tree,23,entropy,0,1,1,1,0,0,34,constant,52,log2,19,35,kneighborsClassifier,5,7,sgd,uniform,0.9865831842576028
identity,brute,24,entropy,0,1,1,1,0,1,19,constant,61,sqrt,19,13,nnClassifier,6,3,sgd,distance,1.0
logistic,kd_tree,10,entropy,1,1,1,1,1,0,26,invscaling,33,log2,19,21,nnClassifier,8,5,adam,distance,1.0
identity,kd_tree,10,gini,1,1,1,0,0,1,39,adaptive,92,auto,9,30,nnClassifier,10,1,sgd,uniform,1.0
relu,brute,14,entropy,1,0,1,1,1,1,2,adaptive,82,log2,9,15,nnClassifier,9,2,sgd,distance,1.0
identity,kd_tree,31,gini,1,1,1,1,0,0,10,adaptive,15,auto,19,17,randomForestClassifier,9,3,lbfgs,uniform,0.9838998211091234
identity,ball_tree,17,gini,0,0,0,1,0,1,4,constant,35,sqrt,20,31,kneighborsClassifier,5,7,sgd,distance,0.983005366726297
logistic,ball_tree,23,entropy,1,0,0,1,0,1,12,constant,97,sqrt,15,18,randomForestClassifier,4,6,adam,uniform,0.9794275491949911
identity,brute,25,entropy,0,1,1,1,0,0,8,invscaling,27,sqrt,4,6,kneighborsClassifier,6,5,lbfgs,distance,0.981216457960644
logistic,brute,20,gini,1,0,1,1,1,0,26,adaptive,98,sqrt,14,20,randomForestClassifier,5,2,adam,uniform,0.9892665474060823
tanh,kd_tree,10,gini,0,1,1,0,0,0,16,constant,60,log2,12,4,randomForestClassifier,6,10,sgd,uniform,0.983005366726297
identity,kd_tree,17,entropy,0,1,0,0,1,1,11,adaptive,76,sqrt,15,24,kneighborsClassifier,8,4,lbfgs,uniform,0.983005366726297
relu,brute,16,entropy,0,1,1,0,1,1,23,invscaling,46,sqrt,20,36,nnClassifier,1,7,sgd,distance,1.0
relu,kd_tree,27,entropy,1,1,1,1,1,0,40,constant,44,sqrt,20,13,randomForestClassifier,2,2,adam,uniform,0.9874776386404294
logistic,ball_tree,32,gini,1,0,1,1,0,0,16,adaptive,48,sqrt,3,22,kneighborsClassifier,3,6,adam,distance,0.981216457960644
identity,brute,21,gini,1,0,0,1,1,0,23,adaptive,57,sqrt,5,14,randomForestClassifier,2,4,sgd,uniform,0.9883720930232558
tanh,auto,29,gini,0,1,0,0,1,1,27,adaptive,88,sqrt,6,40,nnClassifier,3,6,adam,uniform,1.0
relu,brute,13,entropy,1,0,0,1,0,0,28,invscaling,79,auto,11,38,randomForestClassifier,1,1,sgd,uniform,0.9785330948121646
identity,auto,10,gini,0,1,0,1,1,1,32,adaptive,60,auto,20,20,kneighborsClassifier,8,5,sgd,distance,0.9874776386404294
relu,kd_tree,15,entropy,0,1,0,0,0,0,30,constant,51,auto,4,36,randomForestClassifier,8,9,sgd,uniform,0.9776386404293381
identity,auto,24,entropy,1,0,1,1,0,0,12,adaptive,9,sqrt,11,12,kneighborsClassifier,9,3,sgd,distance,0.9803220035778175
tanh,brute,30,gini,1,1,1,0,1,1,24,constant,58,sqrt,13,22,randomForestClassifier,1,4,adam,uniform,0.9847942754919499
relu,ball_tree,16,gini,0,0,0,0,1,1,13,constant,89,sqrt,11,40,randomForestClassifier,3,1,sgd,uniform,0.9865831842576028
logistic,auto,10,entropy,1,1,1,0,1,0,22,constant,63,log2,18,7,kneighborsClassifier,10,7,lbfgs,uniform,0.9892665474060823
identity,auto,30,gini,0,0,1,1,1,0,34,constant,57,sqrt,8,27,randomForestClassifier,6,6,lbfgs,distance,0.9874776386404294
identity,brute,31,gini,1,0,1,0,1,0,24,adaptive,62,log2,9,39,nnClassifier,3,9,sgd,uniform,1.0
relu,ball_tree,20,entropy,0,1,0,0,0,0,39,constant,82,auto,3,38,randomForestClassifier,3,5,sgd,distance,0.9776386404293381
logistic,kd_tree,21,gini,0,1,1,0,0,1,27,adaptive,91,log2,2,26,kneighborsClassifier,2,4,adam,distance,0.9803220035778175
logistic,brute,29,entropy,1,1,1,0,0,1,4,adaptive,34,sqrt,20,11,randomForestClassifier,5,6,sgd,uniform,0.9821109123434705
relu,kd_tree,28,entropy,1,0,1,1,1,0,30,adaptive,5,auto,10,16,kneighborsClassifier,8,2,adam,distance,0.9838998211091234
logistic,brute,14,entropy,0,0,1,0,0,0,31,constant,63,auto,7,11,randomForestClassifier,4,4,sgd,distance,0.9776386404293381
logistic,auto,15,entropy,0,0,0,1,1,0,13,invscaling,74,auto,20,13,kneighborsClassifier,9,5,adam,uniform,0.9901610017889088
logistic,kd_tree,31,gini,0,0,1,0,1,1,11,constant,19,auto,10,24,randomForestClassifier,2,7,adam,distance,0.9856887298747764
identity,auto,9,entropy,0,0,1,1,1,0,2,adaptive,5,sqrt,8,6,kneighborsClassifier,10,1,lbfgs,uniform,0.983005366726297
relu,brute,20,entropy,0,0,1,1,0,0,39,adaptive,95,log2,10,28,nnClassifier,6,5,adam,uniform,1.0
identity,brute,25,gini,0,1,0,1,0,1,9,adaptive,51,sqrt,7,20,nnClassifier,8,9,adam,uniform,1.0
relu,kd_tree,10,gini,0,0,1,1,1,1,26,adaptive,59,log2,13,33,nnClassifier,8,1,adam,distance,1.0
relu,auto,11,entropy,0,1,1,0,1,1,9,adaptive,51,sqrt,12,34,randomForestClassifier,7,7,sgd,distance,0.9847942754919499
