,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,1,1,0,1,randomForestClassifier,None,None,None,gini,None,None,67,sqrt,18,37,None,None,None,None,0.9758497316636852,ok,0.8666723791975528
1,0,0,0,0,0,1,kneighborsClassifier,None,auto,None,None,33.0,None,None,None,None,None,None,7.0,None,uniform,0.9740608228980322,ok,0.9756321602035314
2,1,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,9.0,None,None,None,None,None,None,4.0,None,uniform,0.981216457960644,ok,1.0747024950105697
3,0,0,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,69,log2,20,19,None,None,None,None,0.9731663685152058,ok,1.6623734401073307
4,1,1,1,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,63,log2,13,12,None,None,None,None,0.9803220035778175,ok,2.5410624761134386
5,1,0,0,0,1,0,kneighborsClassifier,None,kd_tree,None,None,31.0,None,None,None,None,None,None,4.0,None,uniform,0.9776386404293381,ok,2.6257148790173233
6,0,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,87,sqrt,20,3,None,None,None,None,0.9749552772808586,ok,3.2306887621525675
7,0,1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,72,sqrt,9,25,None,None,None,None,0.9749552772808586,ok,3.932380034122616
8,1,0,1,1,0,1,kneighborsClassifier,None,auto,None,None,13.0,None,None,None,None,None,None,3.0,None,uniform,0.9731663685152058,ok,4.0201212600804865
9,1,0,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,68,auto,6,11,None,None,None,None,0.9785330948121646,ok,4.726535734022036
10,0,1,1,1,1,1,nnClassifier,relu,None,25.0,None,None,adaptive,None,None,None,None,1.0,None,adam,None,1.0,ok,7.367436140077189
11,1,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,5,log2,6,31,None,None,None,None,0.9749552772808586,ok,7.981778789078817
12,1,0,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,18,auto,5,40,None,None,None,None,0.9776386404293381,ok,8.61477598012425
13,1,0,1,0,0,0,randomForestClassifier,None,None,None,gini,None,None,17,sqrt,19,13,None,None,None,None,0.9749552772808586,ok,9.272096778033301
14,1,0,0,0,0,1,nnClassifier,relu,None,11.0,None,None,constant,None,None,None,None,8.0,None,lbfgs,None,1.0,ok,9.53458572900854
15,1,0,1,1,0,0,kneighborsClassifier,None,kd_tree,None,None,10.0,None,None,None,None,None,None,6.0,None,distance,0.9740608228980322,ok,9.591438661096618
16,1,1,0,1,1,1,nnClassifier,logistic,None,19.0,None,None,invscaling,None,None,None,None,6.0,None,sgd,None,1.0,ok,22.12253952305764
