feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,nnClassifier,tanh,NA,25,NA,nan,constant,nan,NA,nan,nan,9,nan,lbfgs,NA,0.5113122171945701,13.58445119857788
1,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,12,log2,1,13,nan,nan,NA,NA,0.9384615384615385,18.728474617004395
1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,nnClassifier,identity,NA,26,NA,nan,constant,nan,NA,nan,nan,7,nan,lbfgs,NA,0.5239819004524887,23.727555513381958
0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,69,sqrt,1,4,nan,nan,NA,NA,0.7647058823529411,29.514880895614624
0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,34,log2,12,27,nan,nan,NA,NA,0.92579185520362,35.32689023017883
1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,26,log2,1,21,nan,nan,NA,NA,0.9276018099547512,40.85868978500366
0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,43,auto,6,10,nan,nan,NA,NA,0.9104072398190045,46.47040557861328
1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,60,log2,4,34,nan,nan,NA,NA,0.8271493212669683,52.19909691810608
0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,17,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.853393665158371,57.05190920829773
1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,0,nnClassifier,relu,NA,17,NA,nan,adaptive,nan,NA,nan,nan,7,nan,lbfgs,NA,0.5185520361990951,66.68619227409363
0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,21,log2,6,40,nan,nan,NA,NA,0.8986425339366516,72.11374163627625
0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,36,NA,nan,NA,nan,nan,nan,2,NA,distance,0.8968325791855204,77.13950705528259
1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,60,auto,14,32,nan,nan,NA,NA,0.9004524886877828,82.94545984268188
0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,19,log2,7,21,nan,nan,NA,NA,0.9221719457013575,87.96066069602966
1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,67,log2,3,19,nan,nan,NA,NA,0.9294117647058824,93.34075808525085
1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,2,NA,distance,0.857918552036199,98.46952700614929
0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,93,auto,15,5,nan,nan,NA,NA,0.8986425339366516,103.72366380691528
1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,74,sqrt,3,39,nan,nan,NA,NA,0.8895927601809954,109.02811646461487
1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,11,log2,11,16,nan,nan,NA,NA,0.8262443438914027,114.45023202896118
1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,74,log2,9,14,nan,nan,NA,NA,0.9058823529411765,119.99109935760498
0,1,0,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,76,log2,15,8,nan,nan,NA,NA,0.9203619909502262,125.37590789794922
0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,31,NA,nan,NA,nan,nan,nan,10,NA,distance,0.9276018099547512,130.3824257850647
1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,8,log2,19,9,nan,nan,NA,NA,0.8615384615384616,136.0852119922638
1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,15,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9366515837104072,141.04160523414612
1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,31,sqrt,15,15,nan,nan,NA,NA,0.9158371040723982,146.46285557746887
1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,3,log2,4,6,nan,nan,NA,NA,0.9158371040723982,152.05025911331177
0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,42,sqrt,11,26,nan,nan,NA,NA,0.9330316742081448,157.41387128829956
0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,kneighborsClassifier,NA,brute,nan,NA,26,NA,nan,NA,nan,nan,nan,9,NA,distance,0.9384615384615385,162.6198947429657
0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,66,sqrt,14,24,nan,nan,NA,NA,0.8959276018099548,167.91754508018494
0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,1,nnClassifier,tanh,NA,16,NA,nan,invscaling,nan,NA,nan,nan,1,nan,sgd,NA,0.4660633484162896,202.81984877586365
0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,9,auto,7,26,nan,nan,NA,NA,0.8950226244343892,208.45000791549683
1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,kneighborsClassifier,NA,auto,nan,NA,39,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9058823529411765,213.94135332107544
1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,20,auto,7,22,nan,nan,NA,NA,0.9402714932126697,219.20728540420532
0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,82,log2,12,40,nan,nan,NA,NA,0.9067873303167421,224.5586199760437
1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,68,log2,17,11,nan,nan,NA,NA,0.8914027149321267,230.0135440826416
0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,15,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9420814479638009,235.00177836418152
0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,46,sqrt,18,3,nan,nan,NA,NA,0.9276018099547512,240.30094623565674
0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,92,auto,10,5,nan,nan,NA,NA,0.9113122171945701,246.48394227027893
