activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,brute,19,entropy,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,27,adaptive,62,sqrt,17,31,kneighborsClassifier,10,6,sgd,distance,0.9095022624434389
identity,kd_tree,21,entropy,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,34,constant,77,sqrt,2,40,randomForestClassifier,1,8,sgd,uniform,0.9230769230769231
tanh,auto,8,gini,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,4,invscaling,27,log2,3,2,randomForestClassifier,8,8,lbfgs,distance,0.9049773755656109
tanh,brute,23,entropy,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,21,constant,62,log2,19,30,nnClassifier,3,7,sgd,distance,0.5076923076923077
relu,ball_tree,15,gini,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,31,invscaling,83,sqrt,11,29,kneighborsClassifier,6,10,lbfgs,uniform,0.8687782805429864
relu,ball_tree,11,entropy,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,40,adaptive,89,auto,7,32,kneighborsClassifier,5,10,sgd,uniform,0.8597285067873304
tanh,ball_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,4,invscaling,10,auto,2,24,randomForestClassifier,2,10,lbfgs,distance,0.9384615384615385
relu,kd_tree,12,entropy,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,35,invscaling,15,sqrt,9,35,nnClassifier,7,10,lbfgs,distance,0.5203619909502263
logistic,auto,9,gini,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,3,invscaling,86,auto,2,3,kneighborsClassifier,7,4,lbfgs,uniform,0.7176470588235294
logistic,brute,15,entropy,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,19,invscaling,78,log2,20,17,kneighborsClassifier,5,7,sgd,uniform,0.8841628959276018
logistic,auto,8,gini,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,13,adaptive,27,log2,19,37,randomForestClassifier,9,9,lbfgs,distance,0.7574660633484163
logistic,kd_tree,26,entropy,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,12,invscaling,29,log2,4,16,kneighborsClassifier,3,3,lbfgs,uniform,0.7710407239819005
relu,auto,13,gini,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,28,adaptive,7,auto,2,33,kneighborsClassifier,1,5,sgd,uniform,0.665158371040724
relu,ball_tree,30,entropy,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,40,constant,42,log2,10,9,kneighborsClassifier,2,5,adam,distance,0.9131221719457013
tanh,ball_tree,19,entropy,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,19,invscaling,63,auto,19,38,nnClassifier,4,4,sgd,distance,0.5140271493212669
logistic,ball_tree,14,gini,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,1,32,adaptive,57,auto,8,37,nnClassifier,6,1,lbfgs,uniform,0.5095022624434389
logistic,auto,32,gini,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,18,invscaling,24,sqrt,11,36,nnClassifier,10,3,lbfgs,distance,0.5285067873303168
identity,kd_tree,18,entropy,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,39,invscaling,23,auto,17,20,kneighborsClassifier,10,1,lbfgs,distance,0.9131221719457013
relu,kd_tree,24,entropy,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,37,constant,30,auto,2,32,nnClassifier,6,8,sgd,uniform,0.5167420814479639
relu,brute,17,entropy,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,12,adaptive,94,sqrt,9,12,kneighborsClassifier,7,2,lbfgs,uniform,0.8886877828054298
tanh,ball_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,4,invscaling,10,auto,2,24,randomForestClassifier,2,10,lbfgs,distance,0.9384615384615385
identity,kd_tree,21,entropy,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,34,constant,77,sqrt,2,40,randomForestClassifier,1,8,sgd,uniform,0.9230769230769231
relu,ball_tree,30,entropy,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,1,40,constant,42,log2,10,9,kneighborsClassifier,2,5,adam,distance,0.9131221719457013
identity,kd_tree,18,entropy,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,39,invscaling,23,auto,17,20,kneighborsClassifier,10,1,lbfgs,distance,0.9131221719457013
identity,brute,19,entropy,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,27,adaptive,62,sqrt,17,31,kneighborsClassifier,10,6,sgd,distance,0.9095022624434389
tanh,auto,8,gini,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,4,invscaling,27,log2,3,2,randomForestClassifier,8,8,lbfgs,distance,0.9049773755656109
relu,brute,17,entropy,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,12,adaptive,94,sqrt,9,12,kneighborsClassifier,7,2,lbfgs,uniform,0.8886877828054298
logistic,brute,15,entropy,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,19,invscaling,78,log2,20,17,kneighborsClassifier,5,7,sgd,uniform,0.8841628959276018
relu,ball_tree,15,gini,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,31,invscaling,83,sqrt,11,29,kneighborsClassifier,6,10,lbfgs,uniform,0.8687782805429864
relu,ball_tree,11,entropy,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,40,adaptive,89,auto,7,32,kneighborsClassifier,5,10,sgd,uniform,0.8597285067873304
tanh,ball_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,34,constant,77,log2,2,40,randomForestClassifier,1,8,sgd,uniform,0.9294117647058824
identity,kd_tree,21,entropy,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,24,constant,42,log2,15,9,kneighborsClassifier,2,5,adam,distance,0.9176470588235294
relu,ball_tree,30,entropy,1,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,39,invscaling,23,auto,17,20,kneighborsClassifier,10,1,lbfgs,distance,0.8687782805429864
identity,kd_tree,18,entropy,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,27,adaptive,62,sqrt,17,31,kneighborsClassifier,10,6,sgd,distance,0.9375565610859729
identity,auto,19,entropy,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,4,invscaling,27,log2,3,2,randomForestClassifier,8,8,lbfgs,distance,0.9194570135746606
identity,auto,8,gini,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,12,adaptive,94,sqrt,9,12,kneighborsClassifier,7,2,lbfgs,uniform,0.832579185520362
relu,brute,17,entropy,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,19,invscaling,78,log2,20,17,kneighborsClassifier,5,7,sgd,uniform,0.9221719457013575
logistic,ball_tree,15,entropy,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,31,invscaling,55,sqrt,11,29,kneighborsClassifier,6,7,lbfgs,uniform,0.8914027149321267
relu,ball_tree,15,gini,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,40,invscaling,89,auto,7,32,kneighborsClassifier,5,3,sgd,uniform,0.8742081447963801
relu,ball_tree,11,entropy,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,4,invscaling,10,auto,2,24,randomForestClassifier,2,10,lbfgs,distance,0.9131221719457013
tanh,ball_tree,9,entropy,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,4,invscaling,10,auto,2,24,randomForestClassifier,2,10,lbfgs,distance,0.9384615384615385
identity,kd_tree,18,entropy,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,1,0,27,adaptive,62,sqrt,17,31,kneighborsClassifier,10,6,sgd,distance,0.9375565610859729
