activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,18,gini,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,constant,22,auto,5,30,nnClassifier,7,9,adam,distance,0.5085972850678733,280.3678717839066
relu,auto,31,gini,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,34,constant,23,auto,8,33,kneighborsClassifier,6,8,sgd,distance,0.8886877828054298,280.3679516429547
tanh,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,constant,25,sqrt,2,24,kneighborsClassifier,8,6,adam,distance,0.9113122171945701,280.3680150420405
tanh,auto,24,gini,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,28,constant,75,auto,10,31,nnClassifier,8,8,adam,distance,0.497737556561086,280.3680772909429
tanh,auto,12,gini,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,13,constant,77,log2,13,19,nnClassifier,8,9,sgd,distance,0.5104072398190045,280.36814019898884
relu,auto,30,gini,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,20,constant,95,auto,5,21,randomForestClassifier,6,9,sgd,distance,0.8307692307692308,280.36820238805376
relu,auto,18,gini,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,30,constant,52,sqrt,2,34,randomForestClassifier,4,6,sgd,distance,0.897737556561086,280.36826370703056
tanh,auto,32,gini,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,constant,78,auto,14,11,kneighborsClassifier,9,8,adam,distance,0.8886877828054298,280.36832507606596
tanh,auto,32,gini,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,3,constant,31,log2,2,30,randomForestClassifier,8,8,sgd,distance,0.9321266968325792,280.36838701507077
relu,auto,20,gini,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,29,constant,30,auto,14,12,nnClassifier,8,5,sgd,distance,0.5013574660633484,280.3684488139115
tanh,auto,32,gini,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,26,constant,31,log2,2,29,nnClassifier,7,9,sgd,distance,0.5266968325791855,280.3685100430157
relu,auto,30,gini,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,21,constant,45,log2,15,29,kneighborsClassifier,6,9,sgd,distance,0.9194570135746606,280.3685706818942
tanh,auto,27,gini,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,22,constant,47,auto,9,34,nnClassifier,5,10,adam,distance,0.4968325791855204,280.36863153101876
tanh,auto,20,gini,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,4,constant,73,sqrt,17,14,kneighborsClassifier,8,5,adam,distance,0.8886877828054298,280.36869273893535
relu,auto,30,gini,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,6,constant,19,sqrt,11,27,randomForestClassifier,9,8,adam,distance,0.8923076923076924,280.3687543680426
tanh,auto,31,gini,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,31,constant,82,auto,2,15,nnClassifier,4,9,adam,distance,0.5058823529411764,280.3688286668621
tanh,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,11,constant,51,log2,6,32,randomForestClassifier,8,3,adam,distance,0.8778280542986425,280.36889020586386
tanh,auto,28,gini,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,26,constant,16,auto,2,6,kneighborsClassifier,6,7,sgd,distance,0.9140271493212669,280.36895130504854
relu,auto,19,gini,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,35,constant,28,auto,17,35,nnClassifier,9,6,adam,distance,0.49230769230769234,280.3690130140167
tanh,auto,32,gini,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,35,constant,42,sqrt,5,7,randomForestClassifier,7,5,adam,distance,0.7701357466063349,280.36907465197146
relu,auto,15,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,constant,23,auto,3,29,nnClassifier,8,8,adam,distance,0.49321266968325794,730.8409114698879
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,26,auto,4,29,nnClassifier,7,8,adam,distance,0.9529411764705882,730.8409953189548
relu,auto,21,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,constant,27,auto,2,26,nnClassifier,8,6,adam,distance,0.9601809954751132,730.841062718071
relu,auto,20,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,71,auto,6,27,nnClassifier,9,7,adam,distance,0.502262443438914,730.8411237169057
relu,auto,14,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,constant,73,auto,9,23,nnClassifier,8,7,adam,distance,0.48868778280542985,730.8411843259819
relu,auto,26,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,91,auto,2,25,nnClassifier,10,5,adam,distance,0.9321266968325792,730.8412451050244
