activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,9,gini,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,34,constant,41,auto,11,8,kneighborsClassifier,9,2,adam,distance,0.9321266968325792
relu,brute,27,gini,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,10,adaptive,15,sqrt,3,4,nnClassifier,8,3,adam,distance,0.48687782805429863
relu,brute,18,entropy,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,7,constant,22,auto,10,33,nnClassifier,3,7,sgd,uniform,0.5004524886877828
identity,ball_tree,27,gini,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,15,invscaling,9,log2,12,40,randomForestClassifier,10,5,adam,uniform,0.7520361990950226
logistic,auto,14,entropy,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,34,constant,36,log2,9,19,nnClassifier,7,9,sgd,distance,0.5058823529411764
logistic,auto,24,entropy,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,19,adaptive,44,sqrt,11,24,nnClassifier,3,8,lbfgs,uniform,0.5004524886877828
identity,kd_tree,29,entropy,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,6,constant,11,log2,4,12,nnClassifier,6,6,adam,distance,0.5040723981900452
logistic,kd_tree,14,gini,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,12,constant,92,sqrt,6,40,randomForestClassifier,10,7,adam,uniform,0.8108597285067873
tanh,brute,12,entropy,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,2,constant,70,auto,7,36,kneighborsClassifier,8,9,sgd,distance,0.9375565610859729
tanh,ball_tree,30,entropy,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,4,invscaling,6,auto,17,2,kneighborsClassifier,8,10,sgd,distance,0.8714932126696833
tanh,auto,8,entropy,0,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,17,invscaling,6,auto,3,16,randomForestClassifier,9,5,sgd,distance,0.8253393665158371
logistic,kd_tree,26,entropy,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,14,invscaling,31,sqrt,10,2,kneighborsClassifier,8,7,lbfgs,uniform,0.9366515837104072
tanh,kd_tree,15,gini,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,29,adaptive,98,log2,16,39,randomForestClassifier,2,7,adam,uniform,0.9285067873303168
identity,ball_tree,21,gini,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,15,adaptive,32,sqrt,16,29,nnClassifier,3,8,sgd,distance,0.49502262443438916
tanh,kd_tree,19,gini,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,18,constant,81,auto,16,9,kneighborsClassifier,8,5,adam,distance,0.7294117647058823
relu,kd_tree,24,gini,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,22,invscaling,2,sqrt,7,17,kneighborsClassifier,5,3,adam,distance,0.934841628959276
logistic,brute,20,entropy,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,34,constant,87,sqrt,5,16,kneighborsClassifier,1,10,sgd,distance,0.8914027149321267
