,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,kneighborsClassifier,None,brute,None,None,14,None,None,None,None,None,None,6,None,distance,0.9104072398190045,ok,0.2809807618614286
1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,kneighborsClassifier,None,brute,None,None,10,None,None,None,None,None,None,6,None,distance,0.709502262443439,ok,0.4895901649724692
2,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,kneighborsClassifier,None,auto,None,None,35,None,None,None,None,None,None,7,None,uniform,0.9176470588235294,ok,0.6910007449332625
3,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,nnClassifier,logistic,None,16.0,None,None,adaptive,None,None,None,None,4.0,None,adam,None,0.5122171945701357,ok,35.703266721917316
4,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,kneighborsClassifier,None,kd_tree,None,None,25,None,None,None,None,None,None,7,None,uniform,0.8742081447963801,ok,35.9682464459911
5,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,46.0,sqrt,15.0,38.0,None,None,None,None,0.8452488687782805,ok,36.67498604697175
6,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,25.0,auto,12.0,17.0,None,None,None,None,0.9285067873303168,ok,37.19695567386225
7,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,randomForestClassifier,None,None,None,gini,None,None,6.0,auto,8.0,24.0,None,None,None,None,0.9248868778280543,ok,37.721022482961416
8,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,73.0,log2,14.0,12.0,None,None,None,None,0.7520361990950226,ok,38.247910120058805
9,1,1,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,99.0,log2,15.0,34.0,None,None,None,None,0.9104072398190045,ok,38.85889380588196
