feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,nnClassifier,relu,NA,14,NA,nan,constant,nan,NA,nan,nan,9,nan,adam,NA,0.3424908424908425,24.702789306640625
0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,18,auto,19,27,nan,nan,NA,NA,0.8846153846153846,30.39727258682251
1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,34,NA,nan,NA,nan,nan,nan,5,NA,distance,0.8516483516483516,35.62911367416382
1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,69,sqrt,6,33,nan,nan,NA,NA,0.8992673992673993,41.37551808357239
0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,33,auto,2,18,nan,nan,NA,NA,0.9084249084249084,47.17133045196533
1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,38,auto,12,25,nan,nan,NA,NA,0.967032967032967,53.19918751716614
1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,64,sqrt,20,12,nan,nan,NA,NA,0.9688644688644689,58.84440207481384
1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,33,log2,14,11,nan,nan,NA,NA,0.9633699633699634,64.27451634407043
1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,16,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.8571428571428571,69.11392259597778
0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,75,log2,14,2,nan,nan,NA,NA,0.9267399267399268,75.09293580055237
1,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,nnClassifier,identity,NA,10,NA,nan,adaptive,nan,NA,nan,nan,2,nan,lbfgs,NA,0.2692307692307692,79.96414017677307
0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,97,log2,13,12,nan,nan,NA,NA,0.9523809523809523,85.20239019393921
0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,78,auto,14,25,nan,nan,NA,NA,0.9926739926739927,91.13922381401062
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,5,NA,distance,0.9194139194139194,96.13207530975342
0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,86,log2,7,26,nan,nan,NA,NA,0.9761904761904762,102.45779299736023
0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,kneighborsClassifier,NA,auto,nan,NA,10,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.8571428571428571,107.68104982376099
0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,nnClassifier,identity,NA,23,NA,nan,adaptive,nan,NA,nan,nan,7,nan,adam,NA,0.2087912087912088,115.28626728057861
1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,71,auto,7,29,nan,nan,NA,NA,0.9853479853479854,121.67714548110962
1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,75,auto,4,33,nan,nan,NA,NA,0.967032967032967,128.1178297996521
1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,55,auto,4,18,nan,nan,NA,NA,0.9908424908424909,133.74018621444702
