activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,kd_tree,17,entropy,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,4,constant,21,auto,16,37,randomForestClassifier,3,4,sgd,distance,0.9835164835164835
relu,brute,27,entropy,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,28,invscaling,32,log2,15,9,randomForestClassifier,9,1,sgd,uniform,0.9230769230769231
logistic,auto,17,gini,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,6,invscaling,38,sqrt,2,31,randomForestClassifier,10,9,sgd,distance,0.9395604395604396
relu,auto,11,entropy,0,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,2,adaptive,66,sqrt,15,10,nnClassifier,3,5,adam,uniform,0.36813186813186816
tanh,auto,12,gini,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,6,adaptive,49,sqrt,7,38,kneighborsClassifier,4,7,sgd,distance,0.8241758241758241
tanh,ball_tree,24,entropy,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,8,constant,6,log2,20,35,randomForestClassifier,9,4,sgd,uniform,0.8333333333333334
identity,kd_tree,13,entropy,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,31,invscaling,91,sqrt,19,37,randomForestClassifier,9,8,lbfgs,distance,0.9597069597069597
logistic,brute,8,gini,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,32,constant,3,auto,11,29,randomForestClassifier,4,2,lbfgs,uniform,0.76007326007326
relu,brute,32,gini,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,28,adaptive,85,sqrt,10,28,kneighborsClassifier,10,8,lbfgs,uniform,0.7857142857142857
logistic,brute,12,entropy,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,10,constant,58,log2,2,5,kneighborsClassifier,7,8,adam,distance,0.8626373626373627
