activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
logistic,kd_tree,31,gini,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,30,invscaling,40,auto,9,26,kneighborsClassifier,10,7,sgd,uniform,0.8663003663003663,128.08114040992223
relu,kd_tree,21,gini,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,3,constant,54,sqrt,14,13,randomForestClassifier,5,6,adam,distance,0.8937728937728938,128.08121592807584
identity,kd_tree,20,entropy,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,33,invscaling,72,sqrt,15,21,randomForestClassifier,7,6,adam,uniform,0.9230769230769231,128.08127303700894
relu,auto,12,entropy,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,36,invscaling,89,sqrt,15,20,nnClassifier,9,7,sgd,uniform,0.31868131868131866,128.08132946607657
identity,ball_tree,15,entropy,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,10,invscaling,85,sqrt,8,27,randomForestClassifier,10,5,adam,uniform,0.9304029304029304,128.08138598501682
logistic,auto,28,entropy,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,15,invscaling,60,log2,8,19,nnClassifier,10,7,sgd,distance,0.2967032967032967,128.08144205412827
identity,kd_tree,19,gini,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,7,invscaling,61,sqrt,13,7,kneighborsClassifier,6,7,sgd,distance,0.8461538461538461,128.08149701310322
relu,auto,16,gini,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,6,constant,66,auto,14,23,nnClassifier,10,6,sgd,distance,0.3076923076923077,128.0815515019931
relu,ball_tree,17,gini,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,14,invscaling,22,sqrt,7,24,randomForestClassifier,5,8,sgd,distance,0.924908424908425,128.08161689992994
tanh,brute,30,entropy,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,13,constant,33,auto,12,8,kneighborsClassifier,10,6,sgd,uniform,0.8827838827838828,128.08167219907045
logistic,auto,16,gini,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,14,invscaling,64,auto,14,30,nnClassifier,10,9,sgd,distance,0.0,128.0817272181157
relu,brute,13,gini,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,10,constant,47,auto,12,20,nnClassifier,9,5,sgd,distance,0.32051282051282054,128.08178125694394
tanh,ball_tree,28,gini,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,18,invscaling,54,sqrt,12,27,kneighborsClassifier,9,6,sgd,distance,0.8846153846153846,128.08183642593212
logistic,brute,30,entropy,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,15,invscaling,53,log2,13,18,randomForestClassifier,10,6,sgd,uniform,0.9816849816849816,128.08189105498604
identity,auto,29,gini,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,7,constant,53,log2,15,25,kneighborsClassifier,10,7,adam,distance,0.8534798534798534,128.08194577298127
identity,brute,15,entropy,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,15,constant,20,auto,16,19,randomForestClassifier,9,6,sgd,uniform,0.8809523809523809,128.082001212053
relu,ball_tree,30,gini,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,10,invscaling,85,auto,14,21,randomForestClassifier,10,7,sgd,uniform,0.9688644688644689,128.0820564411115
