activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,kd_tree,26,entropy,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,38,invscaling,6,sqrt,17,30,randomForestClassifier,10,10,adam,uniform,0.9578754578754579
tanh,kd_tree,10,entropy,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,37,adaptive,14,sqrt,2,5,randomForestClassifier,4,4,sgd,uniform,0.967032967032967
identity,brute,29,entropy,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,28,invscaling,47,auto,16,20,kneighborsClassifier,9,4,lbfgs,distance,0.9120879120879121
tanh,auto,17,entropy,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,22,constant,8,log2,12,11,randomForestClassifier,3,3,lbfgs,uniform,0.9395604395604396
relu,brute,9,entropy,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,39,adaptive,88,log2,14,19,nnClassifier,1,6,sgd,distance,0.3076923076923077
identity,kd_tree,11,entropy,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,5,constant,86,log2,14,26,randomForestClassifier,6,5,sgd,distance,0.9652014652014652
identity,ball_tree,28,gini,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,21,constant,42,sqrt,7,9,kneighborsClassifier,6,7,adam,uniform,0.8351648351648352
logistic,auto,8,gini,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,6,constant,38,log2,17,24,randomForestClassifier,6,7,lbfgs,uniform,0.9835164835164835
relu,kd_tree,21,gini,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,8,invscaling,87,sqrt,16,14,randomForestClassifier,8,5,sgd,distance,0.8827838827838828
identity,ball_tree,25,gini,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,3,invscaling,95,sqrt,3,6,kneighborsClassifier,7,4,sgd,uniform,0.836996336996337
identity,brute,11,gini,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,38,invscaling,2,log2,11,16,randomForestClassifier,5,5,lbfgs,uniform,0.6996336996336996
logistic,ball_tree,13,entropy,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,26,constant,65,sqrt,15,12,kneighborsClassifier,5,3,lbfgs,uniform,0.8461538461538461
logistic,kd_tree,20,gini,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,32,adaptive,24,sqrt,20,14,nnClassifier,8,3,adam,distance,0.2948717948717949
relu,ball_tree,13,gini,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,21,invscaling,73,log2,2,32,kneighborsClassifier,9,8,sgd,uniform,0.7783882783882784
relu,brute,23,gini,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,30,constant,5,auto,8,36,nnClassifier,2,9,lbfgs,distance,0.3992673992673993
identity,kd_tree,15,gini,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,14,adaptive,10,log2,17,25,randomForestClassifier,9,9,sgd,uniform,0.9212454212454212
tanh,auto,11,entropy,0,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,26,adaptive,54,auto,13,11,randomForestClassifier,5,5,lbfgs,uniform,0.9761904761904762
logistic,kd_tree,29,gini,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,21,adaptive,47,log2,8,8,randomForestClassifier,7,3,sgd,uniform,0.9505494505494505
tanh,auto,9,gini,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,36,constant,20,auto,19,17,kneighborsClassifier,5,9,lbfgs,distance,0.8553113553113553
